id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
9f472354,Shane Long,7,IRL,"FW,RW",31-082,90,0,0,0,0,2,1,1,0,32,0,1,3,0.1,0.1,0.0,2,0,15,22,68.2,1,23,2,1,1,Southampton,2018-04-14 Southampton-Chelsea,ENG-EPL,17-18,c0ef52a9
2475dcc6,Dušan Tadić,11,SRB,AM,29-145,82,1,0,0,0,2,2,0,0,49,2,1,5,0.5,0.5,0.0,1,0,21,37,56.8,4,36,8,4,4,Southampton,2018-04-14 Southampton-Chelsea,ENG-EPL,17-18,c0ef52a9
6d6f09dc,Josh Sims,39,ENG,"AM,LW",21-017,8,0,0,0,0,2,1,0,0,10,1,0,1,0.1,0.1,0.0,1,0,3,5,60.0,0,8,1,1,0,Southampton,2018-04-14 Southampton-Chelsea,ENG-EPL,17-18,c0ef52a9
3515d404,James Ward-Prowse,16,ENG,AM,23-164,78,0,1,0,0,1,1,1,0,31,0,0,2,0.0,0.0,0.3,3,1,18,25,72.0,0,13,0,0,0,Southampton,2018-04-14 Southampton-Chelsea,ENG-EPL,17-18,c0ef52a9
8d228291,Charlie Austin,10,ENG,"AM,FW",28-283,12,0,0,0,0,0,0,0,0,5,1,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,0,0,Southampton,2018-04-14 Southampton-Chelsea,ENG-EPL,17-18,c0ef52a9
8b04d6c1,Pierre Højbjerg,23,DEN,"CM,DM",22-252,90,0,0,0,0,1,1,1,0,60,3,2,1,0.0,0.0,0.1,3,1,44,51,86.3,5,44,0,0,0,Southampton,2018-04-14 Southampton-Chelsea,ENG-EPL,17-18,c0ef52a9
4b511457,Oriol Romeu,14,ESP,"CM,DM",26-202,90,0,0,0,0,0,0,1,0,51,2,5,2,0.0,0.0,0.0,0,0,35,40,87.5,4,26,1,1,1,Southampton,2018-04-14 Southampton-Chelsea,ENG-EPL,17-18,c0ef52a9
01226327,Ryan Bertrand,21,ENG,"WB,LB",28-252,90,0,1,0,0,0,0,1,0,64,1,1,0,0.0,0.0,0.5,4,2,43,57,75.4,3,31,3,3,2,Southampton,2018-04-14 Southampton-Chelsea,ENG-EPL,17-18,c0ef52a9
839c14e1,Cédric Soares,2,POR,"WB,RB",26-226,90,0,0,0,0,0,0,0,0,47,1,0,2,0.0,0.0,0.0,0,0,21,37,56.8,3,27,0,1,0,Southampton,2018-04-14 Southampton-Chelsea,ENG-EPL,17-18,c0ef52a9
875898c7,Wesley Hoedt,6,NED,CB,24-039,90,0,0,0,0,0,0,0,0,55,1,1,1,0.0,0.0,0.0,1,0,35,42,83.3,2,29,1,0,0,Southampton,2018-04-14 Southampton-Chelsea,ENG-EPL,17-18,c0ef52a9
caffaf5a,Maya Yoshida,3,JPN,CB,29-233,90,0,0,0,0,1,0,0,0,42,1,4,0,0.1,0.1,0.0,1,0,25,33,75.8,1,24,0,0,0,Southampton,2018-04-14 Southampton-Chelsea,ENG-EPL,17-18,c0ef52a9
4115ce4e,Jan Bednarek,35,POL,CB,22-002,89,1,0,0,0,1,1,0,0,52,1,0,0,0.2,0.2,0.0,0,0,31,45,68.9,0,30,0,0,0,Southampton,2018-04-14 Southampton-Chelsea,ENG-EPL,17-18,c0ef52a9
8f866fe8,Manolo Gabbiadini,20,ITA,AM,26-139,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,0,0,0,Southampton,2018-04-14 Southampton-Chelsea,ENG-EPL,17-18,c0ef52a9
36c2ca73,Alex McCarthy,13,ENG,GK,28-132,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,12,31,38.7,0,16,0,0,0,Southampton,2018-04-14 Southampton-Chelsea,ENG-EPL,17-18,c0ef52a9
