id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
9c36ed83,Nicolas Jackson,15,SEN,FW,22-054,90,0,0,0,0,4,2,1,0,33,0,0,1,0.5,0.5,0.0,0,0,17,21,81.0,0,24,5,3,2,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
b2f9c73e,Carney Chukwuemeka,17,ENG,AM,19-297,80,0,0,0,0,0,0,1,0,48,1,0,0,0.0,0.0,0.0,2,0,38,42,90.5,4,32,1,3,0,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
cab9634e,Ian Maatsen,29,NED,"AM,RW",21-156,10,0,0,0,0,0,0,0,0,13,1,0,1,0.0,0.0,0.0,0,0,4,9,44.4,0,9,0,0,0,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
b400bde0,Raheem Sterling,7,ENG,AM,28-248,80,0,0,0,0,0,0,0,0,39,2,0,0,0.0,0.0,0.1,5,1,24,32,75.0,5,31,5,3,0,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
049a888d,Mykhailo Mudryk,10,UKR,"AM,LW",22-220,10,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,7,1,2,2,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
c2731c10,Conor Gallagher,23,ENG,"CM,LM",23-188,90,0,0,0,0,0,0,0,0,77,2,3,1,0.0,0.0,0.0,0,0,61,68,89.7,3,57,0,1,1,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
5ff4ab71,Enzo Fernández,8,ARG,"CM,RM",22-208,90,0,0,0,0,1,0,1,0,112,1,0,5,0.1,0.1,0.2,4,0,86,102,84.3,17,84,1,3,2,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
d2424d1b,Ben Chilwell,21,ENG,WB,26-235,89,0,1,0,0,1,1,0,0,76,1,0,0,0.2,0.2,0.4,2,1,50,61,82.0,4,56,2,2,1,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
1df4a109,Lesley Ugochukwu,16,FRA,CM,19-140,1,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
1265a93a,Reece James,24,ENG,WB,23-248,75,0,0,0,0,1,0,0,0,73,0,0,0,0.0,0.0,0.3,2,0,55,68,80.9,7,51,5,1,1,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
d56b9520,Malo Gusto,27,FRA,"WB,RB",20-086,15,0,0,0,0,0,0,0,0,27,1,0,0,0.0,0.0,0.0,0,0,16,21,76.2,1,16,1,0,0,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
700783e7,Levi Colwill,26,ENG,"CB,LB",20-168,90,0,0,0,0,1,0,0,0,78,2,1,2,0.1,0.1,0.3,3,0,57,69,82.6,5,59,1,1,1,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
86e7deaf,Thiago Silva,6,BRA,CB,38-325,90,0,0,0,0,0,0,0,0,128,1,1,2,0.0,0.0,0.1,1,0,111,118,94.1,6,98,0,0,0,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
ad82197c,Axel Disasi,2,FRA,CB,25-155,90,1,0,0,0,2,1,0,0,108,1,2,1,0.5,0.5,0.0,0,0,89,98,90.8,5,78,0,0,0,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
6a713852,Robert Sánchez,31,ESP,GK,25-268,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,29,35,82.9,0,26,0,0,0,Chelsea,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
178ae8f8,Diogo Jota,20,POR,FW,26-252,65,0,0,0,0,2,0,1,0,28,1,0,1,0.1,0.1,0.0,3,0,14,18,77.8,2,10,1,2,1,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
4d77b365,Darwin Núñez,9,URU,FW,24-050,25,0,0,0,0,2,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,5,6,83.3,1,9,1,3,2,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
4a1a9578,Luis Díaz,7,COL,LW,26-212,76,1,0,0,0,4,1,0,0,28,1,0,1,0.8,0.8,0.2,4,0,18,20,90.0,3,21,4,3,2,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
733f1a7d,Ben Doak,50,SCO,RW,17-275,14,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,4,0,0,0,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
e342ad68,Mohamed Salah,11,EGY,RW,31-059,76,0,1,0,0,3,0,0,0,29,1,0,1,0.3,0.3,0.5,3,1,18,23,78.3,3,21,2,0,0,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
b9e1436c,Harvey Elliott,19,ENG,RM,20-131,14,0,0,0,0,0,0,0,0,13,0,1,0,0.0,0.0,0.0,1,0,8,10,80.0,3,7,0,1,1,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
1971591f,Cody Gakpo,18,NED,LM,24-098,65,0,0,0,0,0,0,0,0,28,3,0,4,0.0,0.0,0.1,2,0,10,15,66.7,2,14,3,2,1,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
4fb9c88f,Curtis Jones,17,ENG,LM,22-195,25,0,0,0,0,0,0,0,0,21,1,1,1,0.0,0.0,0.0,0,0,16,18,88.9,2,14,0,1,1,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
83d074ff,Alexis Mac Allister,10,ARG,CM,24-232,90,0,0,0,0,0,0,1,0,61,3,1,2,0.0,0.0,0.0,2,1,46,52,88.5,5,42,1,3,2,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
934e1968,Dominik Szoboszlai,8,HUN,"RM,LW",22-292,90,0,0,0,0,1,0,0,0,56,1,1,5,0.0,0.0,0.3,2,0,33,42,78.6,2,27,1,1,0,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
2e4f5f03,Andrew Robertson,26,SCO,LB,29-155,90,0,0,0,0,0,0,0,0,74,2,2,2,0.0,0.0,0.0,2,0,41,60,68.3,6,35,1,0,0,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
e06683ca,Virgil van Dijk,4,NED,CB,32-036,90,0,0,0,0,1,0,0,0,49,1,3,1,0.0,0.0,0.0,2,0,26,33,78.8,1,17,0,0,0,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
5ed9b537,Ibrahima Konaté,5,FRA,CB,24-080,90,0,0,0,0,0,0,0,0,52,3,1,1,0.0,0.0,0.0,0,0,32,38,84.2,0,24,0,0,0,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
cd1acf9d,Trent Alexander-Arnold,66,ENG,RB,24-310,90,0,0,0,0,0,0,1,0,57,2,0,0,0.0,0.0,0.0,1,0,26,47,55.3,4,21,0,1,0,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
7a2e46a8,Alisson,1,BRA,GK,30-315,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,1,0,19,25,76.0,0,20,0,0,0,Liverpool,2023-08-13 Chelsea-Liverpool,ENG-EPL,23-24,c18d3207
