id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8c8b4a01,Adam Zreľák,11,SVK,FW,24-273,90,0,0,0,0,1,0,1,0,38,2,1,2,0.1,0.1,0.1,1,0,15,22,68.2,2,14,0,1,0,Nürnberg,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
b04ee927,Matheus Pereira,27,POR,"FW,AM",22-273,90,0,1,0,0,3,1,0,0,48,0,0,2,0.2,0.2,0.1,6,1,29,38,76.3,11,30,2,3,1,Nürnberg,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
434cf5b7,Federico Palacios Martínez,21,GER,"LM,RM",23-299,81,0,0,0,0,1,0,0,0,33,3,1,1,0.0,0.0,0.0,0,0,14,20,70.0,1,13,1,2,0,Nürnberg,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
0c3057a9,Mikael Ishak,9,SWE,FW,25-308,9,1,0,0,0,1,1,1,0,7,0,0,0,0.1,0.1,0.0,0,0,2,4,50.0,0,3,1,0,0,Nürnberg,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
3e81a228,Ondřej Petrák,31,CZE,"CM,DM",26-328,90,0,0,0,0,0,0,1,0,56,4,2,4,0.0,0.0,0.0,0,0,35,41,85.4,3,20,0,0,0,Nürnberg,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
77b41ac0,Hanno Behrens,18,GER,"CM,RM",28-313,90,0,0,0,0,4,0,0,0,45,3,2,2,0.9,0.9,0.0,2,0,18,29,62.1,3,11,0,1,1,Nürnberg,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
09bcc566,Virgil Misidjan,24,SUR,"RM,LM",25-193,66,0,0,0,0,0,0,1,0,29,0,0,1,0.0,0.0,0.0,1,0,13,17,76.5,0,17,1,3,1,Nürnberg,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
87fdfb9b,Sebastian Kerk,10,GER,LM,24-291,24,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.1,1,0,4,8,50.0,1,4,0,1,1,Nürnberg,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
f2571c91,Tim Leibold,23,GER,LB,25-064,45,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,2,0,24,31,77.4,2,15,3,1,1,Nürnberg,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
25c633b0,Kevin Goden,2,GER,RB,19-345,45,0,0,0,0,0,0,0,0,28,0,1,1,0.0,0.0,0.0,0,0,16,22,72.7,1,13,1,3,2,Nürnberg,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
78cd577c,Ewerton,4,BRA,CB,29-316,90,0,0,0,0,0,0,0,0,65,2,0,1,0.0,0.0,0.0,0,0,45,53,84.9,1,26,0,0,0,Nürnberg,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
b5114f85,Georg Margreitter,33,AUT,CB,30-087,90,0,0,0,0,1,0,0,0,61,1,0,3,0.0,0.0,0.0,0,0,39,49,79.6,2,21,0,0,0,Nürnberg,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
5c4d9be7,Enrico Valentini,22,ITA,"LB,RB",29-347,90,0,0,0,0,0,0,0,0,64,1,1,0,0.0,0.0,0.3,4,0,34,51,66.7,1,16,2,0,0,Nürnberg,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
4a15e95b,Christian Mathenia,26,GER,GK,26-308,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,34,47,72.3,0,24,0,0,0,Nürnberg,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
6c6a3300,Milot Rashica,11,KVX,FW,22-219,45,0,0,0,0,0,0,0,0,16,1,1,0,0.0,0.0,0.0,0,0,5,11,45.5,1,8,0,1,1,Werder Bremen,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
a8d4428b,Josh Sargent,19,USA,FW,18-347,45,0,0,0,0,1,0,0,0,20,0,0,1,0.1,0.1,0.0,1,0,8,11,72.7,1,14,1,0,0,Werder Bremen,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
99b7584f,Martin Harnik,9,AUT,FW,31-237,45,0,0,0,0,0,0,0,0,17,1,1,0,0.0,0.0,0.0,1,0,4,6,66.7,0,6,0,0,0,Werder Bremen,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
d571df78,Johannes Eggestein,24,GER,"AM,FW",20-270,45,1,0,0,0,1,1,0,0,26,0,0,0,0.8,0.8,0.0,1,0,13,17,76.5,2,16,0,1,0,Werder Bremen,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
f9446dcd,Max Kruse,10,GER,"AM,FW",30-320,90,0,0,0,0,0,0,0,0,70,0,0,0,0.0,0.0,0.1,1,0,56,65,86.2,8,45,2,3,2,Werder Bremen,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
15fd5593,Davy Klaassen,30,NED,"LM,AM",25-346,90,0,0,0,0,1,0,0,0,63,2,1,2,0.0,0.0,0.1,3,0,35,48,72.9,5,22,2,1,1,Werder Bremen,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
f4081572,Nuri Şahin,17,TUR,"CM,DM",30-150,83,0,0,0,0,1,0,0,0,81,3,3,2,0.0,0.0,0.0,1,0,60,75,80.0,7,29,1,0,0,Werder Bremen,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
a5ce09f2,Kevin Möhwald,6,GER,RM,25-214,7,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,1,1,0,0,0,Werder Bremen,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
beb882a8,Maximilian Eggestein,35,GER,"RM,DM,CM",22-056,90,0,0,0,0,2,1,0,0,62,2,0,0,0.1,0.1,0.0,0,0,41,50,82.0,2,29,2,0,0,Werder Bremen,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
9fec8860,Ludwig Augustinsson,5,SWE,LB,24-287,90,0,0,0,0,3,0,0,0,82,3,0,1,0.2,0.2,0.1,4,1,49,68,72.1,3,34,2,3,1,Werder Bremen,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
00844823,Niklas Moisander,18,FIN,CB,33-126,90,0,0,0,0,0,0,0,0,113,2,0,1,0.0,0.0,0.0,1,0,92,103,89.3,14,75,1,1,1,Werder Bremen,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
a5ae8f8e,Miloš Veljković,13,SRB,CB,23-129,90,0,0,0,0,0,0,1,0,96,3,0,3,0.0,0.0,0.1,2,0,68,78,87.2,13,56,3,0,0,Werder Bremen,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
3f65898c,Theodor Gebre Selassie,23,CZE,RB,32-040,90,0,0,0,0,1,1,0,0,75,2,1,2,0.1,0.1,0.1,1,0,53,63,84.1,8,40,2,1,0,Werder Bremen,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
0a1cb833,Jiří Pavlenka,1,CZE,GK,26-294,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,28,32,87.5,0,8,0,0,0,Werder Bremen,2019-02-02 Nürnberg-Werder Bremen,GER-BL1,18-19,c1b712f6
