id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
ee4f2f3b,Fabio Quagliarella,27,ITA,FW,37-016,90,0,0,0,0,4,1,0,0,23,1,0,2,0.4,0.4,0.3,3,0,11,15,73.3,0,11,1,0,0,Sampdoria,2020-02-16 Sampdoria-Fiorentina,ITA-SERIA_A,19-20,c2b25480
8f866fe8,Manolo Gabbiadini,23,ITA,FW,28-082,90,1,0,0,0,6,2,0,0,29,1,1,1,0.6,0.6,0.1,4,0,10,18,55.6,0,15,1,0,0,Sampdoria,2020-02-16 Sampdoria-Fiorentina,ITA-SERIA_A,19-20,c2b25480
2c851997,Gastón Ramírez,11,URU,AM,29-076,66,0,0,0,0,1,1,1,0,45,2,1,4,0.1,0.1,0.3,7,0,19,34,55.9,2,22,2,0,0,Sampdoria,2020-02-16 Sampdoria-Fiorentina,ITA-SERIA_A,19-20,c2b25480
d97f2e8d,Fabio Depaoli,12,ITA,RM,22-298,24,0,0,0,0,1,0,1,0,18,3,0,3,0.1,0.1,0.0,1,0,8,11,72.7,1,9,1,0,0,Sampdoria,2020-02-16 Sampdoria-Fiorentina,ITA-SERIA_A,19-20,c2b25480
d023d70f,Karol Linetty,7,POL,"LM,RM,LB",25-014,90,0,0,0,0,0,0,0,0,43,4,1,1,0.0,0.0,0.0,4,1,31,38,81.6,4,26,6,0,0,Sampdoria,2020-02-16 Sampdoria-Fiorentina,ITA-SERIA_A,19-20,c2b25480
c75b6a02,Andrea Bertolacci,91,ITA,CM,29-036,45,0,0,0,0,1,0,0,0,31,2,1,1,0.0,0.0,0.1,1,0,19,22,86.4,3,19,0,1,0,Sampdoria,2020-02-16 Sampdoria-Fiorentina,ITA-SERIA_A,19-20,c2b25480
75e60d75,Ronaldo Vieira,4,ENG,CM,21-212,45,0,0,0,0,1,0,0,0,27,0,3,0,0.0,0.0,0.0,2,0,20,23,87.0,3,17,2,0,0,Sampdoria,2020-02-16 Sampdoria-Fiorentina,ITA-SERIA_A,19-20,c2b25480
d1b49282,Morten Thorsby,18,NOR,RM,23-287,45,0,0,0,0,0,0,0,0,17,2,0,0,0.0,0.0,0.0,0,0,5,8,62.5,0,6,0,0,0,Sampdoria,2020-02-16 Sampdoria-Fiorentina,ITA-SERIA_A,19-20,c2b25480
1ea5f91c,Jakub Jankto,14,CZE,LB,24-028,45,0,0,0,0,1,0,0,0,23,0,0,1,0.1,0.1,0.0,1,0,15,21,71.4,2,16,3,0,0,Sampdoria,2020-02-16 Sampdoria-Fiorentina,ITA-SERIA_A,19-20,c2b25480
