id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
81255c03,João Pedro,10,ITA,FW,29-232,90,0,0,0,0,1,1,1,0,22,0,2,0,0.0,0.0,0.0,2,0,9,12,75.0,0,15,0,1,1,Cagliari,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
d37b0350,Leonardo Pavoletti,30,ITA,FW,32-335,90,1,0,0,0,3,3,0,0,39,0,0,3,1.1,1.1,0.0,0,0,15,25,60.0,1,20,0,0,0,Cagliari,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
7fac99d4,Răzvan Marin,8,ROU,CM,25-157,90,0,0,0,0,1,0,0,0,41,2,1,0,0.0,0.0,0.0,3,1,22,31,71.0,3,23,3,3,1,Cagliari,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
6cc97b6a,Alberto Grassi,27,ITA,CM,26-234,78,0,0,0,0,0,0,0,0,29,3,3,0,0.0,0.0,0.0,0,0,18,22,81.8,1,16,0,0,0,Cagliari,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
d3b888e3,Christian Oliva,21,URU,CM,25-148,12,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,11,12,91.7,1,9,1,0,0,Cagliari,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
7f267d66,Alessandro Deiola,14,ITA,CM,26-087,81,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.4,2,0,14,17,82.4,2,12,0,1,1,Cagliari,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
509a4ccb,Keita Baldé,9,SEN,CM,26-233,9,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,1,4,0,0,0,Cagliari,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
5efc5389,Charalambos Lykogiannis,22,GRE,WB,28-005,90,0,0,0,0,0,0,1,0,47,2,1,0,0.0,0.0,0.0,2,0,22,38,57.9,2,27,5,1,1,Cagliari,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
e3756e72,Raoul Bellanova,12,ITA,WB,21-163,90,0,1,0,0,1,0,1,0,35,0,0,0,0.0,0.0,0.7,2,0,20,26,76.9,3,26,3,4,1,Cagliari,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
f7e2af2c,Andrea Carboni,44,ITA,CB,20-265,90,0,0,0,0,0,0,0,0,49,3,2,2,0.0,0.0,0.0,2,1,31,36,86.1,3,25,2,0,0,Cagliari,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
7d50454d,Luca Ceppitelli,23,ITA,CB,32-077,90,0,0,0,0,0,0,0,0,42,0,0,1,0.0,0.0,0.0,0,0,29,39,74.4,2,23,0,0,0,Cagliari,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
ca3db240,Gabriele Zappa,25,ITA,CB,21-309,90,0,0,0,0,1,1,0,0,63,0,0,1,0.0,0.0,0.0,0,0,42,56,75.0,4,36,2,2,1,Cagliari,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
f554e29b,Alessio Cragno,28,ITA,GK,27-121,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,26,38,68.4,0,16,0,0,0,Cagliari,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
f586779e,Tammy Abraham,9,ENG,FW,24-025,90,0,0,0,0,2,0,1,0,23,1,0,0,0.6,0.6,0.0,1,0,12,18,66.7,2,8,1,4,2,Roma,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
dd0daf32,Henrikh Mkhitaryan,77,ARM,LW,32-279,45,0,0,0,0,0,0,0,0,24,0,0,2,0.0,0.0,0.0,1,0,14,19,73.7,0,7,0,0,0,Roma,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
d3aaad90,Stephan El Shaarawy,92,ITA,"LW,RW,RM",29-000,45,0,0,0,0,1,0,0,0,23,1,0,0,0.0,0.0,0.7,2,0,14,19,73.7,0,9,1,0,0,Roma,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
9907b1c8,Nicolò Zaniolo,22,ITA,RW,22-117,79,0,0,0,0,6,1,1,0,50,1,1,1,0.5,0.5,0.1,7,2,21,29,72.4,5,27,6,5,2,Roma,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
aded8e6f,Riccardo Calafiori,13,ITA,LB,19-161,11,0,0,0,0,0,0,1,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,1,0,0,0,0,Roma,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
4a5a45c7,Lorenzo Pellegrini,7,ITA,"AM,CM",25-130,90,1,1,0,0,6,1,1,0,61,1,0,2,0.5,0.5,0.2,8,1,33,46,71.7,6,24,2,3,2,Roma,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
4a56052c,Jordan Veretout,17,FRA,"DM,CM",28-240,89,0,0,0,0,0,0,0,0,59,1,2,1,0.0,0.0,0.1,5,0,48,55,87.3,5,31,0,0,0,Roma,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
a40819d9,Marash Kumbulla,24,ALB,CB,21-261,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Roma,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
16657b95,Bryan Cristante,4,ITA,"DM,CM",26-238,90,0,0,0,0,4,0,0,0,80,2,2,1,0.2,0.2,0.2,4,0,56,67,83.6,10,32,1,0,0,Roma,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
08eb3b58,Matías Viña,5,URU,LB,23-352,56,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,14,18,77.8,1,8,0,0,0,Roma,2021-10-27 Cagliari-Roma,ITA-SERIA_A,21-22,c2bd0034
