id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
5d59e0df,Emiliano Sala,9,ARG,FW,27-029,90,0,0,0,0,3,1,0,0,34,0,1,0,0.1,0.1,0.0,0,0,10,20,50.0,1,17,1,0,0,Nantes,2017-11-29 Nantes-Monaco,FRA-L1,17-18,c3bd6c5f
a1d04509,Yacine Bammou,10,MAR,LM,26-079,63,0,0,0,0,0,0,0,0,38,1,0,1,0.0,0.0,0.1,2,0,24,30,80.0,1,19,2,0,0,Nantes,2017-11-29 Nantes-Monaco,FRA-L1,17-18,c3bd6c5f
0f52f925,Lucas Lima,6,BRA,LM,26-050,27,1,0,0,0,1,1,0,0,22,1,0,0,0.0,0.0,0.1,2,0,10,20,50.0,1,14,1,2,1,Nantes,2017-11-29 Nantes-Monaco,FRA-L1,17-18,c3bd6c5f
c76b7567,Adrien Thomasson,8,FRA,CM,23-354,90,0,0,0,0,4,1,0,0,68,2,1,1,0.2,0.2,0.0,7,0,47,56,83.9,6,36,2,3,3,Nantes,2017-11-29 Nantes-Monaco,FRA-L1,17-18,c3bd6c5f
ed45c4a5,Valentin Rongier,28,FRA,CM,22-357,89,0,0,0,0,0,0,0,0,81,4,1,0,0.0,0.0,0.1,6,0,57,71,80.3,10,42,0,5,4,Nantes,2017-11-29 Nantes-Monaco,FRA-L1,17-18,c3bd6c5f
3befc2b6,Andrei Girotto,20,BRA,CM,25-285,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,1,2,0,0,0,Nantes,2017-11-29 Nantes-Monaco,FRA-L1,17-18,c3bd6c5f
0049d544,Yassine El Ghanassy,14,BEL,RM,27-140,45,0,0,0,0,1,1,0,0,31,0,0,0,0.0,0.0,0.1,2,0,14,21,66.7,3,21,2,7,4,Nantes,2017-11-29 Nantes-Monaco,FRA-L1,17-18,c3bd6c5f
f352a2db,Jules Iloki,7,FRA,RM,25-319,45,0,0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.1,1,0,17,28,60.7,2,19,4,0,0,Nantes,2017-11-29 Nantes-Monaco,FRA-L1,17-18,c3bd6c5f
ef7cd87a,Abdoulaye Touré,19,GUI,DM,23-271,90,0,0,0,0,1,0,0,0,69,3,5,0,0.0,0.0,0.0,1,0,46,56,82.1,6,35,0,1,1,Nantes,2017-11-29 Nantes-Monaco,FRA-L1,17-18,c3bd6c5f
