id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
81255c03,João Pedro,10,ITA,FW,27-235,90,2,0,0,0,4,2,0,0,35,0,0,1,0.2,0.2,0.0,1,0,15,21,71.4,3,20,2,1,0,Cagliari,2019-10-30 Cagliari-Bologna,ITA-SERIA_A,19-20,c3c909d6
343c0d52,Giovanni Simeone,99,ARG,FW,24-117,90,1,0,0,0,5,2,0,0,36,1,1,1,0.6,0.6,0.1,2,1,11,18,61.1,0,19,0,3,0,Cagliari,2019-10-30 Cagliari-Bologna,ITA-SERIA_A,19-20,c3c909d6
1f9328da,Radja Nainggolan,4,BEL,AM,31-179,81,0,1,0,0,2,1,0,0,50,2,0,2,0.1,0.1,0.5,4,1,25,35,71.4,5,24,2,3,2,Cagliari,2019-10-30 Cagliari-Bologna,ITA-SERIA_A,19-20,c3c909d6
cedb3e36,Artur Ioniță,21,MDA,AM,29-074,9,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.1,1,0,6,7,85.7,2,5,0,0,0,Cagliari,2019-10-30 Cagliari-Bologna,ITA-SERIA_A,19-20,c3c909d6
b6b2b820,Marko Rog,6,CRO,LM,24-103,90,0,0,0,0,0,0,0,0,67,5,2,0,0.0,0.0,0.1,5,1,38,52,73.1,3,30,5,5,3,Cagliari,2019-10-30 Cagliari-Bologna,ITA-SERIA_A,19-20,c3c909d6
ae64d449,Luca Cigarini,8,ITA,CM,33-132,70,0,0,0,0,0,0,1,0,73,0,1,1,0.0,0.0,0.1,3,0,45,66,68.2,11,21,0,0,0,Cagliari,2019-10-30 Cagliari-Bologna,ITA-SERIA_A,19-20,c3c909d6
d3b888e3,Christian Oliva,17,URU,CM,23-151,20,0,0,0,0,0,0,0,0,8,1,1,1,0.0,0.0,0.0,1,1,5,5,100.0,2,2,0,0,0,Cagliari,2019-10-30 Cagliari-Bologna,ITA-SERIA_A,19-20,c3c909d6
95facda1,Nahitan Nández,18,URU,RM,23-306,64,0,0,0,0,0,0,0,0,33,1,1,2,0.0,0.0,0.0,2,0,16,25,64.0,2,11,0,2,1,Cagliari,2019-10-30 Cagliari-Bologna,ITA-SERIA_A,19-20,c3c909d6
56b2957b,Lucas Castro,29,ARG,RM,30-204,26,0,0,0,0,1,0,0,0,18,1,0,0,0.1,0.1,0.0,1,1,10,14,71.4,4,6,1,0,0,Cagliari,2019-10-30 Cagliari-Bologna,ITA-SERIA_A,19-20,c3c909d6
