id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
0745b37d,Teemu Pukki,22,FIN,FW,31-138,76,0,0,0,0,1,1,0,0,18,1,0,1,0.1,0.1,0.0,1,0,11,13,84.6,2,10,1,0,0,Norwich City,2021-08-14 Norwich City-Liverpool,ENG-EPL,21-22,c52500ad
291e3ec3,Adam Idah,35,IRL,FW,20-184,14,0,0,0,0,1,1,0,0,6,0,0,0,0.5,0.5,0.0,0,0,3,5,60.0,1,2,0,0,0,Norwich City,2021-08-14 Norwich City-Liverpool,ENG-EPL,21-22,c52500ad
6c6a3300,Milot Rashica,17,KVX,LW,25-047,76,0,0,0,0,1,0,0,0,35,0,0,1,0.0,0.0,0.1,2,0,19,24,79.2,1,20,6,4,0,Norwich City,2021-08-14 Norwich City-Liverpool,ENG-EPL,21-22,c52500ad
a8d4428b,Josh Sargent,24,USA,LW,21-175,14,0,0,0,0,1,0,0,0,11,1,1,1,0.0,0.0,0.0,0,0,4,5,80.0,0,3,0,0,0,Norwich City,2021-08-14 Norwich City-Liverpool,ENG-EPL,21-22,c52500ad
f63d8a4b,Todd Cantwell,14,ENG,RW,23-168,85,0,0,0,0,1,0,1,0,39,5,1,0,0.0,0.0,0.1,5,0,24,29,82.8,3,29,1,1,0,Norwich City,2021-08-14 Norwich City-Liverpool,ENG-EPL,21-22,c52500ad
2f6ec02a,Kieran Dowell,10,ENG,RM,23-308,5,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.1,3,0,4,5,80.0,0,4,1,0,0,Norwich City,2021-08-14 Norwich City-Liverpool,ENG-EPL,21-22,c52500ad
3faa1780,Lukas Rupp,7,GER,LM,30-218,90,0,0,0,0,4,0,0,0,58,2,0,2,0.1,0.1,0.0,2,0,36,46,78.3,5,40,0,1,1,Norwich City,2021-08-14 Norwich City-Liverpool,ENG-EPL,21-22,c52500ad
df10e27c,Billy Gilmour,8,SCO,CM,20-064,90,0,0,0,0,0,0,0,0,86,1,1,1,0.0,0.0,0.0,0,0,68,78,87.2,2,59,1,2,2,Norwich City,2021-08-14 Norwich City-Liverpool,ENG-EPL,21-22,c52500ad
f5044e54,Pierre Lees-Melou,20,FRA,RM,28-081,90,0,0,0,0,1,0,0,0,60,3,0,3,0.1,0.1,0.9,3,0,39,50,78.0,3,38,0,1,0,Norwich City,2021-08-14 Norwich City-Liverpool,ENG-EPL,21-22,c52500ad
