id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
aaee68f1,Jasse Tuominen,24,FIN,FW,22-326,58,0,0,0,0,2,1,0,0,31,2,0,1,0.1,0.1,0.0,1,0,18,25,72.0,2,16,1,1,1,BATE Borisov,2018-10-04 BATE Borisov-PAOK,UEL,18-19,c572e4b7
489e5d93,Maksim Skavysh,15,BLR,FW,28-325,32,0,0,0,0,1,0,0,0,18,0,0,0,0.1,0.1,0.0,1,0,8,14,57.1,1,12,2,2,1,BATE Borisov,2018-10-04 BATE Borisov-PAOK,UEL,18-19,c572e4b7
4e80a8ef,Ihar Stasevich,22,BLR,LM,32-348,76,0,0,0,0,1,0,0,0,58,1,0,2,0.0,0.0,0.1,5,0,28,44,63.6,7,28,4,4,1,BATE Borisov,2018-10-04 BATE Borisov-PAOK,UEL,18-19,c572e4b7
20c1ef47,Mikhail Gordeichuk,62,BLR,"LW,LM",28-346,14,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,5,7,71.4,1,7,1,1,1,BATE Borisov,2018-10-04 BATE Borisov-PAOK,UEL,18-19,c572e4b7
4c82730b,Mirko Ivanić,10,MNE,"CM,RW",25-021,90,0,0,0,0,1,0,0,0,48,2,1,0,0.1,0.1,0.2,6,0,31,41,75.6,4,30,5,0,0,BATE Borisov,2018-10-04 BATE Borisov-PAOK,UEL,18-19,c572e4b7
a5d101a9,Stanislaw Drahun,8,BLR,CM,30-122,70,0,0,0,0,0,0,0,0,26,0,1,1,0.0,0.0,0.0,1,0,17,21,81.0,3,15,2,0,0,BATE Borisov,2018-10-04 BATE Borisov-PAOK,UEL,18-19,c572e4b7
35cf43aa,Alexander Hleb,11,BLR,"LM,CM",37-156,20,0,0,0,0,1,0,0,0,16,1,0,0,0.0,0.0,0.0,0,0,7,13,53.8,2,7,2,0,0,BATE Borisov,2018-10-04 BATE Borisov-PAOK,UEL,18-19,c572e4b7
ce538b0b,Dzmitry Baha,25,BLR,RM,28-273,90,0,0,0,0,2,0,0,0,25,0,0,0,0.1,0.1,0.0,1,0,20,22,90.9,3,14,0,0,0,BATE Borisov,2018-10-04 BATE Borisov-PAOK,UEL,18-19,c572e4b7
474cf8e0,Evgeni Yablonski,5,BLR,"DM,CM",23-147,90,0,0,0,0,2,0,0,0,46,2,0,2,0.1,0.1,0.0,0,0,32,37,86.5,1,23,1,0,0,BATE Borisov,2018-10-04 BATE Borisov-PAOK,UEL,18-19,c572e4b7
