id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
49fe9070,Timo Werner,11,GER,"AM,FW",25-028,90,0,1,0,0,1,0,0,0,45,1,0,1,0.0,0.0,0.6,3,1,30,34,88.2,2,20,4,3,1,Chelsea,2021-04-03 Chelsea-West Brom,ENG-EPL,20-21,c5d6a493
1bf33a9a,Christian Pulisic,10,USA,AM,22-197,45,1,0,0,0,1,1,0,0,18,1,0,0,0.2,0.2,0.0,2,0,13,15,86.7,1,12,2,0,0,Chelsea,2021-04-03 Chelsea-West Brom,ENG-EPL,20-21,c5d6a493
9674002f,Mason Mount,19,ENG,AM,22-083,45,1,0,0,0,4,2,0,0,32,2,1,0,0.6,0.6,0.0,1,0,16,22,72.7,4,15,3,2,0,Chelsea,2021-04-03 Chelsea-West Brom,ENG-EPL,20-21,c5d6a493
6622454d,Hakim Ziyech,22,MAR,AM,28-015,32,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.0,0,0,14,21,66.7,1,17,1,0,0,Chelsea,2021-04-03 Chelsea-West Brom,ENG-EPL,20-21,c5d6a493
1cb49278,Andreas Christensen,4,DEN,CB,24-358,58,0,0,0,0,1,0,0,0,50,0,2,1,0.0,0.0,0.0,1,0,38,42,90.5,1,29,1,0,0,Chelsea,2021-04-03 Chelsea-West Brom,ENG-EPL,20-21,c5d6a493
79c0821a,Mateo Kovačić,17,CRO,CM,26-332,90,0,0,0,0,2,0,1,0,99,5,1,0,0.1,0.1,0.1,4,0,69,86,80.2,13,67,7,5,5,Chelsea,2021-04-03 Chelsea-West Brom,ENG-EPL,20-21,c5d6a493
45db685d,Jorginho,5,ITA,CM,29-104,71,0,0,0,0,0,0,0,0,68,1,2,1,0.0,0.0,0.1,2,0,55,63,87.3,8,45,0,0,0,Chelsea,2021-04-03 Chelsea-West Brom,ENG-EPL,20-21,c5d6a493
fed7cb61,Kai Havertz,29,GER,CM,21-296,19,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,1,0,6,8,75.0,0,9,0,2,1,Chelsea,2021-04-03 Chelsea-West Brom,ENG-EPL,20-21,c5d6a493
f4290206,Marcos Alonso,3,ESP,WB,30-096,90,0,0,0,0,3,2,0,0,55,1,0,2,0.5,0.5,0.0,4,2,34,42,81.0,4,25,0,0,0,Chelsea,2021-04-03 Chelsea-West Brom,ENG-EPL,20-21,c5d6a493
