id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8a08491a,Gonzalo Higuaín,9,ARG,FW,29-252,70,1,0,0,0,4,2,0,0,22,1,0,0,0.3,0.3,0.0,3,0,11,14,78.6,1,19,3,2,2,Juventus,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
c0cddebe,Blaise Matuidi,14,FRA,DM,30-132,20,0,0,0,0,0,0,0,0,22,0,1,0,0.0,0.0,0.1,2,0,19,20,95.0,6,20,0,0,0,Juventus,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
afa0d4e0,Mario Mandžukić,17,CRO,LW,31-090,90,1,0,0,0,4,2,0,0,59,0,3,2,0.2,0.2,0.0,0,0,38,48,79.2,4,29,3,0,0,Juventus,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
0ab1f153,Juan Cuadrado,7,COL,RW,29-085,73,0,0,0,0,0,0,0,0,58,1,0,1,0.0,0.0,0.2,7,1,46,54,85.2,5,40,6,1,1,Juventus,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
4fa7cb9b,Douglas Costa,11,BRA,RW,26-339,17,0,0,0,0,0,0,0,0,24,1,0,0,0.0,0.0,0.1,4,0,18,20,90.0,3,17,1,2,1,Juventus,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
e0921a4f,Paulo Dybala,10,ARG,"AM,FW",23-277,90,1,0,0,0,7,3,0,0,74,0,0,2,0.6,0.6,0.0,5,0,45,54,83.3,6,53,3,6,4,Juventus,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
ad6df2d5,Miralem Pjanić,5,BIH,DM,27-139,90,0,1,0,0,1,0,0,0,98,1,4,2,0.0,0.0,0.3,3,2,82,89,92.1,8,51,0,0,0,Juventus,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
e304acd5,Claudio Marchisio,8,ITA,DM,31-212,61,0,0,0,0,1,0,0,0,53,0,0,0,0.0,0.0,0.0,2,0,45,52,86.5,6,41,0,0,0,Juventus,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
38ac43d3,Sami Khedira,6,GER,"AM,DM",30-137,29,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,1,1,18,20,90.0,3,14,2,1,1,Juventus,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
0d82903c,Alex Sandro,12,BRA,LB,26-205,90,0,1,0,0,0,0,0,0,93,1,2,0,0.0,0.0,0.1,3,1,72,87,82.8,6,64,6,6,6,Juventus,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
e85fb9b8,Giorgio Chiellini,3,ITA,CB,33-005,90,0,0,0,0,0,0,0,0,85,1,2,0,0.0,0.0,0.0,0,0,63,72,87.5,4,54,1,0,0,Juventus,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
14b8fcdf,Daniele Rugani,24,ITA,CB,23-021,90,0,0,0,0,0,0,0,0,82,1,2,1,0.0,0.0,0.0,0,0,67,76,88.2,1,59,1,0,0,Juventus,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
99b1d0e6,Stephan Lichtsteiner,26,SUI,RB,33-215,90,0,1,0,0,0,0,1,0,99,1,2,0,0.0,0.0,0.2,3,1,83,91,91.2,8,58,2,1,1,Juventus,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
e40d028b,Gianluigi Buffon,1,ITA,GK,39-203,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,30,33,90.9,0,24,0,0,0,Juventus,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
157d29b6,Diego Farias,17,BRA,"FW,LM",27-101,90,0,0,0,1,1,1,0,0,38,0,0,1,0.8,0.1,0.0,1,0,27,30,90.0,2,26,1,5,3,Cagliari,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
8b0b02c9,Duje Čop,90,CRO,FW,27-199,80,0,0,0,0,0,0,0,0,20,1,0,0,0.0,0.0,0.0,1,0,8,15,53.3,3,10,1,0,0,Cagliari,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
1ad1f50d,Marco Sau,25,ITA,FW,29-289,10,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Cagliari,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
6928979a,Nicolò Barella,18,ITA,"AM,CM",20-193,90,0,0,0,0,0,0,0,0,69,1,2,4,0.0,0.0,0.1,3,0,45,57,78.9,7,38,1,4,4,Cagliari,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
cedb3e36,Artur Ioniță,21,MDA,"LM,RM",27-002,90,0,0,0,0,1,0,0,0,45,1,1,1,0.1,0.1,0.0,1,0,26,38,68.4,2,27,2,0,0,Cagliari,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
ae64d449,Luca Cigarini,8,ITA,CM,31-060,81,0,0,0,0,0,0,0,0,62,3,2,1,0.0,0.0,0.0,0,0,39,54,72.2,6,20,1,0,0,Cagliari,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
02b2937c,Daniele Dessena,4,ITA,CM,30-101,9,0,0,0,0,0,0,0,0,10,0,0,1,0.0,0.0,0.0,0,0,7,7,100.0,1,2,0,0,0,Cagliari,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
9085dd7c,Paolo Faragò,24,ITA,"RM,RB",24-188,90,0,0,0,0,2,0,0,0,40,2,0,1,0.5,0.5,0.0,0,0,20,27,74.1,4,11,0,1,1,Cagliari,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
616aea37,Marco Capuano,24,ITA,LB,25-309,90,0,0,0,0,0,0,0,0,70,2,0,1,0.0,0.0,0.0,1,0,55,67,82.1,7,33,3,2,2,Cagliari,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
56400c01,Fabio Pisacane,19,ITA,CB,31-203,90,0,0,0,0,0,0,0,0,56,5,2,0,0.0,0.0,0.0,0,0,39,46,84.8,1,32,0,0,0,Cagliari,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
13d820de,Marco Andreolli,3,ITA,CB,31-070,90,0,0,0,0,0,0,0,0,55,2,1,3,0.0,0.0,0.0,0,0,35,38,92.1,1,24,0,0,0,Cagliari,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
5eb72339,Simone Padoin,20,ITA,RB,33-154,62,0,0,0,0,0,0,0,0,39,0,1,0,0.0,0.0,0.0,0,0,26,35,74.3,2,18,0,0,0,Cagliari,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
81255c03,João Pedro,10,ITA,"FW,RB",25-163,28,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,9,44.4,1,7,0,0,0,Cagliari,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
f554e29b,Alessio Cragno,28,ITA,GK,23-052,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,12,19,63.2,0,8,0,0,0,Cagliari,2017-08-19 Juventus-Cagliari,ITA-SERIA_A,17-18,c6005f97
