id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
4c2e9442,Maxi Gómez,22,URU,FW,23-312,66,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,6,10,60.0,2,5,1,0,0,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
9e1035f8,Ferrán Torres,20,ESP,FW,20-113,24,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.0,1,0,7,10,70.0,0,5,0,1,1,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
1fb1c435,Rodrigo,19,ESP,FW,29-107,88,1,0,0,0,3,1,0,0,45,1,0,0,0.7,0.7,0.0,2,0,30,39,76.9,2,34,3,3,3,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
ced26057,Vicente Esquerdo,34,ESP,FW,21-171,2,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,1,2,0,0,0,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
e6bc67d7,Gonçalo Guedes,7,POR,LM,23-205,66,1,1,0,0,2,1,1,0,28,1,0,0,0.1,0.1,0.4,4,3,16,22,72.7,4,17,6,5,4,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
0ac94a23,Denis Cheryshev,11,RUS,LM,29-178,24,0,0,0,0,1,1,0,0,11,0,0,0,0.7,0.7,0.0,1,0,7,10,70.0,1,10,1,0,0,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
cce181df,Geoffrey Kondogbia,6,CTA,CM,27-127,57,0,0,0,0,0,0,0,0,48,1,3,3,0.0,0.0,0.0,1,0,33,38,86.8,2,21,1,1,1,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
d83bbc54,Daniel Wass,18,DEN,CM,31-021,33,0,0,0,0,0,0,0,0,23,1,1,0,0.0,0.0,0.0,0,0,21,22,95.5,0,15,0,1,1,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
7460ca0d,Daniel Parejo,10,ESP,CM,31-066,90,0,0,0,0,0,0,0,0,73,2,1,0,0.0,0.0,0.0,1,0,64,70,91.4,5,51,0,0,0,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
fed17f5a,Carlos Soler,8,ESP,RM,23-171,90,0,0,0,0,1,0,0,0,36,1,2,0,0.1,0.1,0.0,1,0,23,27,85.2,2,27,2,1,0,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
808d48f3,Jaume Costa,3,ESP,LB,32-095,90,0,1,0,0,0,0,0,0,67,0,2,0,0.0,0.0,0.1,0,0,48,59,81.4,2,38,2,0,0,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
f7c12fbf,Hugo Guillamón,33,ESP,CB,20-142,90,0,0,0,0,0,0,0,0,66,1,1,1,0.0,0.0,0.0,0,0,53,56,94.6,1,50,0,1,0,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
b7ca5c51,Gabriel Paulista,5,BRA,CB,29-208,90,0,0,0,0,0,0,0,0,76,1,0,0,0.0,0.0,0.0,0,0,59,64,92.2,0,48,1,0,0,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
e288d4b3,Alessandro Florenzi,25,ITA,RB,29-102,90,0,0,0,0,0,0,0,0,81,3,3,1,0.0,0.0,0.3,1,0,57,69,82.6,1,43,0,0,0,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
04ac8285,Jasper Cillessen,13,NED,GK,31-060,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,21,44,47.7,0,22,0,0,0,Valencia,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
88a359d4,Adrián López,22,ESP,FW,32-165,77,0,0,0,0,1,1,0,0,25,1,0,1,0.0,0.0,0.0,3,0,16,17,94.1,3,17,7,1,1,Osasuna,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
46e07328,José Arnaiz,16,ESP,FW,25-067,13,0,0,0,0,2,0,0,0,4,0,0,0,0.4,0.4,0.0,1,0,2,2,100.0,0,3,1,0,0,Osasuna,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
b92b456a,Marc Cardona,7,ESP,FW,24-349,45,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,5,0,1,1,Osasuna,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
82e9b89d,Enric Gallego,11,ESP,FW,33-283,45,0,0,0,0,3,0,0,0,11,1,0,1,0.2,0.2,0.0,3,0,3,4,75.0,0,7,0,0,0,Osasuna,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
bc61cc65,Iñigo Pérez,21,ESP,CM,32-155,45,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.1,2,0,15,22,68.2,1,14,0,0,0,Osasuna,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
5c96b017,Rubén García,14,ESP,LM,26-343,45,0,0,0,0,1,1,1,0,27,1,0,1,0.0,0.0,0.5,5,0,15,22,68.2,0,18,6,1,1,Osasuna,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
466824fb,Oier Sanjurjo,6,ESP,CM,34-027,90,0,0,0,0,2,0,0,0,57,3,2,3,0.6,0.6,0.0,2,0,33,42,78.6,11,33,2,2,1,Osasuna,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
4accb7e0,Darko Brašanac,20,SRB,CM,28-130,68,0,0,0,0,0,0,0,0,23,2,0,0,0.0,0.0,0.0,0,0,13,20,65.0,1,15,1,0,0,Osasuna,2020-06-21 Valencia-Osasuna,ESP-LALIGA,19-20,c6d15e63
