id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
833fb62e,Sandro Ramírez,23,ESP,FW,22-299,90,0,0,0,0,3,3,0,0,38,2,1,0,0.2,0.2,0.1,5,1,17,24,70.8,1,25,1,3,1,Sevilla,2018-05-04 Sevilla-Real Sociedad,ESP-LALIGA,17-18,c7190c1f
b2d0ec1b,Nolito,24,ESP,LW,31-201,68,0,0,0,0,0,0,0,0,38,2,0,1,0.0,0.0,0.1,3,1,20,29,69.0,6,25,0,0,0,Sevilla,2018-05-04 Sevilla-Real Sociedad,ESP-LALIGA,17-18,c7190c1f
45b9b619,Joaquín Correa,11,ARG,LW,23-264,22,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,3,7,42.9,0,4,0,0,0,Sevilla,2018-05-04 Sevilla-Real Sociedad,ESP-LALIGA,17-18,c7190c1f
9744ff80,Pablo Sarabia,17,ESP,RW,25-358,86,0,0,0,0,4,2,1,0,35,1,1,1,0.5,0.5,0.0,2,0,20,24,83.3,6,26,4,0,0,Sevilla,2018-05-04 Sevilla-Real Sociedad,ESP-LALIGA,17-18,c7190c1f
467bae22,Franco Vázquez,22,ARG,"AM,RW",29-071,4,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,3,0,0,0,Sevilla,2018-05-04 Sevilla-Real Sociedad,ESP-LALIGA,17-18,c7190c1f
fa937f7a,Éver Banega,10,ARG,"AM,RW",29-309,90,1,0,1,1,1,0,1,0,56,1,0,1,0.8,0.1,0.6,5,0,28,43,65.1,7,33,4,5,2,Sevilla,2018-05-04 Sevilla-Real Sociedad,ESP-LALIGA,17-18,c7190c1f
7c4243d4,Roque Mesa,7,ESP,DM,28-331,78,0,0,0,0,1,0,0,0,44,5,0,1,0.1,0.1,0.1,3,0,32,37,86.5,3,31,0,0,0,Sevilla,2018-05-04 Sevilla-Real Sociedad,ESP-LALIGA,17-18,c7190c1f
294450ba,Johannes Geis,12,GER,DM,24-260,12,0,0,0,0,1,0,0,0,7,1,0,1,0.0,0.0,0.0,0,0,1,3,33.3,0,4,0,0,0,Sevilla,2018-05-04 Sevilla-Real Sociedad,ESP-LALIGA,17-18,c7190c1f
c7526c18,Steven Nzonzi,15,FRA,DM,29-140,90,0,0,0,0,1,0,0,0,48,0,2,2,0.0,0.0,0.0,2,0,29,41,70.7,3,23,0,0,0,Sevilla,2018-05-04 Sevilla-Real Sociedad,ESP-LALIGA,17-18,c7190c1f
b0616e3d,Sergio Escudero,18,ESP,LB,28-244,90,0,0,0,0,0,0,0,0,68,6,4,1,0.0,0.0,0.0,0,0,42,52,80.8,8,29,2,3,1,Sevilla,2018-05-04 Sevilla-Real Sociedad,ESP-LALIGA,17-18,c7190c1f
