id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8a56c04c,Ryan Mmaee,8,MAR,FW,23-333,90,0,0,0,0,3,0,0,0,31,3,0,0,0.5,0.5,0.0,1,0,15,20,75.0,2,20,2,3,2,Ferencváros,2021-09-30 Ferencváros-Betis,UEL,21-22,c766bca7
01da7812,Myrto Uzuni,77,ALB,AM,26-122,90,1,0,0,0,3,1,0,0,41,2,0,1,0.4,0.4,0.2,2,0,22,28,78.6,4,23,1,3,1,Ferencváros,2021-09-30 Ferencváros-Betis,UEL,21-22,c766bca7
47dbe004,Kristoffer Zachariassen,16,NOR,AM,26-338,60,0,0,0,0,0,0,0,0,11,1,0,0,0.0,0.0,0.0,2,0,5,7,71.4,1,4,0,0,0,Ferencváros,2021-09-30 Ferencváros-Betis,UEL,21-22,c766bca7
36a79857,Tokmac Nguen,10,NOR,"AM,RW",27-345,30,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,1,0,4,5,80.0,1,7,1,1,1,Ferencváros,2021-09-30 Ferencváros-Betis,UEL,21-22,c766bca7
173eb3cd,Bálint Vécsei,19,HUN,"CM,DM",28-079,90,0,0,0,0,1,0,0,0,71,1,5,2,0.0,0.0,0.0,2,0,45,60,75.0,4,38,3,0,0,Ferencváros,2021-09-30 Ferencváros-Betis,UEL,21-22,c766bca7
22798128,Aïssa Laïdouni,93,TUN,"CM,DM",24-291,88,0,0,0,0,1,0,1,0,44,1,2,4,0.0,0.0,0.1,2,0,28,30,93.3,4,28,3,4,3,Ferencváros,2021-09-30 Ferencváros-Betis,UEL,21-22,c766bca7
816bdfdd,Stjepan Lončar,44,BIH,DM,24-324,2,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0,Ferencváros,2021-09-30 Ferencváros-Betis,UEL,21-22,c766bca7
5fcb90ac,Eldar Ćivić,17,BIH,"WB,LB",25-125,90,0,0,0,0,0,0,0,0,55,5,1,0,0.0,0.0,0.4,3,0,29,43,67.4,2,25,5,5,2,Ferencváros,2021-09-30 Ferencváros-Betis,UEL,21-22,c766bca7
0362c29e,Henry Wingo,31,USA,"WB,RB",25-361,90,0,0,0,0,2,0,0,0,48,1,3,1,0.0,0.0,0.0,1,0,32,36,88.9,0,28,2,2,1,Ferencváros,2021-09-30 Ferencváros-Betis,UEL,21-22,c766bca7
2cb77ec6,Endre Botka,21,HUN,CB,27-036,81,0,0,0,0,0,0,0,0,54,1,0,2,0.0,0.0,0.0,1,0,44,48,91.7,3,27,4,2,2,Ferencváros,2021-09-30 Ferencváros-Betis,UEL,21-22,c766bca7
