id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
e468c053,Gervinho,27,CIV,"FW,LW",32-111,90,0,0,0,0,4,2,0,0,27,0,0,0,0.3,0.3,0.1,2,0,11,14,78.6,1,23,3,3,1,Parma,2019-09-15 Parma-Cagliari,ITA-SERIA_A,19-20,c88fa28b
6c1f7328,Roberto Inglese,9,ITA,FW,27-307,73,0,0,0,0,3,1,0,0,17,1,1,2,0.2,0.2,0.0,0,0,5,8,62.5,0,8,2,0,0,Parma,2019-09-15 Parma-Cagliari,ITA-SERIA_A,19-20,c88fa28b
c693347d,Andreas Cornelius,11,DEN,FW,26-183,17,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,5,8,62.5,0,4,0,0,0,Parma,2019-09-15 Parma-Cagliari,ITA-SERIA_A,19-20,c88fa28b
df3cda47,Dejan Kulusevski,44,SWE,"AM,RM",19-143,90,0,0,0,0,1,1,0,0,43,0,3,0,0.1,0.1,0.1,6,0,19,31,61.3,5,32,6,5,3,Parma,2019-09-15 Parma-Cagliari,ITA-SERIA_A,19-20,c88fa28b
a64cbd35,Antonino Barillà,17,ITA,LM,31-167,90,1,0,0,0,3,1,0,0,35,1,0,1,0.9,0.9,0.1,2,0,23,28,82.1,2,19,1,1,0,Parma,2019-09-15 Parma-Cagliari,ITA-SERIA_A,19-20,c88fa28b
e947ee4a,Gastón Brugman,15,URU,CM,27-008,73,0,0,0,0,1,0,0,0,40,3,1,0,0.0,0.0,0.0,3,0,28,32,87.5,2,25,0,0,0,Parma,2019-09-15 Parma-Cagliari,ITA-SERIA_A,19-20,c88fa28b
149c5f5d,Giuseppe Pezzella,97,ITA,"LB,CM",21-290,17,0,0,0,0,0,0,0,0,13,1,1,0,0.0,0.0,0.0,0,0,5,10,50.0,1,9,1,1,1,Parma,2019-09-15 Parma-Cagliari,ITA-SERIA_A,19-20,c88fa28b
6f5ead86,Hernani,10,BRA,"RM,CM",25-172,90,0,0,0,0,3,1,0,0,63,1,1,2,0.1,0.1,0.5,7,1,35,54,64.8,8,27,3,1,1,Parma,2019-09-15 Parma-Cagliari,ITA-SERIA_A,19-20,c88fa28b
173061c0,Riccardo Gagliolo,28,SWE,"LB,CB",29-140,90,0,0,0,0,3,1,0,0,58,2,1,1,0.1,0.1,0.1,3,0,39,47,83.0,6,33,1,0,0,Parma,2019-09-15 Parma-Cagliari,ITA-SERIA_A,19-20,c88fa28b
585a73a8,Bruno Alves,22,POR,CB,37-292,90,0,0,0,0,1,0,0,0,65,0,1,0,0.1,0.1,0.0,3,0,46,59,78.0,12,29,0,0,0,Parma,2019-09-15 Parma-Cagliari,ITA-SERIA_A,19-20,c88fa28b
