id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
6a479195,Stephen Odey,15,NGA,FW,20-283,90,1,0,0,0,4,2,0,0,37,2,0,1,0.6,0.6,0.1,4,0,17,23,73.9,1,23,1,0,0,Zürich,2018-10-25 Zürich-Leverkusen,UEL,18-19,c908feda
4802f157,Benjamin Kololli,70,KVX,LW,26-163,78,0,0,0,0,2,1,0,0,40,4,2,1,0.1,0.1,0.0,1,0,9,23,39.1,0,20,2,1,0,Zürich,2018-10-25 Zürich-Leverkusen,UEL,18-19,c908feda
677267d1,Roberto Rodríguez,68,SUI,LW,28-089,12,0,0,0,0,0,0,1,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,3,3,0,1,1,Zürich,2018-10-25 Zürich-Leverkusen,UEL,18-19,c908feda
21a4bd09,Adrian Winter,7,SUI,RW,32-109,57,0,0,0,0,0,0,0,0,23,1,0,2,0.0,0.0,0.4,1,0,9,18,50.0,2,10,0,0,0,Zürich,2018-10-25 Zürich-Leverkusen,UEL,18-19,c908feda
1b09b065,Salim Khelifi,94,TUN,RW,24-272,33,0,0,0,0,1,0,0,0,16,1,0,1,0.0,0.0,0.0,0,0,3,8,37.5,0,13,0,1,1,Zürich,2018-10-25 Zürich-Leverkusen,UEL,18-19,c908feda
8d7323e8,Antonio Marchesano,10,SUI,AM,27-280,89,1,0,0,0,3,1,0,0,45,1,0,3,0.9,0.9,0.5,7,1,21,32,65.6,5,33,0,0,0,Zürich,2018-10-25 Zürich-Leverkusen,UEL,18-19,c908feda
b69c4388,Alain Nef,13,SUI,AM,36-261,1,0,0,0,0,0,0,0,0,3,0,1,0,0.0,0.0,0.0,0,0,1,1,100.0,1,0,0,0,0,Zürich,2018-10-25 Zürich-Leverkusen,UEL,18-19,c908feda
e707e3a7,Hekuran Kryeziu,71,KVX,DM,25-255,90,0,0,0,0,0,0,0,0,53,3,5,1,0.0,0.0,0.0,2,0,30,38,78.9,4,27,1,0,0,Zürich,2018-10-25 Zürich-Leverkusen,UEL,18-19,c908feda
ead51916,Toni Domgjoni,14,KVX,DM,20-051,90,1,0,0,0,3,2,0,0,52,1,0,2,0.5,0.5,0.0,1,0,31,40,77.5,7,26,0,3,1,Zürich,2018-10-25 Zürich-Leverkusen,UEL,18-19,c908feda
7df95c14,Pa Modou Jagne,18,GAM,LB,28-303,90,0,1,0,0,1,0,1,0,56,3,0,0,0.1,0.1,0.2,4,1,31,44,70.5,5,26,2,5,4,Zürich,2018-10-25 Zürich-Leverkusen,UEL,18-19,c908feda
52fdf512,Andreas Maxsø,3,DEN,CB,24-221,90,0,0,0,0,0,0,0,0,52,0,4,1,0.0,0.0,0.1,1,0,28,37,75.7,2,22,2,0,0,Zürich,2018-10-25 Zürich-Leverkusen,UEL,18-19,c908feda
3628b9b9,Umaru Bangura,17,SLE,CB,31-018,90,0,0,0,0,0,0,0,0,56,0,5,0,0.0,0.0,0.0,0,0,33,42,78.6,5,25,0,0,0,Zürich,2018-10-25 Zürich-Leverkusen,UEL,18-19,c908feda
90573602,Kevin Rüegg,22,SUI,RB,20-081,90,0,1,0,0,1,0,0,0,51,2,2,1,0.0,0.0,0.8,2,2,25,37,67.6,2,18,1,3,2,Zürich,2018-10-25 Zürich-Leverkusen,UEL,18-19,c908feda
6115fddd,Yanick Brecher,25,SUI,GK,25-153,90,0,0,0,0,0,0,0,0,53,0,0,0,0.0,0.0,0.0,0,0,33,48,68.8,0,40,0,0,0,Zürich,2018-10-25 Zürich-Leverkusen,UEL,18-19,c908feda
