id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
9980269a,Kalifa Coulibaly,7,MLI,FW,27-222,90,1,0,0,0,1,1,0,0,21,0,0,0,0.1,0.1,0.0,1,0,9,17,52.9,1,14,0,2,2,Nantes,2019-03-31 Nantes-Lille,FRA-L1,18-19,c9783ea3
ae82fa48,Valentin Eysseric,11,FRA,FW,27-006,83,1,0,1,2,3,0,1,0,46,1,0,1,1.8,0.2,0.0,4,0,27,34,79.4,3,28,4,3,1,Nantes,2019-03-31 Nantes-Lille,FRA-L1,18-19,c9783ea3
ccee698e,Anthony Limbombe,22,BEL,"LW,FW",24-259,7,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,1,0,Nantes,2019-03-31 Nantes-Lille,FRA-L1,18-19,c9783ea3
0f52f925,Lucas Lima,6,BRA,"LW,LB",27-172,90,0,0,0,0,0,0,0,0,68,2,1,1,0.0,0.0,0.2,3,0,48,60,80.0,6,31,2,1,0,Nantes,2019-03-31 Nantes-Lille,FRA-L1,18-19,c9783ea3
bc7b4580,Fábio,2,BRA,RW,28-265,86,0,1,0,0,0,0,0,0,36,4,0,1,0.0,0.0,0.1,2,2,29,33,87.9,2,23,0,0,0,Nantes,2019-03-31 Nantes-Lille,FRA-L1,18-19,c9783ea3
e90af77c,Gabriel Boschilia,12,BRA,RW,23-026,4,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,6,33.3,0,5,1,1,1,Nantes,2019-03-31 Nantes-Lille,FRA-L1,18-19,c9783ea3
5f4ce4b6,Lucas Evangelista,17,BRA,CM,23-329,78,0,0,0,0,0,0,0,0,33,3,1,1,0.0,0.0,0.0,1,0,16,25,64.0,3,15,1,2,2,Nantes,2019-03-31 Nantes-Lille,FRA-L1,18-19,c9783ea3
af0c835b,Samuel Moutoussamy,18,COD,"LM,CM",22-231,12,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,3,1,0,0,Nantes,2019-03-31 Nantes-Lille,FRA-L1,18-19,c9783ea3
ed45c4a5,Valentin Rongier,28,FRA,"CM,RM",24-114,90,0,0,0,0,1,0,0,0,54,3,1,3,0.0,0.0,0.1,1,0,38,44,86.4,9,32,3,2,2,Nantes,2019-03-31 Nantes-Lille,FRA-L1,18-19,c9783ea3
