id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
a190d597,Diego Costa,29,ESP,FW,34-008,81,0,0,0,0,1,0,0,0,11,0,0,1,0.1,0.1,0.0,0,0,6,7,85.7,0,7,1,0,0,Wolverhampton Wanderers,2022-10-15 Wolves-Nott'ham Forest,ENG-EPL,22-23,c9f8e7e9
169fd162,Hwang Hee-chan,11,KOR,FW,26-262,9,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,2,0,0,0,Wolverhampton Wanderers,2022-10-15 Wolves-Nott'ham Forest,ENG-EPL,22-23,c9f8e7e9
7fcc71d8,Daniel Podence,10,POR,"LW,LM",26-359,90,0,0,0,0,0,0,1,0,51,3,0,0,0.0,0.0,0.1,4,0,26,37,70.3,9,26,2,5,0,Wolverhampton Wanderers,2022-10-15 Wolves-Nott'ham Forest,ENG-EPL,22-23,c9f8e7e9
9a28eba4,Adama Traoré,37,ESP,RW,26-263,84,0,0,0,0,3,0,0,0,40,0,0,1,0.3,0.3,0.1,5,1,22,29,75.9,3,26,8,2,1,Wolverhampton Wanderers,2022-10-15 Wolves-Nott'ham Forest,ENG-EPL,22-23,c9f8e7e9
d04b94db,Nélson Semedo,22,POR,"RM,RW",28-333,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0,Wolverhampton Wanderers,2022-10-15 Wolves-Nott'ham Forest,ENG-EPL,22-23,c9f8e7e9
e6af02e0,Matheus Nunes,27,POR,AM,24-049,89,0,0,0,0,0,0,0,0,26,2,1,0,0.0,0.0,0.1,2,0,12,23,52.2,3,13,2,0,0,Wolverhampton Wanderers,2022-10-15 Wolves-Nott'ham Forest,ENG-EPL,22-23,c9f8e7e9
bd8a5d95,Joseph Hodge,59,IRL,CM,20-031,1,0,0,0,0,0,0,1,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,0,0,0,0,Wolverhampton Wanderers,2022-10-15 Wolves-Nott'ham Forest,ENG-EPL,22-23,c9f8e7e9
f5a00fa4,João Moutinho,28,POR,DM,36-037,81,0,0,0,0,0,0,0,0,72,2,1,2,0.0,0.0,0.2,4,0,54,64,84.4,5,38,1,1,0,Wolverhampton Wanderers,2022-10-15 Wolves-Nott'ham Forest,ENG-EPL,22-23,c9f8e7e9
999ceb5f,Boubacar Traoré,6,MLI,"DM,CM",21-056,9,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,6,66.7,0,0,0,0,0,Wolverhampton Wanderers,2022-10-15 Wolves-Nott'ham Forest,ENG-EPL,22-23,c9f8e7e9
44bfb6c5,Rúben Neves,8,POR,DM,25-216,90,1,0,1,1,1,1,0,0,78,3,1,0,0.8,0.0,0.0,1,0,54,68,79.4,8,43,2,2,2,Wolverhampton Wanderers,2022-10-15 Wolves-Nott'ham Forest,ENG-EPL,22-23,c9f8e7e9
9b398aea,Rayan Aït-Nouri,3,ALG,LB,21-131,89,0,0,0,0,2,0,0,0,41,2,1,1,0.1,0.1,0.0,0,0,23,29,79.3,1,17,4,1,0,Wolverhampton Wanderers,2022-10-15 Wolves-Nott'ham Forest,ENG-EPL,22-23,c9f8e7e9
bfc3b3a0,Hugo Bueno,64,ESP,LB,20-027,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Wolverhampton Wanderers,2022-10-15 Wolves-Nott'ham Forest,ENG-EPL,22-23,c9f8e7e9
