id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
4bcf39f6,Neal Maupay,7,FRA,FW,27-187,62,0,0,0,0,1,1,0,0,28,1,0,0,0.0,0.0,0.2,5,0,17,24,70.8,1,10,2,2,1,Brentford,2024-02-17 Brentford-Liverpool,ENG-EPL,23-24,ca1e26a0
2500cef9,Yoane Wissa,11,COD,FW,27-167,28,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.1,2,0,8,9,88.9,1,6,0,2,1,Brentford,2024-02-17 Brentford-Liverpool,ENG-EPL,23-24,ca1e26a0
e09f279b,Ivan Toney,17,ENG,FW,27-338,90,1,0,0,0,8,4,0,0,39,0,1,0,0.7,0.7,0.0,4,0,13,21,61.9,2,21,1,2,0,Brentford,2024-02-17 Brentford-Liverpool,ENG-EPL,23-24,ca1e26a0
8449d35e,Vitaly Janelt,27,GER,CM,25-283,90,0,0,0,0,1,0,0,0,39,3,1,1,0.0,0.0,0.0,1,0,23,31,74.2,4,13,0,1,0,Brentford,2024-02-17 Brentford-Liverpool,ENG-EPL,23-24,ca1e26a0
df0a4c90,Christian Nørgaard,6,DEN,CM,29-344,62,0,0,0,0,1,0,0,0,34,0,3,2,0.1,0.1,0.1,3,0,20,26,76.9,7,15,0,0,0,Brentford,2024-02-17 Brentford-Liverpool,ENG-EPL,23-24,ca1e26a0
2944f86f,Frank Onyeka,15,NGA,CM,26-047,28,0,0,0,0,0,0,1,0,19,1,0,0,0.0,0.0,0.0,1,0,8,11,72.7,1,12,0,2,1,Brentford,2024-02-17 Brentford-Liverpool,ENG-EPL,23-24,ca1e26a0
0f134faf,Mathias Jensen,8,DEN,CM,28-047,73,0,0,0,0,1,0,0,0,37,0,0,3,0.0,0.0,0.1,3,0,24,31,77.4,3,16,1,2,1,Brentford,2024-02-17 Brentford-Liverpool,ENG-EPL,23-24,ca1e26a0
215f3907,Mikkel Damsgaard,24,DEN,CM,23-229,17,0,0,0,0,0,0,0,0,11,2,2,0,0.0,0.0,0.1,1,0,3,7,42.9,0,3,1,0,0,Brentford,2024-02-17 Brentford-Liverpool,ENG-EPL,23-24,ca1e26a0
3353737a,Sergio Reguilón,12,ESP,WB,27-063,84,0,0,0,0,1,1,1,0,45,2,1,2,0.1,0.1,0.0,3,1,25,37,67.6,2,17,1,1,1,Brentford,2024-02-17 Brentford-Liverpool,ENG-EPL,23-24,ca1e26a0
f7b1d4e0,Saman Ghoddos,14,IRN,WB,30-164,6,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,1,0,1,4,25.0,0,2,0,1,0,Brentford,2024-02-17 Brentford-Liverpool,ENG-EPL,23-24,ca1e26a0
