id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d5dd5f1f,Pierre-Emerick Aubameyang,10,GAB,FW,34-168,69,1,0,1,1,0,0,0,0,18,0,0,0,0.8,0.0,0.0,1,0,9,13,69.2,0,14,0,1,0,Marseille,2023-12-03 Marseille-Rennes,FRA-L1,23-24,caadf3f7
74d4cec6,Vitinha,9,POR,FW,23-263,21,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,0,11,0,2,0,Marseille,2023-12-03 Marseille-Rennes,FRA-L1,23-24,caadf3f7
5ed97752,Iliman Ndiaye,29,SEN,LW,23-272,66,0,0,0,0,0,0,0,1,27,0,1,0,0.0,0.0,0.0,1,1,17,21,81.0,1,24,4,2,1,Marseille,2023-12-03 Marseille-Rennes,FRA-L1,23-24,caadf3f7
bfdb33aa,Ismaila Sarr,23,SEN,RW,25-281,69,0,0,0,0,0,0,0,0,26,1,1,1,0.0,0.0,0.0,1,0,13,18,72.2,1,20,3,1,0,Marseille,2023-12-03 Marseille-Rennes,FRA-L1,23-24,caadf3f7
7c3ed041,Leonardo Balerdi,5,ARG,"CB,RW",24-311,21,0,0,0,0,0,0,0,0,7,0,2,1,0.0,0.0,0.0,0,0,3,4,75.0,0,3,0,0,0,Marseille,2023-12-03 Marseille-Rennes,FRA-L1,23-24,caadf3f7
e7d59f4f,Amine Harit,11,MAR,"AM,DM",26-168,86,0,0,0,0,0,0,0,0,65,3,0,1,0.0,0.0,0.0,3,1,46,57,80.7,5,57,5,5,3,Marseille,2023-12-03 Marseille-Rennes,FRA-L1,23-24,caadf3f7
4a56052c,Jordan Veretout,27,FRA,DM,30-277,4,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,1,1,0,0,0,Marseille,2023-12-03 Marseille-Rennes,FRA-L1,23-24,caadf3f7
83299cc0,Azzedine Ounahi,8,MAR,DM,23-228,90,1,0,0,0,3,1,0,0,62,0,1,2,0.1,0.1,0.0,0,0,44,49,89.8,5,52,2,3,1,Marseille,2023-12-03 Marseille-Rennes,FRA-L1,23-24,caadf3f7
cce181df,Geoffrey Kondogbia,19,CTA,DM,30-291,90,0,0,0,0,0,0,0,0,52,0,6,2,0.0,0.0,0.0,0,0,34,40,85.0,3,34,1,0,0,Marseille,2023-12-03 Marseille-Rennes,FRA-L1,23-24,caadf3f7
ed9f7cfe,Renan Lodi,12,BRA,LB,25-239,76,0,0,0,0,0,0,0,0,54,3,1,0,0.0,0.0,0.0,0,0,39,46,84.8,2,38,3,0,0,Marseille,2023-12-03 Marseille-Rennes,FRA-L1,23-24,caadf3f7
