id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d6862409,Florian Niederlechner,7,GER,FW,30-035,81,0,0,0,0,0,0,0,0,23,0,0,1,0.0,0.0,0.1,1,0,11,18,61.1,1,11,0,0,0,Augsburg,2020-11-28 Augsburg-Freiburg,GER-BL1,20-21,cb328c3c
f2dd9a21,Carlos Gruezo,25,ECU,"DM,FW",25-223,9,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,3,0,0,0,Augsburg,2020-11-28 Augsburg-Freiburg,GER-BL1,20-21,cb328c3c
cd82452e,André Hahn,28,GER,FW,30-107,90,0,0,0,0,4,1,0,0,32,0,0,0,0.2,0.2,0.0,1,0,14,23,60.9,0,13,1,0,0,Augsburg,2020-11-28 Augsburg-Freiburg,GER-BL1,20-21,cb328c3c
6ecbddf6,Ruben Vargas,16,SUI,AM,22-115,90,1,0,0,0,2,1,0,0,47,1,1,4,0.1,0.1,0.0,2,0,21,33,63.6,3,27,1,5,3,Augsburg,2020-11-28 Augsburg-Freiburg,GER-BL1,20-21,cb328c3c
d1273f09,Daniel Caligiuri,20,ITA,"RB,AM",32-318,90,0,0,0,0,1,0,1,0,59,1,0,1,0.0,0.0,0.1,3,0,40,52,76.9,5,36,2,1,1,Augsburg,2020-11-28 Augsburg-Freiburg,GER-BL1,20-21,cb328c3c
17780d2b,Tobias Strobl,33,GER,DM,30-200,90,0,0,0,0,1,0,0,0,62,1,0,2,0.0,0.0,0.0,2,0,49,56,87.5,6,41,1,1,1,Augsburg,2020-11-28 Augsburg-Freiburg,GER-BL1,20-21,cb328c3c
59e4b92e,Rani Khedira,8,GER,DM,26-306,72,0,0,0,0,0,0,0,0,40,2,0,0,0.0,0.0,0.0,0,0,26,37,70.3,1,26,0,0,0,Augsburg,2020-11-28 Augsburg-Freiburg,GER-BL1,20-21,cb328c3c
8e235926,Michael Gregoritsch,11,AUT,"DM,FW",26-224,18,0,0,0,0,1,0,0,0,7,1,1,0,0.1,0.1,0.0,0,0,3,3,100.0,0,2,0,1,0,Augsburg,2020-11-28 Augsburg-Freiburg,GER-BL1,20-21,cb328c3c
054849d2,Iago,22,BRA,LB,23-250,90,0,0,0,0,0,0,0,0,73,2,0,1,0.0,0.0,0.1,4,0,52,68,76.5,0,46,5,2,2,Augsburg,2020-11-28 Augsburg-Freiburg,GER-BL1,20-21,cb328c3c
