id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
4431aed2,Ciro Immobile,17,ITA,FW,28-002,90,3,0,0,0,8,3,1,0,65,0,0,1,2.3,2.3,0.1,4,2,31,45,68.9,5,38,2,6,4,Lazio,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
9f1893b9,Felipe Anderson,10,BRA,FW,24-313,73,1,2,0,0,3,3,0,0,54,6,1,4,0.1,0.1,1.5,9,3,28,37,75.7,3,23,10,7,6,Lazio,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
93b891d1,Felipe Caicedo,20,ECU,FW,29-170,17,0,0,0,0,0,0,0,0,14,2,1,1,0.0,0.0,0.0,0,0,9,9,100.0,1,6,0,1,1,Lazio,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
5294a83f,Luis Alberto,18,ESP,DM,25-147,66,0,1,0,0,1,0,0,0,63,3,2,1,0.0,0.0,0.4,6,2,39,52,75.0,3,33,3,4,2,Lazio,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
fb2c533b,Alessandro Murgia,96,ITA,DM,21-197,24,0,0,0,0,1,0,0,0,23,0,0,1,0.1,0.1,0.0,1,0,20,21,95.2,4,14,1,0,0,Lazio,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
4c78b5ed,Lucas Leiva,6,BRA,DM,31-044,90,0,0,0,0,1,0,0,0,91,3,0,1,0.0,0.0,0.4,1,0,72,84,85.7,11,42,1,0,0,Lazio,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
ed5886d2,Marco Parolo,16,ITA,DM,33-028,90,0,0,0,0,2,1,0,0,49,2,0,5,0.4,0.4,0.0,3,0,27,34,79.4,1,27,2,0,0,Lazio,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
7fd58fe3,Senad Lulić,19,BIH,WB,32-035,90,0,1,0,0,0,0,0,0,77,8,3,1,0.0,0.0,0.5,4,2,48,63,76.2,5,26,4,0,0,Lazio,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
3b57f7f8,Dušan Basta,8,SRB,WB,33-188,90,0,0,0,0,0,0,1,0,39,1,3,1,0.0,0.0,0.0,1,0,29,35,82.9,2,17,1,0,0,Lazio,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
e94d79e3,Martín Cáceres,22,URU,CB,30-321,25,0,0,0,0,0,0,0,0,15,0,1,0,0.0,0.0,0.0,0,0,10,12,83.3,1,8,0,0,0,Lazio,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
c01c66d9,Bastos,15,ANG,CB,26-332,65,1,0,0,0,1,1,0,0,33,1,1,0,0.2,0.2,0.0,0,0,21,26,80.8,3,15,1,1,1,Lazio,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
d0d8dd44,Stefan de Vrij,3,NED,CB,26-017,90,0,0,0,0,0,0,0,0,39,2,3,0,0.0,0.0,0.0,0,0,27,35,77.1,1,20,2,0,0,Lazio,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
f7223718,Patric,4,ESP,CB,24-311,90,0,0,0,0,0,0,0,0,55,2,0,1,0.0,0.0,0.0,0,0,47,50,94.0,3,22,1,1,1,Lazio,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
339fe0e8,Thomas Strakosha,1,ALB,GK,22-340,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,21,29,72.4,0,9,0,0,0,Lazio,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
aec6b711,Harlem Gnohéré,9,FRA,FW,30-001,90,1,0,0,0,3,2,0,0,33,0,1,0,0.7,0.7,0.1,4,1,19,27,70.4,0,25,1,0,0,FCSB,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
b175c21c,Florin Tănase,10,ROU,LW,23-054,45,0,0,0,0,1,1,0,0,23,0,2,0,0.0,0.0,0.0,0,0,14,18,77.8,1,19,0,0,0,FCSB,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
a9440c25,Florinel Coman,17,ROU,LW,19-318,45,0,0,0,0,2,0,0,0,25,0,0,0,0.1,0.1,0.5,2,0,19,23,82.6,2,21,0,0,0,FCSB,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
2079b3cc,Dennis Man,98,ROU,RW,19-180,90,0,0,0,0,0,0,0,0,39,3,2,1,0.0,0.0,0.0,2,0,16,25,64.0,1,26,2,6,2,FCSB,2018-02-22 Lazio-FCSB,UEL,17-18,cbb0aae3
