id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
7cdda3bf,Gaëtan Laborde,24,FRA,FW,28-187,90,1,0,0,0,5,4,0,0,31,1,0,1,0.4,0.4,0.0,1,0,11,19,57.9,0,19,1,2,1,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
57e3f0c7,Nicolas Pépé,29,CIV,FW,27-161,85,0,0,0,0,1,1,0,0,48,0,0,0,0.0,0.0,0.3,5,0,30,40,75.0,5,37,0,0,0,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
d33c706e,Andy Delort,7,ALG,FW,31-028,5,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,0,0,0,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
02bcaf8e,Bilal Brahimi,14,ALG,LM,22-237,45,0,0,0,0,0,0,0,0,27,0,1,0,0.0,0.0,0.0,0,0,18,21,85.7,1,24,0,1,0,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
19053e31,Sofiane Diop,10,FRA,LM,22-150,45,0,1,0,0,1,0,0,0,32,0,0,1,0.0,0.0,0.1,4,1,22,27,81.5,3,28,3,0,0,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
ef619b0b,Aaron Ramsey,16,WAL,CM,31-315,90,0,0,0,0,2,1,0,0,86,2,0,2,0.3,0.3,0.1,5,0,62,69,89.9,4,62,1,1,0,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
2b471f99,Mario Lemina,99,GAB,CM,29-066,66,0,0,0,0,2,1,0,0,75,1,1,1,0.1,0.1,0.0,0,0,62,66,93.9,6,62,3,1,1,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
7d9397f8,Khéphren Thuram,19,FRA,CM,21-225,24,0,0,0,0,0,0,0,0,19,2,0,0,0.0,0.0,0.0,0,0,15,16,93.8,0,16,0,0,0,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
f9d5908e,Hicham Boudaoui,28,ALG,RM,23-044,90,0,0,0,0,2,2,1,0,58,4,2,1,0.2,0.2,0.0,2,0,37,43,86.0,4,45,1,3,3,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
fc4cf6a7,Jordan Lotomba,23,SUI,"LB,RB",24-038,85,0,0,0,0,0,0,0,0,73,3,1,3,0.0,0.0,0.1,1,0,57,62,91.9,9,59,6,1,0,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
3322e296,Antoine Mendy,33,FRA,RB,18-163,5,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,6,50.0,0,2,0,0,0,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
fd2bc67d,Dante,4,BRA,CB,39-019,90,0,0,0,0,0,0,0,0,100,4,2,1,0.0,0.0,0.0,1,0,81,89,91.0,7,74,0,0,0,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
88f130ed,Jean-Clair Todibo,25,FRA,CB,22-311,90,0,0,0,0,0,0,0,0,73,1,1,2,0.0,0.0,0.0,2,0,54,63,85.7,3,55,0,2,2,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
6a827d8e,Youcef Atal,20,ALG,RB,26-173,79,0,0,0,0,1,0,0,0,72,3,2,3,0.0,0.0,0.0,2,0,50,58,86.2,7,51,7,1,0,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
af69e7f0,Joe Bryan,15,ENG,LB,29-050,11,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,2,0,0,0,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
53af52f3,Kasper Schmeichel,1,DEN,GK,36-001,90,0,0,0,0,0,0,0,0,25,0,1,0,0.0,0.0,0.0,0,0,19,23,82.6,0,15,0,0,0,Nice,2022-11-06 Nice-Brest,FRA-L1,22-23,cbe2fdcb
