id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
9d4c45d6,Roberto Soriano,21,ITA,"LW,FW",31-349,90,0,0,0,0,1,0,0,0,59,3,0,1,0.0,0.0,0.1,5,0,39,49,79.6,4,38,1,1,0,Bologna,2023-01-23 Bologna-Cremonese,ITA-SERIA_A,22-23,cbea426b
e5bf73f3,Musa Barrow,99,GAM,LW,24-070,45,0,0,0,0,1,0,0,0,26,2,0,0,0.0,0.0,0.0,0,0,16,22,72.7,0,19,2,0,0,Bologna,2023-01-23 Bologna-Cremonese,ITA-SERIA_A,22-23,cbea426b
028e70b9,Joshua Zirkzee,11,NED,FW,21-246,45,0,0,0,0,1,0,0,0,21,0,0,0,0.0,0.0,0.1,2,0,14,18,77.8,1,9,0,1,0,Bologna,2023-01-23 Bologna-Cremonese,ITA-SERIA_A,22-23,cbea426b
e14ec482,Riccardo Orsolini,7,ITA,RW,25-364,90,0,0,0,0,5,2,0,0,60,2,0,0,0.2,0.2,0.1,9,0,32,46,69.6,2,34,3,5,1,Bologna,2023-01-23 Bologna-Cremonese,ITA-SERIA_A,22-23,cbea426b
20b3a502,Nicolás Domínguez,8,ARG,LM,24-209,78,0,0,0,0,3,0,0,0,73,3,0,0,0.2,0.2,0.1,4,0,47,63,74.6,3,26,3,0,0,Bologna,2023-01-23 Bologna-Cremonese,ITA-SERIA_A,22-23,cbea426b
2cfae697,Jerdy Schouten,30,NED,LM,26-011,12,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,1,0,7,9,77.8,1,3,0,0,0,Bologna,2023-01-23 Bologna-Cremonese,ITA-SERIA_A,22-23,cbea426b
ff579c7e,Nikola Moro,6,CRO,CM,24-317,90,0,0,0,0,1,1,0,0,76,0,1,1,0.0,0.0,0.1,4,0,60,70,85.7,9,40,0,2,2,Bologna,2023-01-23 Bologna-Cremonese,ITA-SERIA_A,22-23,cbea426b
ee64a822,Lewis Ferguson,19,SCO,RM,23-152,90,0,0,0,0,4,1,0,0,61,1,2,0,0.3,0.3,0.0,3,0,39,49,79.6,2,37,2,1,1,Bologna,2023-01-23 Bologna-Cremonese,ITA-SERIA_A,22-23,cbea426b
5efc5389,Charalambos Lykogiannis,22,GRE,LB,29-093,78,0,0,0,0,3,2,0,0,82,0,1,2,0.1,0.1,0.2,2,0,53,71,74.6,3,49,5,1,1,Bologna,2023-01-23 Bologna-Cremonese,ITA-SERIA_A,22-23,cbea426b
