id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
49fe9070,Timo Werner,11,GER,FW,23-024,90,0,2,0,0,8,1,0,0,47,0,0,0,1.2,1.2,1.0,6,2,25,33,75.8,1,23,5,2,1,RB Leipzig,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
d2416c2e,Yussuf Poulsen,9,DEN,FW,24-288,69,3,0,0,0,4,3,0,0,37,0,0,1,2.2,2.2,0.5,2,0,12,22,54.5,2,19,4,0,0,RB Leipzig,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
dc62b55d,Matheus Cunha,20,BRA,FW,19-307,21,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,4,4,100.0,0,2,0,0,0,RB Leipzig,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
9a2e0ccc,Emil Forsberg,10,SWE,AM,27-158,74,1,1,0,0,2,1,0,0,49,0,0,1,0.7,0.7,0.8,10,2,34,40,85.0,8,19,2,4,3,RB Leipzig,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
e280527c,Marcel Sabitzer,7,AUT,AM,25-013,16,0,0,0,0,1,1,0,0,16,0,0,0,0.1,0.1,0.0,0,0,12,14,85.7,2,5,1,0,0,RB Leipzig,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
b825a650,Kevin Kampl,44,SVN,LM,28-172,90,0,1,0,0,1,1,0,0,86,2,1,1,0.1,0.1,0.6,6,3,69,78,88.5,10,35,2,2,1,RB Leipzig,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
92432bc6,Amadou Haidara,8,MLI,RM,21-058,90,1,0,0,0,2,1,0,0,60,2,1,1,0.1,0.1,0.0,3,0,41,47,87.2,5,29,1,4,2,RB Leipzig,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
2b09d998,Tyler Adams,14,USA,DM,20-044,90,0,1,0,0,0,0,0,0,88,3,1,1,0.0,0.0,0.4,3,2,71,80,88.8,8,29,0,0,0,RB Leipzig,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
8ff2354e,Marcel Halstenberg,23,GER,LB,27-184,90,0,0,0,0,0,0,0,0,53,3,0,0,0.0,0.0,0.1,3,0,37,45,82.2,5,16,2,2,2,RB Leipzig,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
20030c06,Willi Orban,4,HUN,CB,26-147,90,0,0,0,0,1,0,0,0,67,1,3,1,0.1,0.1,0.0,0,0,42,54,77.8,1,15,0,0,0,RB Leipzig,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
5ed9b537,Ibrahima Konaté,6,FRA,CB,19-309,90,0,0,0,0,2,0,0,0,46,2,1,0,0.1,0.1,0.0,1,0,32,37,86.5,5,18,2,0,0,RB Leipzig,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
ac73ec79,Nordi Mukiele,22,FRA,RB,21-149,64,0,0,0,0,0,0,1,0,40,3,0,1,0.0,0.0,0.0,2,0,22,32,68.8,1,12,2,1,0,RB Leipzig,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
c1b7847c,Konrad Laimer,27,AUT,RB,21-307,26,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.3,1,0,17,19,89.5,1,12,1,1,1,RB Leipzig,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
bcb2ccd8,Péter Gulácsi,1,HUN,GK,28-328,90,0,0,0,0,0,0,0,0,29,0,0,0,0.0,0.0,0.0,0,0,23,29,79.3,0,12,0,0,0,RB Leipzig,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
1238a3f9,Davie Selke,27,GER,FW,24-069,90,0,0,0,0,1,0,0,0,24,0,0,0,0.6,0.6,0.0,0,0,17,19,89.5,1,20,0,2,0,Hertha BSC,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
2042d931,Salomon Kalou,8,CIV,FW,33-237,74,0,0,0,0,1,0,0,0,25,0,0,0,0.1,0.1,0.1,1,0,18,19,94.7,0,14,0,2,1,Hertha BSC,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
b93b7882,Mathew Leckie,11,AUS,FW,28-054,16,0,0,0,0,0,0,0,0,8,0,1,0,0.0,0.0,0.0,0,0,3,7,42.9,0,4,1,0,0,Hertha BSC,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
79ca3e23,Ondrej Duda,10,SVK,AM,24-115,90,0,0,0,0,2,0,0,0,49,4,0,0,0.1,0.1,0.0,1,0,26,40,65.0,1,34,1,0,0,Hertha BSC,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
8b8e759d,Marko Grujić,15,SRB,CM,22-351,90,0,0,0,0,0,0,0,0,56,5,1,2,0.0,0.0,0.7,4,0,39,49,79.6,6,34,3,1,0,Hertha BSC,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
ab700320,Arne Maier,23,GER,CM,20-081,76,0,0,0,0,0,0,0,0,54,0,0,1,0.0,0.0,0.0,0,0,42,50,84.0,2,42,0,1,1,Hertha BSC,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
ecab64a0,Per Ciljan Skjelbred,3,NOR,CM,31-287,14,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,5,6,83.3,3,5,0,0,0,Hertha BSC,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
88d4144a,Maximilian Mittelstädt,17,GER,WB,22-012,90,0,0,0,0,1,0,0,0,76,2,0,0,0.0,0.0,0.1,1,0,44,60,73.3,7,45,3,3,1,Hertha BSC,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
016ff750,Valentino Lazaro,20,AUT,WB,23-006,90,0,0,0,0,1,0,0,0,52,1,1,2,0.1,0.1,0.0,2,0,37,47,78.7,3,38,1,4,3,Hertha BSC,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
3376a776,Karim Rekik,4,NED,CB,24-118,90,0,0,0,0,0,0,0,0,83,3,1,2,0.0,0.0,0.0,0,0,62,70,88.6,3,58,1,1,1,Hertha BSC,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
a63a995f,Fabian Lustenberger,28,SUI,CB,30-332,58,0,0,0,0,0,0,0,0,68,2,0,1,0.0,0.0,0.0,0,0,46,59,78.0,1,46,0,0,0,Hertha BSC,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
92948149,Lukas Klünter,13,GER,CB,22-308,32,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.1,1,0,11,12,91.7,1,12,1,2,0,Hertha BSC,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
aad48be9,Niklas Stark,5,GER,CB,23-350,90,0,0,0,0,0,0,1,0,57,2,0,2,0.0,0.0,0.0,1,0,44,50,88.0,3,35,1,0,0,Hertha BSC,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
27d2618c,Rune Jarstein,22,NOR,GK,34-182,90,0,0,0,0,0,0,0,0,55,0,0,0,0.0,0.0,0.0,0,0,38,52,73.1,0,34,0,0,0,Hertha BSC,2019-03-30 RB Leipzig-Hertha BSC,GER-BL1,18-19,cd52067c
