id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
4bcf39f6,Neal Maupay,9,FRA,FW,25-049,90,0,0,0,0,4,0,1,0,31,1,0,0,0.2,0.2,0.0,3,0,19,21,90.5,4,16,0,0,0,Brighton & Hove Albion,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
38ceb24a,Leandro Trossard,11,BEL,"FW,AM",26-302,90,0,0,0,0,6,1,0,0,62,1,0,1,0.2,0.2,0.1,7,0,39,47,83.0,9,44,4,3,3,Brighton & Hove Albion,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
f230bc30,Jakub Moder,15,POL,CM,22-178,77,0,0,0,0,2,0,0,0,50,1,1,2,0.1,0.1,0.0,2,0,30,38,78.9,5,22,1,0,0,Brighton & Hove Albion,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
83d074ff,Alexis Mac Allister,10,ARG,AM,22-282,13,0,0,0,0,1,0,0,0,14,1,0,1,0.0,0.0,0.0,3,0,8,10,80.0,3,8,0,1,0,Brighton & Hove Albion,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
99813635,Adam Lallana,14,ENG,CM,33-145,90,0,0,0,0,1,0,0,0,65,1,3,1,0.0,0.0,0.1,3,0,48,54,88.9,2,22,0,1,1,Brighton & Hove Albion,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
8aec0537,Pascal Groß,13,GER,CM,30-109,83,0,0,0,0,1,0,0,0,58,0,0,4,0.0,0.0,0.2,7,0,39,51,76.5,5,25,2,0,0,Brighton & Hove Albion,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
bb5fbd2b,Solly March,20,ENG,CM,27-074,7,0,0,0,0,1,1,0,0,9,0,0,0,0.1,0.1,0.0,2,0,4,6,66.7,0,3,2,0,0,Brighton & Hove Albion,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
1daec722,Marc Cucurella,3,ESP,WB,23-072,90,0,0,0,0,0,0,0,0,70,4,0,0,0.0,0.0,0.1,7,0,48,61,78.7,3,28,4,1,1,Brighton & Hove Albion,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
dad4b285,Joël Veltman,34,NED,WB,29-260,90,0,0,0,0,0,0,1,0,35,0,0,1,0.0,0.0,0.1,1,0,22,30,73.3,4,14,0,1,0,Brighton & Hove Albion,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
b2d31e83,Dan Burn,33,ENG,CB,29-146,90,0,0,0,0,1,0,0,0,75,6,3,2,0.2,0.2,0.0,2,0,47,60,78.3,6,24,1,0,0,Brighton & Hove Albion,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
282f75f3,Lewis Dunk,5,ENG,CB,29-315,90,0,0,0,0,2,0,0,0,77,0,1,1,0.1,0.1,0.2,1,0,66,72,91.7,3,28,0,0,0,Brighton & Hove Albion,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
7314bba4,Shane Duffy,24,IRL,CB,29-274,90,0,0,0,0,2,0,0,0,61,1,1,2,0.2,0.2,0.0,1,0,39,50,78.0,4,23,1,1,1,Brighton & Hove Albion,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
6a713852,Robert Sánchez,1,ESP,GK,23-318,90,0,0,0,0,0,0,0,0,44,0,0,0,0.0,0.0,0.0,1,0,35,43,81.4,0,23,0,0,0,Brighton & Hove Albion,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
d5dd5f1f,Pierre-Emerick Aubameyang,14,GAB,FW,32-106,71,0,0,0,0,1,0,0,0,22,0,0,0,0.1,0.1,0.0,0,0,6,11,54.5,1,11,1,0,0,Arsenal,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
9dbb75ca,Alexandre Lacazette,9,FRA,FW,30-127,19,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,6,7,85.7,3,8,1,0,0,Arsenal,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
17695062,Emile Smith Rowe,10,ENG,"LW,AM",21-066,90,0,0,0,0,1,1,0,0,40,1,1,3,0.1,0.1,0.0,3,0,24,27,88.9,6,23,4,5,3,Arsenal,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
bc7dc64d,Bukayo Saka,7,ENG,RW,20-027,89,0,0,0,0,1,1,0,0,51,0,1,0,0.1,0.1,0.1,4,0,32,41,78.0,2,34,4,4,2,Arsenal,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
e3a5814e,Ainsley Maitland-Niles,15,ENG,RW,24-034,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Arsenal,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
79300479,Martin Ødegaard,8,NOR,AM,22-289,62,0,0,0,0,0,0,0,0,29,1,0,0,0.0,0.0,0.0,1,0,16,22,72.7,1,17,0,2,0,Arsenal,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
57e3f0c7,Nicolas Pépé,19,CIV,LW,26-126,28,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,1,0,9,13,69.2,2,7,1,2,0,Arsenal,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
1b4f1169,Albert Sambi Lokonga,23,BEL,DM,21-345,90,0,0,0,0,1,0,0,0,53,1,3,2,0.0,0.0,0.0,0,0,37,44,84.1,3,30,3,0,0,Arsenal,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
529f49ab,Thomas Partey,5,GHA,DM,28-111,90,0,0,0,0,3,0,1,0,55,2,2,2,0.1,0.1,0.1,2,0,33,43,76.7,3,26,1,0,0,Arsenal,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
fce2302c,Kieran Tierney,3,SCO,LB,24-119,90,0,0,0,0,0,0,0,0,40,1,0,2,0.0,0.0,0.0,1,0,19,33,57.6,1,18,2,0,0,Arsenal,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
67ac5bb8,Gabriel Magalhães,6,BRA,CB,23-287,90,0,0,0,0,1,0,0,0,52,1,0,2,0.0,0.0,0.0,0,0,40,45,88.9,4,37,0,0,0,Arsenal,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
35e413f1,Ben White,4,ENG,CB,23-359,90,0,0,0,0,0,0,0,0,42,0,2,2,0.0,0.0,0.0,1,0,23,31,74.2,1,24,2,1,1,Arsenal,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
b3af9be1,Takehiro Tomiyasu,18,JPN,RB,22-331,90,0,0,0,0,0,0,0,0,52,0,2,2,0.0,0.0,0.0,2,0,32,40,80.0,6,19,0,0,0,Arsenal,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
466fb2c5,Aaron Ramsdale,32,ENG,GK,23-141,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,18,37,48.6,0,17,0,0,0,Arsenal,2021-10-02 Brighton-Arsenal,ENG-EPL,21-22,cdaded7b
