id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
ac05f970,Michail Antonio,9,JAM,FW,32-031,90,1,0,0,0,1,1,0,0,27,0,0,0,0.8,0.8,0.1,2,0,8,19,42.1,1,16,2,1,1,West Ham United,2022-04-28 West Ham-Eint Frankfurt,UEL,21-22,d13fde6b
82927de4,Pablo Fornals,8,ESP,"LW,AM",26-065,90,0,0,0,0,2,0,0,0,63,0,2,2,0.2,0.2,0.4,2,0,37,55,67.3,7,23,0,1,0,West Ham United,2022-04-28 West Ham-Eint Frankfurt,UEL,21-22,d13fde6b
79c84d1c,Jarrod Bowen,20,ENG,RW,25-129,90,0,0,0,0,3,1,0,0,40,0,0,0,0.7,0.7,0.0,5,0,16,30,53.3,4,20,2,4,2,West Ham United,2022-04-28 West Ham-Eint Frankfurt,UEL,21-22,d13fde6b
26f6dca8,Manuel Lanzini,10,ARG,AM,29-072,65,0,0,0,0,0,0,0,0,46,1,0,0,0.0,0.0,0.1,3,0,36,43,83.7,6,27,0,0,0,West Ham United,2022-04-28 West Ham-Eint Frankfurt,UEL,21-22,d13fde6b
5a04fd92,Saïd Benrahma,22,ALG,LW,26-261,25,0,0,0,0,2,0,0,0,18,3,0,0,0.1,0.1,0.1,5,0,6,7,85.7,1,9,1,6,3,West Ham United,2022-04-28 West Ham-Eint Frankfurt,UEL,21-22,d13fde6b
1c7012b8,Declan Rice,41,ENG,DM,23-104,90,0,0,0,0,1,0,0,0,85,4,2,3,0.0,0.0,0.3,5,0,63,69,91.3,8,50,6,1,1,West Ham United,2022-04-28 West Ham-Eint Frankfurt,UEL,21-22,d13fde6b
6613c819,Tomáš Souček,28,CZE,DM,27-060,90,0,0,0,0,5,0,0,0,50,0,3,0,0.6,0.6,0.4,2,0,33,40,82.5,4,26,0,0,0,West Ham United,2022-04-28 West Ham-Eint Frankfurt,UEL,21-22,d13fde6b
4f974391,Aaron Cresswell,3,ENG,LB,32-134,90,0,0,0,0,0,0,0,0,95,1,1,0,0.0,0.0,0.0,1,0,73,92,79.3,9,49,6,0,0,West Ham United,2022-04-28 West Ham-Eint Frankfurt,UEL,21-22,d13fde6b
ce4246f5,Kurt Zouma,4,FRA,CB,27-183,90,0,1,0,0,1,0,0,0,75,1,1,0,0.0,0.0,0.8,1,1,64,68,94.1,0,45,1,0,0,West Ham United,2022-04-28 West Ham-Eint Frankfurt,UEL,21-22,d13fde6b
