id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
02319ad7,Jaime Mata,7,ESP,FW,30-360,90,0,0,0,0,0,0,0,0,32,1,0,2,0.0,0.0,0.0,0,0,9,22,40.9,1,12,2,1,0,Getafe,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
43f71e77,Jorge Molina,19,ESP,FW,37-180,45,0,0,0,0,0,0,0,0,13,2,0,0,0.0,0.0,0.1,1,0,4,9,44.4,0,3,0,0,0,Getafe,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
8cfc2f69,Ángel Rodríguez,9,ESP,FW,32-176,45,2,0,0,0,2,2,0,0,15,1,0,1,0.9,0.9,0.0,3,1,4,6,66.7,1,7,1,3,2,Getafe,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
1daec722,Marc Cucurella,15,ESP,"LM,LB",21-089,90,0,0,0,0,0,0,0,0,45,4,0,0,0.0,0.0,0.0,0,0,24,37,64.9,3,17,1,1,1,Getafe,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
00b28772,Nemanja Maksimović,20,SRB,CM,24-266,90,0,0,0,0,1,0,0,0,28,0,1,0,0.1,0.1,0.0,0,0,17,24,70.8,2,8,1,1,1,Getafe,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
58afe001,Mauro Arambarri,18,URU,"CM,RM",24-019,90,0,1,0,0,1,0,0,0,35,1,0,0,0.0,0.0,0.5,2,2,18,23,78.3,6,17,3,2,1,Getafe,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
9038c2a1,Jason,23,ESP,RM,25-105,83,0,0,0,0,0,0,0,0,47,6,3,2,0.0,0.0,0.0,0,0,10,25,40.0,3,17,0,3,1,Getafe,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
174651c8,David Timor,24,ESP,"CM,RM",30-002,7,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,0,5,0.0,0,0,0,0,0,Getafe,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
1a317a1b,Raúl García,14,ESP,LB,30-172,59,0,0,0,0,0,0,0,0,42,0,2,0,0.0,0.0,0.0,1,0,25,37,67.6,3,22,1,0,0,Getafe,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
5eebbfdf,Kenedy,25,BRA,LM,23-253,31,0,1,0,0,0,0,0,0,11,1,1,0,0.0,0.0,0.3,1,1,3,5,60.0,0,7,1,1,0,Getafe,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
69cbc8b6,Leandro Cabrera,6,URU,CB,28-124,90,0,0,0,0,0,0,0,0,36,2,0,0,0.0,0.0,0.0,0,0,16,22,72.7,0,15,0,0,0,Getafe,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
a4971d84,Djené,2,TOG,CB,27-292,90,0,0,0,0,0,0,0,0,44,1,0,0,0.0,0.0,0.0,0,0,29,34,85.3,3,20,0,0,0,Getafe,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
97572117,Allan Nyom,12,CMR,RB,31-162,90,0,0,0,0,0,0,1,0,62,4,0,0,0.0,0.0,0.0,0,0,30,48,62.5,4,25,3,0,0,Getafe,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
8f8c6934,David Soria,13,ESP,GK,26-198,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,15,38,39.5,0,17,0,0,0,Getafe,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
1d5f96d9,Sabin Merino,9,ESP,FW,27-288,66,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0,13,16,81.3,0,10,1,0,0,Leganés,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
fd771f95,Martin Braithwaite,7,DEN,"RM,FW",28-136,24,0,0,0,0,0,0,0,0,10,1,0,1,0.0,0.0,0.0,0,0,5,6,83.3,1,4,1,2,1,Leganés,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
8f898ba8,Guido Carrillo,18,ARG,FW,28-147,90,0,0,0,0,0,0,0,0,31,2,0,0,0.0,0.0,0.0,0,0,13,26,50.0,1,12,0,0,0,Leganés,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
f2308b33,Jonathan Silva,5,ARG,"LW,LB",25-112,90,0,0,0,0,1,0,0,0,53,2,0,0,0.0,0.0,0.3,1,0,26,44,59.1,5,23,1,2,0,Leganés,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
81069528,Roberto Rosales,16,VEN,"RW,RB",30-333,90,0,0,0,0,0,0,1,0,56,1,1,1,0.0,0.0,0.1,3,0,26,44,59.1,4,22,0,0,0,Leganés,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
7c4243d4,Roque Mesa,6,ESP,CM,30-134,66,0,0,0,0,1,1,1,0,34,2,0,0,0.0,0.0,0.0,1,0,13,20,65.0,1,16,2,1,0,Leganés,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
04e17fd5,Youssef En-Nesyri,26,MAR,"FW,CM",22-140,24,0,0,0,0,1,0,0,0,8,0,1,0,0.3,0.3,0.0,0,0,2,3,66.7,0,3,0,0,0,Leganés,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
aec0fb6f,Javier Eraso,17,ESP,CM,29-211,90,0,0,0,0,0,0,0,0,39,1,0,1,0.0,0.0,0.1,3,0,23,28,82.1,1,19,0,3,1,Leganés,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
54073b28,Recio,8,ESP,"DM,CM",28-281,90,0,0,0,0,2,1,0,0,53,1,2,0,0.1,0.1,0.1,2,0,38,47,80.9,2,26,0,0,0,Leganés,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
92d38e6c,Dimitris Siovas,22,GRE,CB,31-033,90,0,0,0,0,2,1,1,0,56,3,3,1,0.2,0.2,0.0,1,0,33,46,71.7,1,15,0,0,0,Leganés,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
0f0aa5b4,Kenneth Omeruo,4,NGA,CB,26-002,90,0,0,0,0,0,0,1,0,41,1,1,1,0.0,0.0,0.0,0,0,25,36,69.4,3,9,0,0,0,Leganés,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
f3112790,Unai Bustinza,3,ESP,CB,27-259,73,0,0,0,0,0,0,0,0,52,0,0,1,0.0,0.0,0.0,1,0,33,49,67.3,4,21,1,0,0,Leganés,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
19709006,Óscar Rodríguez Arnaiz,27,ESP,"LM,CB",21-113,17,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,3,7,42.9,1,4,0,2,2,Leganés,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
75751c99,Iván Cuéllar,1,ESP,GK,35-145,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,10,24,41.7,0,11,0,0,0,Leganés,2019-10-19 Getafe-Leganés,ESP-LALIGA,19-20,d163ecee
