id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
e92cd3f7,Alexander Sørloth,23,NOR,FW,26-168,70,0,0,0,0,1,1,0,0,21,0,0,1,0.0,0.0,0.5,3,0,7,9,77.8,0,15,1,5,1,Real Sociedad,2022-05-22 Real Sociedad-Atlético Madrid,ESP-LALIGA,21-22,d33c8bbd
3594a357,Naïs Djouahra,37,FRA,FW,22-180,20,0,0,0,0,1,0,0,0,12,0,1,0,0.0,0.0,0.0,2,0,5,7,71.4,1,10,1,1,0,Real Sociedad,2022-05-22 Real Sociedad-Atlético Madrid,ESP-LALIGA,21-22,d33c8bbd
8e92be30,Alexander Isak,19,SWE,FW,22-243,62,0,0,0,0,1,0,0,0,23,1,0,0,0.0,0.0,0.0,1,0,12,16,75.0,1,13,2,4,1,Real Sociedad,2022-05-22 Real Sociedad-Atlético Madrid,ESP-LALIGA,21-22,d33c8bbd
4737cebe,Adnan Januzaj,11,BEL,AM,27-106,28,0,0,0,0,3,1,0,0,25,0,0,0,0.3,0.3,0.1,4,1,12,16,75.0,3,16,1,2,0,Real Sociedad,2022-05-22 Real Sociedad-Atlético Madrid,ESP-LALIGA,21-22,d33c8bbd
0c2ac3cb,Rafinha,17,BRA,AM,29-099,62,0,0,0,0,3,0,1,0,59,4,1,0,1.3,1.3,0.0,2,0,41,47,87.2,2,40,2,3,1,Real Sociedad,2022-05-22 Real Sociedad-Atlético Madrid,ESP-LALIGA,21-22,d33c8bbd
1bda5842,Portu,7,ESP,FW,30-001,28,0,0,0,0,0,0,1,0,4,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,4,0,0,0,Real Sociedad,2022-05-22 Real Sociedad-Atlético Madrid,ESP-LALIGA,21-22,d33c8bbd
5ce0b5ba,Asier Illarramendi,4,ESP,LM,32-075,80,0,0,0,0,0,0,0,0,64,2,1,1,0.0,0.0,0.3,3,0,46,54,85.2,4,40,0,1,0,Real Sociedad,2022-05-22 Real Sociedad-Atlético Madrid,ESP-LALIGA,21-22,d33c8bbd
4c0a6a48,Jon Guridi,14,ESP,LM,27-083,10,1,0,0,0,1,1,0,0,6,0,1,0,0.7,0.7,0.0,1,0,3,4,75.0,0,5,0,0,0,Real Sociedad,2022-05-22 Real Sociedad-Atlético Madrid,ESP-LALIGA,21-22,d33c8bbd
3ee0dd59,Martín Zubimendi,3,ESP,CM,23-109,90,0,0,0,0,0,0,0,0,83,2,2,1,0.0,0.0,0.0,1,0,71,76,93.4,6,62,2,1,1,Real Sociedad,2022-05-22 Real Sociedad-Atlético Madrid,ESP-LALIGA,21-22,d33c8bbd
