id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
78b8ac63,Oliver McBurnie,9,SCO,FW,27-308,90,1,0,0,0,3,1,0,0,47,1,0,1,0.8,0.8,0.2,2,1,14,32,43.8,1,23,2,0,0,Sheffield United,2024-04-07 Sheffield Utd-Chelsea,ENG-EPL,23-24,d3850c26
57827369,Ben Brereton,11,CHI,"FW,LW",24-355,90,0,0,0,0,2,0,1,0,20,0,0,0,0.3,0.3,0.2,1,0,10,13,76.9,1,18,1,2,0,Sheffield United,2024-04-07 Sheffield Utd-Chelsea,ENG-EPL,23-24,d3850c26
79bc4c45,Ben Osborn,23,ENG,"CM,LB,WB",29-246,90,0,0,0,0,1,0,0,0,50,3,0,1,0.1,0.1,0.0,1,0,29,39,74.4,5,31,3,3,2,Sheffield United,2024-04-07 Sheffield Utd-Chelsea,ENG-EPL,23-24,d3850c26
afe1a491,Oliver Arblaster,24,ENG,"CM,DM",19-338,90,0,0,0,0,0,0,1,0,64,2,2,1,0.0,0.0,0.2,6,0,44,52,84.6,8,41,1,2,2,Sheffield United,2024-04-07 Sheffield Utd-Chelsea,ENG-EPL,23-24,d3850c26
eebacc07,Gustavo Hamer,8,NED,"CM,AM,DM",26-288,90,0,1,0,0,2,1,0,0,59,1,2,0,0.1,0.1,0.1,3,1,28,45,62.2,2,32,0,4,2,Sheffield United,2024-04-07 Sheffield Utd-Chelsea,ENG-EPL,23-24,d3850c26
cddf767b,Auston Trusty,5,USA,"WB,CB",25-239,86,0,0,0,0,0,0,0,0,29,1,1,1,0.0,0.0,0.0,0,0,17,20,85.0,0,19,1,1,1,Sheffield United,2024-04-07 Sheffield Utd-Chelsea,ENG-EPL,23-24,d3850c26
05e8ca6d,Cameron Archer,10,ENG,RW,22-261,4,0,1,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.6,1,1,4,4,100.0,0,3,0,0,0,Sheffield United,2024-04-07 Sheffield Utd-Chelsea,ENG-EPL,23-24,d3850c26
ae5019e6,Jayden Bogle,20,ENG,"WB,RB",23-255,90,1,0,0,0,1,1,0,0,40,1,1,0,0.1,0.1,0.0,2,0,24,30,80.0,2,24,1,1,1,Sheffield United,2024-04-07 Sheffield Utd-Chelsea,ENG-EPL,23-24,d3850c26
7399c7a8,Jack Robinson,19,ENG,CB,30-219,89,0,0,0,0,2,2,1,0,40,0,1,1,0.0,0.0,0.0,2,0,24,35,68.6,4,25,2,0,0,Sheffield United,2024-04-07 Sheffield Utd-Chelsea,ENG-EPL,23-24,d3850c26
