id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
1971591f,Cody Gakpo,18,NED,FW,25-012,80,0,0,0,0,5,1,0,0,48,1,1,1,0.9,0.9,0.3,8,0,30,35,85.7,4,35,3,1,0,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
934e1968,Dominik Szoboszlai,8,HUN,LW,23-207,10,0,0,0,0,1,1,0,0,11,0,0,0,0.0,0.0,0.2,2,0,8,10,80.0,1,8,2,1,0,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
4a1a9578,Luis Díaz,7,COL,LW,27-127,70,0,0,0,0,4,1,0,0,49,1,0,0,0.5,0.5,0.3,6,0,30,36,83.3,0,38,6,9,3,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
4d77b365,Darwin Núñez,9,URU,"FW,LW",24-330,20,0,0,0,0,1,0,0,0,8,1,0,1,0.1,0.1,0.0,0,0,3,5,60.0,1,4,0,0,0,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
e342ad68,Mohamed Salah,11,EGY,RW,31-339,90,0,0,0,0,7,4,0,0,52,2,0,1,1.1,1.1,0.0,4,1,20,33,60.6,2,36,6,4,1,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
83d074ff,Alexis Mac Allister,10,ARG,LM,25-147,69,1,0,0,0,2,1,0,0,49,3,1,0,0.6,0.6,0.2,4,0,39,42,92.9,4,20,3,0,0,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
b8e740fb,Ryan Gravenberch,38,NED,LM,22-003,21,0,0,0,0,1,0,0,0,15,1,0,1,0.0,0.0,0.0,2,0,10,11,90.9,3,9,0,0,0,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
c149016b,Wataru Endo,3,JPN,CM,31-100,90,0,0,0,0,1,1,1,0,81,3,0,0,0.0,0.0,0.1,5,0,69,73,94.5,6,44,0,1,0,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
b9e1436c,Harvey Elliott,19,ENG,RM,21-045,80,0,1,0,0,3,0,0,0,86,2,0,2,0.3,0.3,0.3,10,1,71,78,91.0,14,46,4,0,0,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
4fb9c88f,Curtis Jones,17,ENG,RM,23-110,10,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.1,1,0,12,12,100.0,2,8,1,0,0,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
2e4f5f03,Andrew Robertson,26,SCO,LB,30-069,90,0,0,0,0,0,0,0,0,102,1,0,1,0.0,0.0,0.7,15,0,90,98,91.8,18,58,5,1,1,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
e06683ca,Virgil van Dijk,4,NED,CB,32-316,90,0,0,0,0,5,2,0,0,78,0,3,1,0.2,0.2,0.0,0,0,63,67,94.0,5,43,0,1,0,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
4125cb98,Jarell Quansah,78,ENG,CB,21-111,90,1,0,0,0,2,2,0,0,86,3,2,1,0.8,0.8,0.0,2,1,67,74,90.5,7,36,1,0,0,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
cd1acf9d,Trent Alexander-Arnold,66,ENG,RB,25-225,70,0,0,0,0,4,0,0,0,63,3,1,1,0.3,0.3,1.2,5,0,48,55,87.3,9,30,3,2,0,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
bbd67769,Conor Bradley,84,NIR,RB,20-315,20,0,0,0,0,0,0,0,0,18,1,0,0,0.0,0.0,0.0,0,0,15,16,93.8,0,5,1,1,0,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
7a2e46a8,Alisson,1,BRA,GK,31-230,90,0,0,0,0,0,0,0,0,21,0,0,0,0.0,0.0,0.0,0,0,17,19,89.5,0,8,0,0,0,Liverpool,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
169fd162,Hwang Hee-chan,11,KOR,FW,28-114,61,0,0,0,0,1,1,0,0,10,1,0,0,0.1,0.1,0.0,0,0,6,7,85.7,1,5,1,1,1,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
d557d734,Matt Doherty,2,IRL,WB,32-124,29,0,0,0,0,0,0,0,0,19,2,0,1,0.0,0.0,0.0,0,0,11,14,78.6,0,4,0,1,1,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
dc62b55d,Matheus Cunha,12,BRA,"FW,DM",24-358,77,0,0,0,0,1,0,0,0,32,0,0,1,0.3,0.3,0.1,1,0,14,19,73.7,4,24,2,5,2,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
7ba2eaa9,Pedro Neto,7,POR,FW,24-071,13,0,0,0,0,1,1,0,0,10,0,1,0,0.1,0.1,0.0,1,0,6,8,75.0,0,7,1,0,0,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
8b57ad2c,João Gomes,8,BRA,DM,23-097,90,0,0,0,0,1,0,0,0,48,6,0,1,0.1,0.1,0.0,2,0,27,36,75.0,2,18,2,6,3,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
2b471f99,Mario Lemina,5,GAB,"DM,CB",30-261,90,0,0,0,0,0,0,0,0,46,4,0,1,0.0,0.0,0.0,0,0,30,38,78.9,1,22,0,2,1,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
10f0fdd3,Jean-Ricner Bellegarde,27,FRA,"WB,DM",25-327,62,0,0,0,0,0,0,0,0,17,2,1,0,0.0,0.0,0.0,0,0,9,12,75.0,0,9,1,2,1,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
999ceb5f,Boubacar Traoré,6,MLI,DM,22-273,28,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,12,16,75.0,2,10,1,0,0,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
9b398aea,Rayan Aït-Nouri,3,ALG,WB,22-348,77,0,0,0,0,0,0,0,0,54,4,0,2,0.0,0.0,0.3,2,0,28,36,77.8,3,29,4,6,4,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
bfc3b3a0,Hugo Bueno,17,ESP,WB,21-244,13,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,2,0,0,0,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
d04b94db,Nélson Semedo,22,POR,WB,30-185,27,0,0,0,0,0,0,0,1,12,1,0,1,0.0,0.0,0.0,0,0,5,7,71.4,1,4,0,0,0,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
f0caab96,Toti Gomes,24,POR,CB,25-124,90,0,0,0,0,0,0,1,0,34,0,0,1,0.0,0.0,0.0,0,0,21,27,77.8,0,11,2,3,2,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
d0f72bf1,Max Kilman,23,ENG,CB,26-362,90,0,0,0,0,0,0,0,0,51,0,1,5,0.0,0.0,0.0,0,0,29,35,82.9,1,16,0,1,0,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
edc98fac,Santiago Bueno,4,URU,CB,25-192,83,0,0,0,0,0,0,0,0,36,0,0,2,0.0,0.0,0.1,1,0,30,31,96.8,0,20,0,0,0,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
5526deb1,Tommy Doyle,20,ENG,DM,22-215,7,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.1,1,0,3,4,75.0,0,2,0,0,0,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
903b6e8b,José Sá,1,POR,GK,31-123,90,0,0,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.0,0,0,16,38,42.1,0,19,0,0,0,Wolverhampton Wanderers,2024-05-19 Liverpool-Wolves,ENG-EPL,23-24,d4823ed5
