id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
81255c03,João Pedro,10,ITA,FW,27-078,90,0,0,0,0,4,0,0,0,38,2,0,0,0.6,0.6,0.3,2,0,12,23,52.2,0,18,0,0,0,Cagliari,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
d37b0350,Leonardo Pavoletti,30,ITA,FW,30-181,90,1,0,0,0,3,1,0,0,36,1,0,1,0.8,0.8,0.0,3,0,20,26,76.9,2,15,0,0,0,Cagliari,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
56b2957b,Lucas Castro,29,ARG,AM,30-047,67,0,0,0,0,1,1,0,0,53,2,2,1,0.5,0.5,0.1,3,0,31,40,77.5,3,27,3,2,0,Cagliari,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
455a2b79,Valter Birsa,14,SVN,AM,32-292,23,0,0,0,0,2,0,0,0,27,0,0,1,0.1,0.1,0.1,1,0,14,24,58.3,1,11,0,0,0,Cagliari,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
cedb3e36,Artur Ioniță,21,MDA,LM,28-282,90,0,0,0,0,3,1,0,0,43,1,1,1,0.4,0.4,0.0,1,0,24,31,77.4,3,19,2,2,2,Cagliari,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
605873e1,Filip Bradarić,6,CRO,CM,27-135,81,0,0,0,0,0,0,0,0,57,2,2,1,0.0,0.0,0.0,2,0,41,48,85.4,3,31,1,0,0,Cagliari,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
1079c685,Alberto Cerri,9,ITA,CM,23-040,9,0,0,0,0,2,0,0,0,10,0,0,0,0.7,0.7,0.5,2,0,5,7,71.4,1,3,1,0,0,Cagliari,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
6928979a,Nicolò Barella,18,ITA,RM,22-108,90,0,0,0,0,4,1,0,0,72,2,0,1,0.1,0.1,0.1,5,0,47,61,77.0,4,40,1,1,1,Cagliari,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
5efc5389,Charalambos Lykogiannis,22,GRE,LB,25-216,90,0,0,0,0,2,1,0,0,61,0,0,3,0.1,0.1,0.7,4,0,30,52,57.7,1,22,2,0,0,Cagliari,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
008a6e6d,Ragnar Klavan,15,EST,CB,33-208,90,0,0,0,0,0,0,1,0,48,2,0,1,0.0,0.0,0.0,1,0,34,43,79.1,1,30,1,0,0,Cagliari,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
56400c01,Fabio Pisacane,19,ITA,CB,33-118,90,0,1,0,0,2,0,0,0,53,0,3,3,0.1,0.1,0.8,4,1,37,41,90.2,0,31,0,1,0,Cagliari,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
edd6c8e9,Darijo Srna,33,CRO,RB,37-025,75,0,0,0,0,1,1,1,0,64,0,2,1,0.1,0.1,0.1,6,1,37,55,67.3,5,30,0,0,0,Cagliari,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
5eb72339,Simone Padoin,20,ITA,RB,35-069,15,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,6,0,8,12,66.7,2,6,0,0,0,Cagliari,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
f554e29b,Alessio Cragno,28,ITA,GK,24-332,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,2,0,21,36,58.3,0,15,0,0,0,Cagliari,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
62437b4f,Ignacio Pussetto,23,ARG,FW,23-156,76,0,0,0,0,1,1,0,0,19,0,1,0,0.0,0.0,0.0,2,1,6,11,54.5,0,12,1,1,0,Udinese,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
09538fdb,Kevin Lasagna,15,ITA,FW,26-289,14,0,0,0,0,1,0,0,0,8,0,1,0,0.1,0.1,0.0,1,0,1,6,16.7,1,5,1,1,1,Udinese,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
7e81a17d,Łukasz Teodorczyk,91,POL,FW,27-357,90,0,0,0,0,2,1,0,0,40,1,0,1,0.1,0.1,0.0,3,0,17,26,65.4,1,26,0,2,2,Udinese,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
fe0b8f0e,Emmanuel Agyemang-Badu,8,GHA,CM,28-175,81,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,1,0,9,11,81.8,0,8,0,0,0,Udinese,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
2876eaa3,Ben Wilmot,24,ENG,CM,19-203,9,0,0,0,0,0,0,1,0,6,0,0,1,0.0,0.0,0.0,0,0,2,3,66.7,1,3,0,0,0,Udinese,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
86015b20,Emil Hallfreðsson,20,ISL,CM,34-331,90,1,0,0,0,1,1,0,0,44,0,2,1,0.0,0.0,0.0,0,0,24,26,92.3,2,15,1,1,0,Udinese,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
c7259b83,Rolando Mandragora,38,ITA,CM,21-331,87,0,1,0,0,0,0,0,0,53,2,2,1,0.0,0.0,0.4,5,2,35,42,83.3,5,17,1,0,0,Udinese,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
259deea9,Petar Mićin,14,SRB,CM,20-239,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Udinese,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
060606ec,Marco D'Alessandro,77,ITA,WB,28-098,90,0,1,0,0,1,0,0,0,60,1,0,3,0.0,0.0,0.1,7,1,30,47,63.8,4,28,6,4,3,Udinese,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
18f9dbd0,Hidde ter Avest,18,NED,WB,22-006,90,0,0,0,0,1,1,0,0,60,3,2,3,0.0,0.0,0.0,1,0,32,46,69.6,2,28,2,0,0,Udinese,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
92b4758e,Samir Santos,3,BRA,CB,24-172,90,0,0,0,0,1,0,0,0,57,0,1,0,0.1,0.1,0.0,1,0,34,46,73.9,1,22,2,1,0,Udinese,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
7ed4921e,William Troost-Ekong,5,NGA,CB,25-267,90,0,0,0,0,0,0,0,0,66,0,1,3,0.0,0.0,0.0,0,0,35,49,71.4,2,29,0,0,0,Udinese,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
952a03fe,Sebastien De Maio,87,FRA,CB,32-082,90,1,0,0,0,3,1,0,0,54,0,3,2,0.3,0.3,0.0,0,0,32,38,84.2,2,24,1,1,0,Udinese,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
a111cf41,Juan Musso,1,ARG,GK,25-020,90,0,0,0,0,0,0,1,0,27,0,0,0,0.0,0.0,0.0,0,0,13,23,56.5,0,10,0,0,0,Udinese,2019-05-26 Cagliari-Udinese,ITA-SERIA_A,18-19,d504580d
