id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
ecbb3fdf,André Schürrle,21,GER,FW,27-125,90,0,0,0,0,2,0,0,0,50,0,0,3,0.1,0.1,0.0,2,0,19,39,48.7,3,24,4,4,1,Dortmund,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
061e8e23,Maximilian Philipp,20,GER,LW,24-010,61,0,0,0,0,2,0,0,0,24,3,0,1,0.1,0.1,0.0,3,0,11,15,73.3,1,16,0,0,0,Dortmund,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
2973d8ff,Michy Batshuayi,44,BEL,LW,24-160,29,2,0,0,0,3,2,0,0,16,0,0,0,0.7,0.7,0.0,2,1,8,10,80.0,1,10,2,1,0,Dortmund,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
1bf33a9a,Christian Pulisic,22,USA,RW,19-174,90,0,1,0,0,1,0,0,0,36,2,0,1,0.0,0.0,0.4,2,1,16,26,61.5,3,23,4,3,1,Dortmund,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
36a3ff67,Marco Reus,11,GER,AM,28-284,86,0,0,0,0,4,1,0,0,47,0,0,4,0.2,0.2,0.1,5,0,24,33,72.7,2,25,1,3,1,Dortmund,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
b682dcf6,Sokratis Papastathopoulos,25,GRE,AM,29-275,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Dortmund,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
68829001,Gonzalo Castro,27,GER,DM,30-273,90,0,0,0,0,0,0,0,0,47,4,1,1,0.0,0.0,0.0,2,1,32,40,80.0,5,22,1,3,3,Dortmund,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
db4ed67b,Mahmoud Dahoud,19,GER,DM,22-069,45,0,0,0,0,1,1,1,0,27,4,1,0,0.0,0.0,0.1,5,0,17,20,85.0,5,16,2,2,1,Dortmund,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
346d51d9,Julian Weigl,33,GER,DM,22-184,45,0,0,0,0,0,0,0,0,18,0,0,2,0.0,0.0,0.0,0,0,8,14,57.1,2,9,0,0,0,Dortmund,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
89565ac5,Marcel Schmelzer,29,GER,LB,30-048,90,0,0,0,0,0,0,0,0,69,1,1,4,0.0,0.0,0.0,1,0,33,56,58.9,5,29,3,1,1,Dortmund,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
c5fd13e9,Ömer Toprak,36,TUR,CB,28-233,90,0,0,0,0,0,0,0,0,48,2,0,1,0.0,0.0,0.0,0,0,32,40,80.0,1,25,0,0,0,Dortmund,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
89ac64a6,Manuel Akanji,16,SUI,CB,22-235,90,0,0,0,0,0,0,1,0,38,0,0,1,0.0,0.0,0.0,0,0,26,34,76.5,1,20,0,0,0,Dortmund,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
fe2db476,Łukasz Piszczek,26,POL,RB,32-281,90,0,1,0,0,0,0,0,0,50,2,1,2,0.0,0.0,0.3,2,1,29,42,69.0,3,15,1,2,2,Dortmund,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
9d12e142,Roman Bürki,38,SUI,GK,27-117,90,0,0,0,0,0,0,1,0,38,0,0,0,0.0,0.0,0.0,1,0,19,37,51.4,0,16,0,1,1,Dortmund,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
536cebe5,Ante Rebić,4,CRO,FW,24-171,45,0,0,0,0,0,0,1,0,15,1,0,0,0.0,0.0,0.0,0,0,4,8,50.0,0,12,1,4,1,Eintracht Frankfurt,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
1bcca8b8,Jonathan de Guzmán,6,NED,CM,30-179,45,0,1,0,0,2,0,0,0,46,1,0,0,0.1,0.1,0.1,3,2,27,43,62.8,2,18,0,1,1,Eintracht Frankfurt,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
ba115a40,Sébastien Haller,9,CIV,FW,23-262,66,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,1,0,12,18,66.7,0,10,0,0,0,Eintracht Frankfurt,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
4d8cd038,Luka Jović,8,SRB,FW,20-078,24,1,0,0,0,1,1,0,0,11,0,0,0,0.1,0.1,0.0,0,0,7,8,87.5,2,7,1,1,1,Eintracht Frankfurt,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
b3b7f5a6,Timothy Chandler,22,USA,LW,27-347,90,0,0,0,0,2,0,0,0,53,1,1,0,0.1,0.1,0.0,1,0,28,44,63.6,1,23,1,0,0,Eintracht Frankfurt,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
5ddb8f9f,Danny da Costa,24,GER,RW,24-241,90,0,1,0,0,0,0,0,0,67,0,1,2,0.0,0.0,0.6,4,1,41,58,70.7,8,29,1,2,1,Eintracht Frankfurt,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
f4ec4fd0,Kevin-Prince Boateng,17,GHA,CM,31-005,90,0,0,0,0,2,1,0,0,60,2,0,1,0.2,0.2,0.0,3,1,45,51,88.2,8,50,2,2,2,Eintracht Frankfurt,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
fa661778,Marius Wolf,27,GER,CM,22-288,90,0,0,0,0,1,0,0,0,45,2,0,1,0.0,0.0,0.0,4,0,21,37,56.8,1,20,3,5,3,Eintracht Frankfurt,2018-03-11 Dortmund-Eint Frankfurt,GER-BL1,17-18,d55195d6
