id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8696bc90,Munir El Haddadi,19,MAR,"FW,LW",23-224,68,1,0,0,0,1,1,0,0,30,0,0,1,0.3,0.3,0.0,1,1,14,20,70.0,3,13,1,0,0,Sevilla,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
b182a240,Quincy Promes,21,NED,LW,27-099,22,0,0,0,0,1,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,6,7,85.7,0,5,1,0,0,Sevilla,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
942b4f90,Wissam Ben Yedder,9,FRA,FW,28-244,90,0,1,0,0,1,1,0,0,29,1,1,0,0.6,0.6,0.8,2,1,15,22,68.2,3,20,3,3,1,Sevilla,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
467bae22,Franco Vázquez,22,ARG,"LM,AM",30-050,68,1,0,0,0,1,1,0,0,22,1,0,1,0.0,0.0,0.6,1,0,13,17,76.5,2,15,1,0,0,Sevilla,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
04965583,Aleix Vidal,11,ESP,RW,29-235,22,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,1,4,0,1,1,Sevilla,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
7c4243d4,Roque Mesa,7,ESP,"DM,CM",29-310,90,0,0,0,0,1,1,0,0,48,3,1,0,0.0,0.0,0.0,2,0,31,36,86.1,5,29,3,1,1,Sevilla,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
fa937f7a,Éver Banega,10,ARG,"CM,DM",30-288,73,0,1,0,0,1,0,1,0,48,2,0,1,0.0,0.0,0.1,3,1,34,41,82.9,5,28,1,1,1,Sevilla,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
b6b2b820,Marko Rog,20,CRO,DM,23-268,17,0,0,0,0,0,0,1,0,8,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,4,0,1,1,Sevilla,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
9744ff80,Pablo Sarabia,17,ESP,"RM,AM,RW",26-337,90,1,1,0,0,4,1,0,0,46,0,1,0,0.9,0.9,0.4,2,1,23,38,60.5,4,23,1,0,0,Sevilla,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
b0616e3d,Sergio Escudero,18,ESP,LB,29-223,90,0,0,0,0,1,0,1,0,54,6,0,2,0.0,0.0,0.0,1,0,34,41,82.9,8,28,1,2,2,Sevilla,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
e1deea75,Daniel Carriço,6,POR,CB,30-252,90,0,0,0,0,0,0,1,0,38,0,2,0,0.0,0.0,0.0,0,0,17,32,53.1,1,15,0,0,0,Sevilla,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
bf97c188,Gabriel Mercado,25,ARG,CB,32-026,90,0,0,0,0,0,0,1,0,38,3,2,3,0.0,0.0,0.0,0,0,19,24,79.2,2,11,0,0,0,Sevilla,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
3f10bd22,Jesús Navas,16,ESP,RB,33-143,90,0,0,0,0,0,0,1,0,62,1,0,3,0.0,0.0,0.1,3,2,37,51,72.5,3,26,2,0,0,Sevilla,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
7b456af7,Tomáš Vaclík,1,CZE,GK,30-015,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,14,30,46.7,0,12,0,0,0,Sevilla,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
4a537185,Jesé,10,ESP,FW,26-046,73,0,0,0,0,4,2,1,0,24,0,0,0,0.5,0.5,0.0,0,0,8,13,61.5,0,12,1,2,0,Real Betis,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
3aa4a3be,Loren Morón,16,ESP,FW,25-104,17,0,0,0,0,1,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,5,1,0,0,Real Betis,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
d7553721,Giovani Lo Celso,21,ARG,FW,23-004,90,1,0,0,0,3,2,0,0,57,1,1,1,0.2,0.2,0.0,3,1,33,42,78.6,4,35,1,2,1,Real Betis,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
24f59bb2,Junior Firpo,20,DOM,"LW,CB",22-234,90,0,1,0,0,0,0,0,0,61,0,3,0,0.0,0.0,0.1,1,1,45,53,84.9,6,30,1,0,0,Real Betis,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
df8b52a5,Emerson,24,BRA,RW,20-089,67,0,0,0,0,0,0,0,0,61,2,2,0,0.0,0.0,0.1,2,0,39,46,84.8,1,40,2,2,0,Real Betis,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
4c5b14d2,Joaquín,17,ESP,RW,37-266,23,0,0,0,0,1,1,0,0,23,0,0,0,0.0,0.0,0.0,1,0,14,21,66.7,0,18,2,0,0,Real Betis,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
ef322658,Andrés Guardado,18,MEX,CM,32-197,90,0,0,0,0,1,0,0,0,72,0,0,5,0.1,0.1,0.0,2,1,55,66,83.3,5,48,4,0,0,Real Betis,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
a6de370d,Sergio Canales,6,ESP,CM,28-056,90,0,0,0,0,0,0,0,0,74,0,0,1,0.0,0.0,0.5,4,0,54,66,81.8,4,42,2,1,1,Real Betis,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
dee86451,William Carvalho,14,POR,DM,27-006,90,0,0,0,0,0,0,0,0,65,2,0,0,0.0,0.0,0.0,3,1,55,61,90.2,9,43,2,2,1,Real Betis,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
b14d0c5d,Sidnei,12,BRA,CB,29-233,76,0,0,0,0,0,0,0,0,45,2,1,1,0.0,0.0,0.0,1,0,34,38,89.5,0,29,1,0,0,Real Betis,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
72a99e38,Cristian Tello,11,ESP,LW,27-245,14,1,0,0,0,1,1,1,0,18,1,0,0,0.1,0.1,0.0,0,0,13,16,81.3,2,6,1,0,0,Real Betis,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
89151b16,Zouhair Feddal,4,MAR,CB,30-102,90,0,0,0,0,1,0,0,0,74,4,2,3,0.1,0.1,0.0,1,0,45,58,77.6,3,46,0,0,0,Real Betis,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
fbd6378b,Aïssa Mandi,23,ALG,CB,27-173,90,0,0,0,0,0,0,1,0,75,0,2,0,0.0,0.0,0.0,0,0,60,67,89.6,1,45,0,0,0,Real Betis,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
20b9f052,Pau López,13,ESP,GK,24-121,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.0,0,0,28,34,82.4,1,22,0,0,0,Real Betis,2019-04-13 Sevilla-Betis,ESP-LALIGA,18-19,daf8e97a
