id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
2ee5b0c9,Zeki Amdouni,25,SUI,FW,23-167,74,0,0,0,0,4,0,0,0,38,0,1,1,0.5,0.5,0.0,3,0,20,24,83.3,2,21,3,2,0,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
4ab53cdb,Jay Rodriguez,9,ENG,FW,34-295,16,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,8,75.0,0,1,0,0,0,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
f84a807c,Lyle Foster,17,RSA,FW,23-259,90,0,0,0,0,0,0,0,0,36,0,0,0,0.0,0.0,0.1,4,0,23,28,82.1,3,18,2,2,1,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
4e204552,Jacob Bruun Larsen,34,DEN,LM,25-243,45,0,0,0,0,2,0,0,0,32,0,1,0,0.1,0.1,0.4,4,0,20,24,83.3,1,23,2,5,1,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
f72293fc,Jóhann Berg Guðmundsson,7,ISL,RM,33-205,45,0,0,0,0,1,1,0,0,33,0,0,0,0.1,0.1,0.0,1,0,23,32,71.9,4,18,1,1,1,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
d0b6129f,Sander Berge,16,NOR,"CM,CB",26-095,90,0,0,0,0,0,0,0,0,130,0,0,1,0.0,0.0,0.1,5,0,125,129,96.9,9,84,3,0,0,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
f6d7d690,Josh Cullen,24,IRL,CM,28-042,82,1,0,0,0,3,2,0,0,87,2,1,1,0.2,0.2,0.0,3,0,74,79,93.7,8,34,1,0,0,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
74e12f1e,Jack Cork,4,ENG,CM,34-329,8,0,0,0,0,0,0,0,0,10,0,1,0,0.0,0.0,0.0,0,0,9,9,100.0,2,6,1,0,0,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
35516eac,Wilson Odobert,47,FRA,"LM,RM",19-173,90,0,0,0,0,5,0,0,0,72,0,0,0,0.3,0.3,0.0,4,0,46,57,80.7,4,46,9,7,5,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
cc2d7ad5,Charlie Taylor,3,ENG,LB,30-244,74,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,2,0,37,39,94.9,3,19,0,0,0,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
47369df8,Josh Brownhill,8,ENG,"CM,LB",28-152,16,0,0,0,0,0,0,0,0,18,0,0,1,0.0,0.0,0.2,4,0,15,17,88.2,4,8,1,0,0,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
1a066e69,Maxime Estève,33,FRA,"CB,LB",21-359,90,0,0,0,0,1,0,1,0,98,2,2,1,0.0,0.0,0.0,2,1,78,88,88.6,6,51,3,0,0,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
1d042188,Dara O'Shea,2,IRL,CB,25-076,90,0,0,0,0,0,0,0,0,81,3,2,1,0.0,0.0,0.0,1,0,61,74,82.4,3,39,4,0,0,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
b026bbf6,Lorenz Assignon,20,TOG,RB,23-332,45,0,0,0,0,1,0,0,0,35,0,1,0,0.0,0.0,0.0,0,0,22,29,75.9,1,14,1,1,0,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
9295dc1c,Vitinho,22,BRA,RB,24-301,45,0,1,0,0,3,0,0,0,35,1,0,0,0.1,0.1,0.1,1,1,24,27,88.9,1,17,0,2,0,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
99aa1a84,Arijanet Muric,49,KVX,GK,25-194,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,1,0,30,32,93.8,0,20,0,0,0,Burnley,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
4e9a0555,Chris Wood,11,NZL,FW,32-164,78,2,0,0,0,4,3,0,0,27,0,0,0,1.3,1.3,0.0,1,0,9,22,40.9,1,11,1,0,0,Nottingham Forest,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
e5478b87,Taiwo Awoniyi,9,NGA,FW,26-281,12,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Nottingham Forest,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
15f3ec41,Callum Hudson-Odoi,14,ENG,LW,23-194,87,0,0,0,0,0,0,0,0,32,2,1,1,0.0,0.0,0.1,3,0,22,28,78.6,5,19,4,3,1,Nottingham Forest,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
484a3eae,Rodrigo Ribeiro,37,POR,LW,19-021,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0,0,0,0,0,0,Nottingham Forest,2024-05-19 Burnley-Nott'ham Forest,ENG-EPL,23-24,dafb05fe
