id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8b788c01,Anthony Martial,9,FRA,FW,24-037,79,1,0,0,0,3,1,0,0,37,3,0,3,0.3,0.3,0.0,1,0,16,19,84.2,2,24,4,4,1,Manchester United,2020-01-11 Manchester Utd-Norwich City,ENG-EPL,19-20,db192bf5
645a3363,Angel Gomes,28,ENG,AM,19-133,11,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.1,2,0,7,8,87.5,3,6,2,0,0,Manchester United,2020-01-11 Manchester Utd-Norwich City,ENG-EPL,19-20,db192bf5
a1d5bd30,Marcus Rashford,10,ENG,LW,22-072,58,2,0,1,1,2,2,0,0,41,0,0,0,1.6,0.8,0.0,1,1,23,33,69.7,4,23,4,5,4,Manchester United,2020-01-11 Manchester Utd-Norwich City,ENG-EPL,19-20,db192bf5
c931d9f9,Daniel James,21,WAL,LW,22-062,32,0,0,0,0,1,0,0,0,14,0,0,1,0.1,0.1,0.0,0,0,9,11,81.8,1,8,2,1,1,Manchester United,2020-01-11 Manchester Utd-Norwich City,ENG-EPL,19-20,db192bf5
29733c72,Juan Mata,8,ESP,"RW,AM",31-258,90,0,2,0,0,1,0,0,0,81,1,0,0,0.0,0.0,0.8,5,2,68,75,90.7,10,44,1,1,0,Manchester United,2020-01-11 Manchester Utd-Norwich City,ENG-EPL,19-20,db192bf5
6639e500,Andreas Pereira,15,BRA,AM,24-010,70,0,0,0,0,1,1,0,0,63,1,0,0,0.0,0.0,1.0,6,1,42,56,75.0,6,40,3,4,3,Manchester United,2020-01-11 Manchester Utd-Norwich City,ENG-EPL,19-20,db192bf5
58eee997,Mason Greenwood,26,ENG,"FW,RW",18-102,20,1,0,0,0,1,1,0,0,12,0,0,0,0.0,0.0,0.0,1,0,9,10,90.0,0,5,1,1,1,Manchester United,2020-01-11 Manchester Utd-Norwich City,ENG-EPL,19-20,db192bf5
eb7822d7,Nemanja Matić,31,SRB,DM,31-163,90,0,0,0,0,0,0,0,0,81,4,1,1,0.0,0.0,0.0,2,0,65,75,86.7,11,34,0,2,2,Manchester United,2020-01-11 Manchester Utd-Norwich City,ENG-EPL,19-20,db192bf5
b853e0ad,Fred,17,BRA,DM,26-312,90,0,0,0,0,1,0,0,0,112,3,2,6,0.0,0.0,0.0,2,1,81,95,85.3,8,45,1,3,1,Manchester United,2020-01-11 Manchester Utd-Norwich City,ENG-EPL,19-20,db192bf5
