id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
03f946ed,Andrea Petagna,37,ITA,FW,26-162,90,0,1,0,0,3,0,1,0,44,1,0,0,0.2,0.2,0.7,3,2,27,32,84.4,1,29,3,1,1,Napoli,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
cf007308,Elif Elmas,7,MKD,LW,22-076,90,2,0,0,0,3,2,0,0,34,0,0,0,1.0,1.0,0.0,1,0,16,23,69.6,1,19,0,0,0,Napoli,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
a69e4806,Hirving Lozano,11,MEX,RW,26-132,44,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,1,5,1,2,1,Napoli,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
d6a889ea,Kévin Malcuit,2,MAR,RW,30-131,46,0,0,0,0,1,1,0,0,20,0,0,1,0.2,0.2,0.0,1,1,12,16,75.0,2,13,2,1,0,Napoli,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
ed90babd,Adam Ounas,33,ALG,AM,25-028,62,1,0,0,0,3,2,0,0,33,1,0,0,0.2,0.2,0.1,2,0,14,21,66.7,4,20,2,2,1,Napoli,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
89b2c8a9,Dries Mertens,14,BEL,AM,34-217,28,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.3,2,0,3,5,60.0,2,3,0,0,0,Napoli,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
a5296e55,Piotr Zieliński,20,POL,DM,27-203,90,0,0,0,0,1,0,0,0,65,1,0,1,0.1,0.1,0.1,4,1,55,59,93.2,9,46,1,2,1,Napoli,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
dc3fa3b5,Diego Demme,4,GER,DM,30-018,77,0,0,0,0,0,0,1,0,62,5,0,0,0.0,0.0,0.0,0,0,46,52,88.5,1,41,0,1,1,Napoli,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
c707411f,Kostas Manolas,44,GRE,DM,30-178,13,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,1,0,0,0,Napoli,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
0b5a292a,Mário Rui,6,POR,LB,30-196,90,0,0,0,0,0,0,0,0,71,1,0,1,0.0,0.0,0.0,3,0,48,60,80.0,5,47,1,0,0,Napoli,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
79083382,Juan Jesus,5,BRA,CB,30-182,90,0,0,0,0,0,0,0,0,70,0,0,1,0.0,0.0,0.0,2,0,55,66,83.3,4,57,2,0,0,Napoli,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
4b3e1a38,Amir Rrahmani,13,KVX,CB,27-288,90,0,0,0,0,0,0,0,0,62,1,1,2,0.0,0.0,0.0,0,0,48,50,96.0,1,39,0,0,0,Napoli,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
230a2fac,Giovanni Di Lorenzo,22,ITA,RB,28-127,90,0,1,0,0,0,0,0,0,65,3,0,0,0.0,0.0,0.2,1,1,48,57,84.2,1,35,0,0,0,Napoli,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
9413b19f,Alex Meret,1,ITA,GK,24-262,90,0,0,0,0,0,0,0,0,39,0,0,0,0.0,0.0,0.0,0,0,31,37,83.8,0,21,0,0,0,Napoli,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
45963054,Jamie Vardy,9,ENG,FW,34-332,90,0,0,0,0,3,0,0,0,18,0,1,0,0.3,0.3,0.0,0,0,7,10,70.0,0,13,0,1,0,Leicester City,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
3ea50f67,Harvey Barnes,7,ENG,LW,24-000,71,0,0,0,0,3,2,0,0,36,0,0,1,0.2,0.2,0.3,1,0,19,26,73.1,3,28,9,5,3,Leicester City,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
ca45605e,Patson Daka,29,ZAM,LW,23-061,19,0,0,0,0,1,0,0,0,9,0,0,0,0.2,0.2,0.1,2,0,7,8,87.5,1,6,0,0,0,Leicester City,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
ee38d9c5,James Maddison,10,ENG,RW,25-016,90,0,0,0,0,1,0,0,0,55,1,2,2,0.4,0.4,0.0,4,1,31,45,68.9,4,42,1,1,1,Leicester City,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
5c74c0f5,Kiernan Dewsbury-Hall,22,ENG,AM,23-094,88,1,0,0,0,2,1,0,0,65,2,0,2,0.4,0.4,0.1,4,0,49,56,87.5,9,47,4,1,1,Leicester City,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
b827d5b3,Marc Albrighton,11,ENG,AM,32-021,2,0,0,0,0,0,0,0,0,8,1,0,0,0.0,0.0,0.2,1,0,6,7,85.7,0,3,0,0,0,Leicester City,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
6b47c5db,Wilfred Ndidi,25,NGA,DM,24-358,90,0,0,0,0,1,0,0,0,52,6,3,0,0.2,0.2,0.0,1,0,38,39,97.4,2,35,2,0,0,Leicester City,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
56f7a928,Youri Tielemans,8,BEL,DM,24-216,76,0,0,0,0,2,1,0,0,68,1,0,1,0.0,0.0,0.0,3,1,49,61,80.3,5,51,1,0,0,Leicester City,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
ae59b359,Boubakary Soumaré,42,FRA,DM,22-285,14,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,11,12,91.7,3,11,0,0,0,Leicester City,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
01226327,Ryan Bertrand,5,ENG,LB,32-126,90,0,0,0,0,0,0,0,0,72,0,1,1,0.0,0.0,0.2,3,1,52,66,78.8,3,46,2,0,0,Leicester City,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
21166ff4,Çağlar Söyüncü,4,TUR,CB,25-200,90,0,0,0,0,0,0,0,0,83,3,1,2,0.0,0.0,0.0,0,0,65,74,87.8,3,59,0,0,0,Leicester City,2021-12-09 Napoli-Leicester City,UEL,21-22,db3142d8
