id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
33ecf462,Valerio Verre,14,ITA,"FW,AM",26-001,89,1,0,1,1,1,0,1,0,61,1,0,0,0.8,0.0,0.1,3,0,35,51,68.6,12,38,3,1,1,Hellas Verona,2020-01-12 Hellas Verona-Genoa,ITA-SERIA_A,19-20,dc13e242
16bb656a,Paweł Dawidowicz,27,POL,AM,24-237,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,0,0,0,0,Hellas Verona,2020-01-12 Hellas Verona-Genoa,ITA-SERIA_A,19-20,dc13e242
d85c238b,Mattia Zaccagni,20,ITA,AM,24-210,87,1,0,0,0,2,2,0,0,48,0,0,0,0.9,0.9,0.0,4,1,28,38,73.7,3,39,3,3,1,Hellas Verona,2020-01-12 Hellas Verona-Genoa,ITA-SERIA_A,19-20,dc13e242
6ca663b4,Giampaolo Pazzini,11,ITA,FW,35-163,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,0,0,Hellas Verona,2020-01-12 Hellas Verona-Genoa,ITA-SERIA_A,19-20,dc13e242
780e3631,Matteo Pessina,32,ITA,AM,22-266,90,0,0,0,0,1,1,0,0,49,2,0,0,0.1,0.1,0.1,3,0,27,39,69.2,4,29,0,1,1,Hellas Verona,2020-01-12 Hellas Verona-Genoa,ITA-SERIA_A,19-20,dc13e242
ab1ca213,Miguel Veloso,4,POR,CM,33-246,90,0,0,0,0,1,0,0,0,84,0,0,2,0.1,0.1,0.4,3,0,58,76,76.3,13,43,9,2,2,Hellas Verona,2020-01-12 Hellas Verona-Genoa,ITA-SERIA_A,19-20,dc13e242
5a2cb25d,Sofyan Amrabat,34,MAR,CM,23-144,89,0,0,0,0,0,0,1,0,90,1,0,1,0.0,0.0,0.1,2,0,63,79,79.7,8,50,1,4,2,Hellas Verona,2020-01-12 Hellas Verona-Genoa,ITA-SERIA_A,19-20,dc13e242
fe0b8f0e,Emmanuel Agyemang-Badu,7,GHA,CM,29-041,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,0,0,0,0,Hellas Verona,2020-01-12 Hellas Verona-Genoa,ITA-SERIA_A,19-20,dc13e242
5128bde4,Darko Lazović,88,SRB,WB,29-119,90,0,0,0,0,2,2,0,0,69,1,0,0,0.1,0.1,0.1,3,1,49,58,84.5,5,30,4,3,1,Hellas Verona,2020-01-12 Hellas Verona-Genoa,ITA-SERIA_A,19-20,dc13e242
aae9d04a,Davide Faraoni,5,ITA,WB,28-079,90,0,0,0,0,1,0,0,0,70,2,2,1,0.4,0.4,0.0,1,0,42,56,75.0,10,22,1,1,0,Hellas Verona,2020-01-12 Hellas Verona-Genoa,ITA-SERIA_A,19-20,dc13e242
a40819d9,Marash Kumbulla,24,ALB,CB,19-338,90,0,0,0,0,0,0,0,0,69,2,3,0,0.0,0.0,0.0,0,0,53,62,85.5,10,36,2,1,0,Hellas Verona,2020-01-12 Hellas Verona-Genoa,ITA-SERIA_A,19-20,dc13e242
f1f1f238,Koray Günter,21,GER,CB,25-149,90,0,0,0,0,0,0,0,0,79,2,1,1,0.0,0.0,0.0,0,0,65,73,89.0,7,39,0,0,0,Hellas Verona,2020-01-12 Hellas Verona-Genoa,ITA-SERIA_A,19-20,dc13e242
4b3e1a38,Amir Rrahmani,13,KVX,CB,25-322,90,0,0,0,0,3,2,1,0,93,0,1,1,0.1,0.1,0.0,2,1,69,82,84.1,5,51,1,0,0,Hellas Verona,2020-01-12 Hellas Verona-Genoa,ITA-SERIA_A,19-20,dc13e242
0d422df7,Marco Silvestri,1,ITA,GK,28-316,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,14,28,50.0,0,12,0,0,0,Hellas Verona,2020-01-12 Hellas Verona-Genoa,ITA-SERIA_A,19-20,dc13e242
