id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
7cdda3bf,Gaëtan Laborde,10,FRA,FW,24-114,88,0,0,0,0,1,0,0,0,29,0,0,1,0.1,0.1,0.1,2,0,13,24,54.2,2,13,3,1,1,Montpellier,2018-08-25 Montpellier-Saint-Étienne,FRA-L1,18-19,dc15418c
d9a66c60,Petar Škuletić,32,SRB,AM,28-057,2,0,0,0,0,1,0,0,0,2,0,0,0,0.1,0.1,0.0,0,0,0,1,0.0,0,0,0,0,0,Montpellier,2018-08-25 Montpellier-Saint-Étienne,FRA-L1,18-19,dc15418c
d33c706e,Andy Delort,11,ALG,FW,26-320,90,0,0,0,0,1,0,0,0,35,0,1,2,0.0,0.0,0.2,3,0,13,25,52.0,1,14,2,3,2,Montpellier,2018-08-25 Montpellier-Saint-Étienne,FRA-L1,18-19,dc15418c
7e82a78f,Florent Mollet,25,FRA,AM,26-279,88,0,0,0,0,4,1,0,0,56,1,0,1,0.1,0.1,0.3,4,0,38,46,82.6,4,28,4,3,2,Montpellier,2018-08-25 Montpellier-Saint-Étienne,FRA-L1,18-19,dc15418c
24eb7ed6,Junior Sambia,6,FRA,FW,21-352,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,2,0,1,0,Montpellier,2018-08-25 Montpellier-Saint-Étienne,FRA-L1,18-19,dc15418c
542cc80f,Paul Lasne,7,FRA,CM,29-221,67,0,0,0,0,2,0,1,0,60,4,2,2,0.1,0.1,0.1,5,0,40,47,85.1,5,35,1,0,0,Montpellier,2018-08-25 Montpellier-Saint-Étienne,FRA-L1,18-19,dc15418c
8f4d116f,Damien Le Tallec,14,FRA,CM,28-128,23,0,0,0,0,0,0,0,0,21,2,0,1,0.0,0.0,0.0,2,0,15,18,83.3,4,11,0,0,0,Montpellier,2018-08-25 Montpellier-Saint-Étienne,FRA-L1,18-19,dc15418c
c2211709,Ellyes Skhiri,13,TUN,CM,23-107,90,0,0,0,0,3,0,0,0,73,5,2,1,0.1,0.1,0.0,2,0,45,56,80.4,6,35,0,2,1,Montpellier,2018-08-25 Montpellier-Saint-Étienne,FRA-L1,18-19,dc15418c
e3e05edf,Ambroise Oyongo,8,CMR,WB,27-064,90,0,0,0,0,1,0,0,0,67,6,0,2,0.0,0.0,0.0,2,0,39,54,72.2,4,37,4,3,2,Montpellier,2018-08-25 Montpellier-Saint-Étienne,FRA-L1,18-19,dc15418c
