id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
a4948e67,M'Bala Nzola,18,ANG,"FW,LW",24-138,90,0,0,0,0,2,0,0,0,30,0,0,0,0.4,0.4,0.0,0,0,19,21,90.5,2,19,1,1,0,Spezia,2021-01-03 Spezia-Hellas Verona,ITA-SERIA_A,20-21,df01ce1a
f9758dae,Emmanuel Gyasi,11,GHA,LW,26-358,69,0,0,0,0,0,0,0,0,36,0,0,1,0.0,0.0,0.0,0,0,20,27,74.1,1,22,0,1,0,Spezia,2021-01-03 Spezia-Hellas Verona,ITA-SERIA_A,20-21,df01ce1a
6b635f5c,Ardian Ismajli,34,ALB,CB,24-095,21,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.0,0,0,11,14,78.6,0,6,0,0,0,Spezia,2021-01-03 Spezia-Hellas Verona,ITA-SERIA_A,20-21,df01ce1a
46fa7204,Kevin Agudelo,80,COL,RW,22-050,66,0,0,0,0,1,0,0,0,33,1,0,2,0.0,0.0,0.0,2,0,12,23,52.2,2,22,2,4,2,Spezia,2021-01-03 Spezia-Hellas Verona,ITA-SERIA_A,20-21,df01ce1a
1cadaf34,Roberto Piccoli,91,ITA,RW,19-342,24,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,4,9,44.4,1,6,1,0,0,Spezia,2021-01-03 Spezia-Hellas Verona,ITA-SERIA_A,20-21,df01ce1a
55a1cac2,Tommaso Pobega,26,ITA,LM,21-172,66,0,0,0,0,1,1,1,0,35,2,1,0,0.0,0.0,0.0,1,0,21,28,75.0,1,24,1,1,0,Spezia,2021-01-03 Spezia-Hellas Verona,ITA-SERIA_A,20-21,df01ce1a
957e4c87,Giulio Maggiore,25,ITA,LM,22-297,24,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,3,8,37.5,0,6,0,0,0,Spezia,2021-01-03 Spezia-Hellas Verona,ITA-SERIA_A,20-21,df01ce1a
8bc8829a,Lucien Agoume,10,FRA,CM,18-329,90,0,0,0,0,0,0,1,0,56,2,2,1,0.0,0.0,0.0,0,0,40,51,78.4,5,29,1,1,1,Spezia,2021-01-03 Spezia-Hellas Verona,ITA-SERIA_A,20-21,df01ce1a
cec60a2f,Nahuel Estévez,24,ARG,RM,25-050,88,0,0,0,0,0,0,1,0,53,1,0,3,0.0,0.0,0.3,2,0,32,44,72.7,5,32,1,1,0,Spezia,2021-01-03 Spezia-Hellas Verona,ITA-SERIA_A,20-21,df01ce1a
7f267d66,Alessandro Deiola,27,ITA,RM,25-155,2,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Spezia,2021-01-03 Spezia-Hellas Verona,ITA-SERIA_A,20-21,df01ce1a
91d0fabf,Riccardo Marchizza,5,ITA,LB,22-283,88,0,0,0,0,0,0,0,0,62,1,0,0,0.0,0.0,0.2,3,0,46,59,78.0,2,26,0,1,0,Spezia,2021-01-03 Spezia-Hellas Verona,ITA-SERIA_A,20-21,df01ce1a
157d29b6,Diego Farias,17,BRA,LB,30-238,2,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,3,33.3,0,2,0,0,0,Spezia,2021-01-03 Spezia-Hellas Verona,ITA-SERIA_A,20-21,df01ce1a
ae7058f9,Julian Chabot,22,GER,CB,22-326,67,0,0,0,0,1,0,2,1,44,1,1,1,0.1,0.1,0.0,0,0,30,40,75.0,4,18,1,0,0,Spezia,2021-01-03 Spezia-Hellas Verona,ITA-SERIA_A,20-21,df01ce1a
0fee6bda,Martin Erlic,28,CRO,CB,22-345,90,0,0,0,0,2,0,1,0,64,1,4,0,0.3,0.3,0.0,1,0,42,52,80.8,9,31,0,2,1,Spezia,2021-01-03 Spezia-Hellas Verona,ITA-SERIA_A,20-21,df01ce1a
