id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
5c4dc0ff,Mariano,9,DOM,FW,24-058,69,0,0,0,0,4,2,0,0,23,0,0,0,0.3,0.3,0.0,5,0,13,14,92.9,1,15,1,3,2,Lyon,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
706a60e1,Myziane Maolida,17,COM,FW,18-226,21,0,0,0,0,1,0,0,0,9,0,0,0,0.1,0.1,0.0,0,0,5,6,83.3,0,5,1,0,0,Lyon,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
a5db0bec,Houssem Aouar,8,ALG,LW,19-090,69,0,0,0,0,1,0,0,0,44,3,0,0,0.1,0.1,0.3,5,0,21,31,67.7,2,20,4,7,5,Lyon,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
8f696594,Memphis,11,NED,LW,23-227,21,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,7,13,53.8,0,9,1,2,2,Lyon,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
c47541e0,Bertrand Traoré,10,BFA,RW,22-022,84,1,0,0,0,4,2,0,0,70,2,3,1,0.9,0.9,0.0,4,1,41,50,82.0,3,39,4,7,4,Lyon,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
beb391dd,Maxwel Cornet,27,CIV,RW,21-001,6,0,0,0,0,0,0,0,0,5,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,1,1,0,0,0,Lyon,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
bece776f,Nabil Fekir,18,FRA,AM,24-072,90,0,0,0,0,2,0,0,0,75,1,0,1,0.1,0.1,0.8,8,0,52,64,81.3,3,39,3,4,3,Lyon,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
5cdddffa,Tanguy Ndombele,28,FRA,DM,20-274,90,0,0,0,0,2,1,0,0,79,2,0,1,0.0,0.0,0.3,9,0,60,68,88.2,4,43,0,4,3,Lyon,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
71ec39ef,Lucas Tousart,29,FRA,DM,20-152,90,0,0,0,0,2,2,0,0,74,2,1,1,0.1,0.1,0.0,1,0,54,63,85.7,5,36,2,2,2,Lyon,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
3cefcaef,Ferland Mendy,22,FRA,LB,22-112,90,0,0,0,0,2,0,0,0,100,1,0,0,0.1,0.1,0.0,2,0,76,89,85.4,7,45,7,4,3,Lyon,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
e97150c0,Jérémy Morel,15,MAD,CB,33-179,90,0,0,0,0,0,0,0,0,50,4,3,2,0.0,0.0,0.0,0,0,36,41,87.8,3,22,0,0,0,Lyon,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
e3d0b0c4,Marcelo,6,BRA,CB,30-131,90,0,0,0,0,0,0,0,0,101,1,1,1,0.0,0.0,0.0,1,0,84,91,92.3,6,59,0,0,0,Lyon,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
77d7c96f,Kenny Tete,23,NED,RB,21-354,90,0,0,0,0,3,0,1,0,80,1,0,5,0.1,0.1,0.0,1,0,56,66,84.8,5,43,4,2,0,Lyon,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
f00de885,Anthony Lopes,1,POR,GK,26-362,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,25,33,75.8,0,15,0,0,0,Lyon,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
6e4df551,Papu Gómez,10,ARG,FW,29-225,90,1,0,0,0,1,1,0,0,50,4,1,1,0.1,0.1,0.0,1,1,22,36,61.1,2,30,3,6,2,Atalanta,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
03f946ed,Andrea Petagna,29,ITA,FW,22-090,61,0,0,0,0,1,0,0,0,12,0,0,0,0.1,0.1,0.0,0,0,7,8,87.5,0,8,0,1,1,Atalanta,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
68252d6d,Josip Iličić,72,SVN,FW,29-242,29,0,0,0,0,1,0,1,0,15,0,1,0,0.0,0.0,0.0,0,0,7,8,87.5,0,8,1,1,1,Atalanta,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
98d2c2c4,Remo Freuler,11,SUI,CM,25-166,90,0,1,0,0,0,0,0,0,51,4,2,1,0.0,0.0,0.1,3,1,39,43,90.7,7,34,0,2,1,Atalanta,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
2a1beb34,Marten de Roon,15,NED,CM,26-183,90,0,0,0,0,0,0,1,0,45,0,5,0,0.0,0.0,0.0,1,0,24,33,72.7,3,17,0,0,0,Atalanta,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
16657b95,Bryan Cristante,4,ITA,CM,22-209,45,0,0,0,0,0,0,1,0,21,1,0,1,0.0,0.0,0.0,0,0,8,15,53.3,0,13,0,0,0,Atalanta,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
197640fd,Timothy Castagne,21,BEL,"WB,CM",21-297,45,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,15,17,88.2,1,10,0,0,0,Atalanta,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
3626daea,Leonardo Spinazzola,37,ITA,WB,24-187,90,0,0,0,0,0,0,0,0,57,3,1,1,0.0,0.0,0.6,2,0,40,48,83.3,3,36,3,3,3,Atalanta,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
3b333ac3,Hans Hateboer,33,NED,"WB,CM",23-262,90,0,0,0,0,1,0,0,0,43,4,4,3,0.6,0.6,0.0,0,0,16,24,66.7,0,23,1,2,1,Atalanta,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
921f6058,José Luis Palomino,6,ARG,CB,27-266,90,0,0,0,0,0,0,0,0,64,1,1,2,0.0,0.0,0.0,1,0,33,52,63.5,4,37,2,1,1,Atalanta,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
ac7e640b,Mattia Caldara,13,ITA,CB,23-146,90,0,0,0,0,1,0,0,0,41,3,6,4,0.0,0.0,0.0,1,0,18,21,85.7,0,19,1,2,1,Atalanta,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
e0314d87,Andrea Masiello,5,ITA,CB,31-235,90,0,0,0,0,0,0,0,0,56,5,1,5,0.0,0.0,0.0,0,0,31,38,81.6,0,24,0,0,0,Atalanta,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
ee833569,Etrit Berisha,1,ALB,GK,28-202,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,17,29,58.6,0,18,0,0,0,Atalanta,2017-09-28 Lyon-Atalanta,UEL,17-18,df44cb08
