id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
f4ec4fd0,Kevin-Prince Boateng,19,GHA,FW,31-347,59,0,0,0,0,2,1,0,0,20,0,1,0,0.1,0.1,0.0,2,0,9,12,75.0,1,17,0,0,0,Barcelona,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
a6154613,Luis Suárez,9,URU,FW,32-023,31,0,0,0,0,3,2,0,0,28,0,0,0,1.2,1.2,0.0,3,0,15,20,75.0,3,23,1,3,3,Barcelona,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
b19db005,Ousmane Dembélé,11,FRA,LW,21-277,69,0,0,0,0,1,0,0,0,52,1,1,1,0.1,0.1,0.2,4,0,35,44,79.5,3,46,7,6,4,Barcelona,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
0ef89a37,Philippe Coutinho,7,BRA,LW,26-249,21,0,0,0,0,1,0,0,0,16,1,0,0,0.0,0.0,0.0,1,0,9,11,81.8,2,10,2,2,1,Barcelona,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
d70ce98e,Lionel Messi,10,ARG,RW,31-237,90,1,0,1,2,10,3,1,0,104,1,1,0,2.2,0.7,1.5,15,1,64,78,82.1,16,83,9,10,4,Barcelona,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
6c811eb7,Carles Aleñá,21,ESP,LM,21-042,75,0,0,0,0,0,0,0,0,90,0,0,2,0.0,0.0,0.1,2,0,73,82,89.0,11,82,4,4,3,Barcelona,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
89f951b5,Ivan Rakitić,4,CRO,LM,30-343,15,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,1,0,14,15,93.3,1,15,1,0,0,Barcelona,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
5ab0ea87,Sergio Busquets,5,ESP,CM,30-215,90,0,0,0,0,0,0,0,0,90,5,1,1,0.0,0.0,0.0,3,0,75,78,96.2,7,58,0,0,0,Barcelona,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
67cdbc0e,Arturo Vidal,22,CHI,RM,31-270,90,0,0,0,0,0,0,0,0,93,5,3,5,0.0,0.0,0.0,2,0,72,80,90.0,5,60,3,0,0,Barcelona,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
4601e194,Jordi Alba,18,ESP,LB,29-332,90,0,0,0,0,0,0,0,0,87,0,2,0,0.0,0.0,0.3,1,0,72,79,91.1,6,61,3,1,0,Barcelona,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
d0d79694,Thomas Vermaelen,24,BEL,CB,33-094,90,0,0,0,0,0,0,0,0,55,1,3,0,0.0,0.0,0.0,0,0,40,43,93.0,5,29,0,0,0,Barcelona,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
adfc9123,Gerard Piqué,3,ESP,CB,32-014,90,0,0,0,0,0,0,0,0,94,2,1,3,0.0,0.0,0.0,2,1,79,83,95.2,3,64,0,0,0,Barcelona,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
335fa267,Sergi Roberto,20,ESP,RB,27-009,90,0,0,0,0,1,0,0,0,87,2,2,1,0.1,0.1,0.0,3,0,71,76,93.4,4,64,1,1,1,Barcelona,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
6f51e382,Marc-André ter Stegen,1,GER,GK,26-292,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,27,34,79.4,0,25,0,0,0,Barcelona,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
32974271,Sergi Guardiola,12,ESP,FW,27-263,90,0,0,0,0,4,0,0,0,43,0,0,0,0.2,0.2,0.0,4,0,20,29,69.0,5,26,6,6,5,Valladolid,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
f8eca1b6,Enes Ünal,9,TUR,FW,21-282,78,0,0,0,0,1,0,1,0,27,1,0,0,0.0,0.0,0.0,1,0,17,21,81.0,0,13,1,1,0,Valladolid,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
1512328c,Keko,24,ESP,"AM,FW",27-051,12,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,4,7,57.1,0,6,0,1,0,Valladolid,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
d3298c99,Daniele Verde,11,ITA,AM,22-241,66,0,0,0,0,1,0,0,0,38,1,1,0,0.0,0.0,0.1,2,0,20,29,69.0,2,27,2,1,1,Valladolid,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
636eae97,Toni Villa,19,ESP,AM,24-040,9,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,1,0,3,4,75.0,0,3,1,0,0,Valladolid,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
f4b7f2ec,Stiven Plaza,42,ECU,"FW,AM",19-342,15,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,1,0,1,1,100.0,0,2,0,0,0,Valladolid,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
418f8f61,Míchel,21,ESP,CM,30-202,90,0,0,0,0,0,0,1,0,84,4,8,3,0.0,0.0,0.0,1,0,55,62,88.7,7,48,1,1,0,Valladolid,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
c93231dc,Anuar,23,MAR,CM,24-032,90,0,0,0,0,0,0,1,0,70,10,2,2,0.0,0.0,0.0,3,0,46,57,80.7,8,39,3,2,1,Valladolid,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
e29d1111,Nacho,22,ESP,WB,29-346,90,0,0,0,0,2,0,0,0,66,0,1,0,0.1,0.1,0.1,4,0,48,61,78.7,7,44,5,0,0,Valladolid,2019-02-16 Barcelona-Valladolid,ESP-LALIGA,18-19,df8fbe37
