id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
9ef42479,Thomas Henry,14,FRA,FW,27-028,86,0,1,0,0,0,0,0,0,25,0,0,0,0.0,0.0,1.0,3,1,15,21,71.4,0,11,1,1,1,Venezia,2021-10-18 Venezia-Fiorentina,ITA-SERIA_A,21-22,e079b59a
6d70c771,Daan Heymans,18,BEL,FW,22-125,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,1,0,Venezia,2021-10-18 Venezia-Fiorentina,ITA-SERIA_A,21-22,e079b59a
0847b5a5,Mattia Aramu,10,ITA,AM,26-157,86,1,0,0,0,1,1,0,0,39,1,1,2,1.0,1.0,0.1,1,0,16,31,51.6,2,24,2,2,0,Venezia,2021-10-18 Venezia-Fiorentina,ITA-SERIA_A,21-22,e079b59a
ac7e640b,Mattia Caldara,31,ITA,CB,27-166,4,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,0,0,0,0,Venezia,2021-10-18 Venezia-Fiorentina,ITA-SERIA_A,21-22,e079b59a
66784dee,Dennis Johnsen,17,NOR,AM,23-243,49,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,6,13,46.2,1,12,0,2,0,Venezia,2021-10-18 Venezia-Fiorentina,ITA-SERIA_A,21-22,e079b59a
d125f22f,David Okereke,77,NGA,"AM,FW",24-050,41,0,0,0,0,1,1,0,0,20,0,0,0,0.1,0.1,0.0,0,0,8,11,72.7,0,13,1,3,1,Venezia,2021-10-18 Venezia-Fiorentina,ITA-SERIA_A,21-22,e079b59a
10b9fa99,Ethan Ampadu,44,WAL,"LM,CM",21-034,90,0,0,0,0,0,0,1,0,46,3,3,1,0.0,0.0,0.0,1,0,24,36,66.7,0,25,1,2,0,Venezia,2021-10-18 Venezia-Fiorentina,ITA-SERIA_A,21-22,e079b59a
444c89d9,Antonio Vacca,5,ITA,CM,31-158,64,0,0,0,0,0,0,0,0,45,4,0,0,0.0,0.0,0.0,0,0,33,41,80.5,3,19,0,0,0,Venezia,2021-10-18 Venezia-Fiorentina,ITA-SERIA_A,21-22,e079b59a
22cd43d2,Domen Črnigoj,33,SVN,CM,25-334,26,0,0,0,0,0,0,0,0,16,1,1,0,0.0,0.0,0.0,1,0,7,12,58.3,0,4,0,0,0,Venezia,2021-10-18 Venezia-Fiorentina,ITA-SERIA_A,21-22,e079b59a
