id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
4e9a0555,Chris Wood,20,NZL,FW,30-340,75,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.2,1,0,13,15,86.7,0,4,0,0,0,Newcastle United,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
c596fcb0,Callum Wilson,9,ENG,FW,30-258,15,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,1,5,0,2,0,Newcastle United,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
c17bfb65,Joelinton,7,BRA,"LW,LM",26-090,90,0,0,0,0,1,0,0,0,51,4,2,1,0.1,0.1,0.2,4,1,36,42,85.7,4,23,1,0,0,Newcastle United,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
862a1c15,Miguel Almirón,24,PAR,RW,28-275,90,0,1,0,0,1,0,0,0,52,3,0,0,0.1,0.1,0.3,2,0,38,42,90.5,6,36,4,4,1,Newcastle United,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
a3b03921,Joe Willock,28,ENG,LM,23-084,84,1,0,0,0,2,1,0,0,39,3,1,0,0.1,0.1,0.0,3,0,23,29,79.3,2,22,5,4,1,Newcastle United,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
de112b84,Jacob Murphy,23,ENG,LW,27-261,6,0,0,0,0,0,0,0,0,2,0,0,1,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0,0,0,Newcastle United,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
82518f62,Bruno Guimarães,39,BRA,CM,24-361,90,0,0,0,0,2,0,0,0,81,2,1,0,0.2,0.2,0.0,0,0,56,66,84.8,8,49,2,5,0,Newcastle United,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
a2b105e0,Sean Longstaff,36,ENG,RM,25-013,90,0,0,0,0,2,1,1,0,47,1,0,1,0.4,0.4,0.1,2,0,30,39,76.9,1,23,0,1,0,Newcastle United,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
b2d31e83,Dan Burn,33,ENG,"LB,CB",30-187,90,0,0,0,0,1,0,0,0,60,1,2,0,0.1,0.1,0.0,2,0,39,52,75.0,3,30,5,0,0,Newcastle United,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
ccce7025,Sven Botman,4,NED,CB,22-304,86,0,0,0,0,0,0,0,0,58,2,2,0,0.0,0.0,0.0,0,0,47,52,90.4,4,28,0,0,0,Newcastle United,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
e514ab62,Matt Targett,13,ENG,LB,27-055,4,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,0,0,0,0,Newcastle United,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
c8aa95da,Fabian Schär,5,SUI,CB,30-327,90,0,0,0,0,1,1,0,0,59,1,1,1,0.1,0.1,0.0,0,0,35,49,71.4,3,38,0,0,0,Newcastle United,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
21512407,Kieran Trippier,2,ENG,RB,32-054,90,0,0,0,0,0,0,1,0,92,5,1,2,0.0,0.0,0.2,6,1,62,81,76.5,9,37,0,2,1,Newcastle United,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
4b40d9ca,Nick Pope,22,ENG,GK,30-207,90,0,0,0,0,0,0,1,0,27,0,0,0,0.0,0.0,0.0,0,0,17,25,68.0,0,12,0,0,0,Newcastle United,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
97220da2,Armando Broja,18,ALB,FW,21-063,72,0,0,0,0,1,1,0,0,21,0,0,1,0.1,0.1,0.1,1,0,10,11,90.9,1,13,0,3,1,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
fed7cb61,Kai Havertz,29,GER,FW,23-154,18,0,0,0,0,1,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,5,6,83.3,1,4,1,0,0,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
9674002f,Mason Mount,19,ENG,AM,23-306,72,0,0,0,0,0,0,0,0,25,2,0,0,0.0,0.0,0.0,1,0,12,18,66.7,4,18,3,2,1,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
6622454d,Hakim Ziyech,22,MAR,RW,29-238,18,0,0,0,0,0,0,0,0,18,4,0,0,0.0,0.0,0.0,1,0,10,15,66.7,3,9,0,0,0,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
c2731c10,Conor Gallagher,23,ENG,"AM,RM,WB",22-279,90,0,0,0,0,1,1,0,0,54,2,1,2,0.1,0.1,0.1,3,0,29,36,80.6,3,31,0,1,0,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
79c0821a,Mateo Kovačić,8,CRO,"CM,LM",28-190,90,0,0,0,0,1,0,0,0,56,1,3,1,0.1,0.1,0.0,1,0,37,47,78.7,7,35,3,0,0,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
45db685d,Jorginho,5,ITA,CM,30-327,90,0,0,0,0,0,0,1,0,59,4,1,1,0.0,0.0,0.0,0,0,44,52,84.6,1,28,0,1,0,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
da011f18,Lewis Hall,67,ENG,"WB,LB",18-065,72,0,0,0,0,0,0,0,0,39,1,3,0,0.0,0.0,0.1,2,0,20,29,69.0,0,23,2,5,2,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
1daec722,Marc Cucurella,32,ESP,LB,24-113,18,0,0,0,0,0,0,0,0,23,2,1,0,0.0,0.0,0.0,0,0,16,20,80.0,1,13,0,0,0,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
e97fd090,Ruben Loftus-Cheek,12,ENG,WB,26-293,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,1,2,0,0,0,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
86e7deaf,Thiago Silva,6,BRA,CB,38-051,84,0,0,0,0,1,0,0,0,81,1,2,1,0.0,0.0,0.0,0,0,66,70,94.3,5,45,0,0,0,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
da974c7b,Kalidou Koulibaly,26,SEN,CB,31-145,90,0,0,0,0,0,0,1,0,67,1,0,0,0.0,0.0,0.0,1,0,46,60,76.7,3,43,0,0,0,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
5515376c,Trevoh Chalobah,14,ENG,"CB,RB",23-130,90,0,0,0,0,0,0,0,0,71,3,1,0,0.0,0.0,0.0,0,0,58,62,93.5,2,45,3,2,1,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
53cad200,César Azpilicueta,28,ESP,"WB,CB",33-076,45,0,0,0,0,0,0,0,0,32,1,1,0,0.0,0.0,0.0,0,0,22,27,81.5,1,14,0,0,0,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
1bf33a9a,Christian Pulisic,10,USA,"AM,LW",24-055,45,0,0,0,0,0,0,0,0,22,0,0,0,0.0,0.0,0.0,0,0,11,14,78.6,0,20,3,6,2,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
33887998,Edouard Mendy,16,SEN,GK,30-256,90,0,0,0,0,0,0,0,0,49,0,0,0,0.0,0.0,0.0,0,0,35,47,74.5,0,30,0,0,0,Chelsea,2022-11-12 Newcastle Utd-Chelsea,ENG-EPL,22-23,e1b3eb1b
