id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
a7a9d95a,Paco Alcácer,17,ESP,FW,27-168,60,0,0,0,0,1,0,0,0,12,0,0,0,0.2,0.2,0.0,0,0,7,9,77.8,0,6,0,0,0,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
09a9e921,Carlos Bacca,9,COL,FW,34-159,30,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,4,1,0,0,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
5a626448,Moi Gómez,23,ESP,LW,26-236,87,0,0,0,0,3,2,0,0,54,2,0,1,0.1,0.1,0.2,1,0,33,44,75.0,5,27,3,1,1,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
808d48f3,Jaume Costa,21,ESP,LW,32-333,3,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,5,7,71.4,1,2,1,0,0,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
81f0781e,Gerard Moreno,7,ESP,RW,28-313,90,1,0,1,1,2,2,0,0,36,1,0,1,0.9,0.1,0.0,4,1,16,23,69.6,3,24,4,1,0,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
7460ca0d,Daniel Parejo,5,ESP,LM,31-304,90,0,0,0,0,0,0,1,0,93,1,1,1,0.0,0.0,0.1,4,0,68,88,77.3,20,50,3,0,0,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
6c7762c3,Juan Foyth,8,ARG,CM,23-033,87,0,0,0,0,0,0,1,0,44,1,0,0,0.0,0.0,0.0,0,0,39,41,95.1,4,22,2,4,4,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
81d5c497,Fernando Niño,34,ESP,CM,20-113,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
518f2234,Alex Baena,32,ESP,RM,19-209,60,0,0,0,0,0,0,0,0,25,3,1,0,0.0,0.0,0.0,2,0,12,20,60.0,3,8,2,1,1,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
ea6a7ab4,Dani Raba,12,ESP,RM,25-108,30,0,0,0,0,2,0,0,0,18,1,0,0,0.1,0.1,0.0,2,0,7,11,63.6,1,9,0,0,0,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
63f04c6c,Alfonso Pedraza,24,ESP,LB,24-311,59,0,0,0,0,0,0,0,0,43,1,0,2,0.0,0.0,0.0,1,0,23,35,65.7,2,16,3,1,0,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
d38fdf53,Pervis Estupiñán,15,ECU,LB,23-024,31,0,0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.0,0,0,18,23,78.3,2,16,2,1,1,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
532e1e4f,Pau Torres,4,ESP,CB,24-029,90,0,0,0,0,0,0,0,0,87,1,0,3,0.0,0.0,0.0,0,0,70,78,89.7,7,53,1,1,1,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
4bd414c1,Raúl Albiol,3,ESP,CB,35-163,90,0,0,0,0,0,0,0,0,74,1,3,1,0.0,0.0,0.0,0,0,64,70,91.4,9,40,3,0,0,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
1f079188,Rubén Peña,20,ESP,RB,29-211,90,0,0,0,0,0,0,1,0,61,3,3,1,0.0,0.0,0.0,1,0,36,54,66.7,4,31,4,3,3,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
9f0ea33f,Sergio Asenjo,1,ESP,GK,31-231,90,0,0,0,0,0,0,0,0,47,0,0,0,0.0,0.0,0.0,0,0,42,44,95.5,0,30,0,0,0,Villarreal,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
3aa4a3be,Loren Morón,16,ESP,FW,27-046,82,0,0,0,0,2,0,0,0,28,0,0,2,0.1,0.1,0.0,2,0,12,16,75.0,3,12,0,1,0,Real Betis,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
dee86451,William Carvalho,14,POR,CM,28-313,8,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,2,3,0,0,0,Real Betis,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
a6de370d,Sergio Canales,10,ESP,"LW,FW",29-364,90,0,1,0,0,2,0,0,0,83,0,3,1,0.1,0.1,0.5,8,1,65,73,89.0,8,44,2,1,1,Real Betis,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
a55d8df5,Aitor Ruibal,24,ESP,RW,24-329,81,0,0,0,0,2,1,0,0,29,1,0,0,0.1,0.1,0.0,2,0,12,19,63.2,2,17,3,6,3,Real Betis,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
5cec2487,Martín Montoya,2,ESP,"RB,RW",29-306,9,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,2,0,0,0,Real Betis,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
bece776f,Nabil Fekir,8,FRA,"AM,FW",27-211,90,1,0,0,0,5,1,0,0,50,1,1,0,0.3,0.3,0.0,10,2,30,36,83.3,4,27,3,7,3,Real Betis,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
ef322658,Andrés Guardado,18,MEX,"DM,LM",34-139,90,0,0,0,0,3,1,0,0,54,2,3,1,0.1,0.1,0.0,3,0,36,42,85.7,5,26,1,0,0,Real Betis,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
34e393f2,Guido Rodríguez,21,ARG,"DM,CM",26-308,90,0,0,0,0,0,0,0,0,49,2,3,1,0.0,0.0,0.1,1,0,28,35,80.0,2,13,1,1,1,Real Betis,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
ead61f73,Juan Miranda,33,ESP,LB,21-026,90,0,0,0,0,0,0,1,0,61,0,1,0,0.0,0.0,0.0,1,0,38,51,74.5,3,20,0,1,0,Real Betis,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
b3dc6eca,Víctor Ruiz,6,ESP,CB,32-020,77,0,0,0,0,0,0,0,0,54,1,0,0,0.0,0.0,0.0,1,0,38,50,76.0,2,31,1,0,0,Real Betis,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
b14d0c5d,Sidnei,12,BRA,CB,31-175,13,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Real Betis,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
fbd6378b,Aïssa Mandi,23,ALG,CB,29-115,90,0,0,0,0,0,0,0,0,40,2,2,2,0.0,0.0,0.0,0,0,30,31,96.8,0,19,0,0,0,Real Betis,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
df8b52a5,Emerson,22,BRA,"RB,RM",22-031,90,1,0,0,0,1,1,1,0,52,2,2,1,0.3,0.3,0.0,0,0,32,38,84.2,1,23,2,2,2,Real Betis,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
cda0b317,Joel Robles,1,ESP,GK,30-242,90,0,0,0,0,0,0,0,0,37,0,0,0,0.0,0.0,0.0,0,0,18,33,54.5,0,15,0,0,0,Real Betis,2021-02-14 Villarreal-Betis,ESP-LALIGA,20-21,e1fab963
