id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
8c3c640c,Mikel Oyarzabal,10,ESP,FW,26-134,78,0,1,0,0,0,0,1,0,14,0,0,0,0.0,0.0,0.5,1,1,9,10,90.0,2,8,1,0,0,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
686cbe7d,Umar Sadiq,19,NGA,FW,26-212,12,0,0,0,0,3,1,0,0,7,0,0,0,0.8,0.8,0.0,1,0,3,3,100.0,0,4,2,1,1,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
200e89e1,Ander Barrenetxea,7,ESP,LW,21-249,78,1,0,0,0,3,2,0,0,27,0,0,0,0.6,0.6,0.0,1,0,14,22,63.6,0,23,3,2,1,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
7f14ec2a,Arsen Zakharyan,12,RUS,LW,20-099,12,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,4,9,44.4,0,8,1,0,0,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
16aa3654,Takefusa Kubo,14,JPN,RW,22-090,78,2,0,0,0,2,2,0,0,45,0,0,1,0.4,0.4,0.0,4,1,29,37,78.4,2,33,5,1,0,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
f8405304,Mohamed Ali Cho,11,FRA,RW,19-226,12,0,0,0,0,1,0,0,0,5,0,0,0,0.3,0.3,0.0,0,0,2,3,66.7,0,5,1,2,2,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
d080ed5e,Mikel Merino,8,ESP,LM,27-072,82,0,0,0,0,1,0,0,0,60,1,0,2,0.0,0.0,0.0,3,1,40,50,80.0,6,44,1,3,2,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
068f4dec,Beñat Turrientes,22,ESP,LM,21-214,8,0,0,0,0,0,0,0,0,8,2,0,0,0.0,0.0,0.3,3,0,6,6,100.0,1,6,1,0,0,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
3ee0dd59,Martín Zubimendi,4,ESP,CM,24-212,90,1,0,0,0,1,1,0,0,77,3,3,3,0.1,0.1,0.0,3,1,56,64,87.5,6,54,1,0,0,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
c9e39d91,Brais Méndez,23,ESP,RM,26-238,90,0,2,0,0,2,0,0,0,77,2,0,1,0.1,0.1,0.6,4,2,53,66,80.3,7,58,2,2,1,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
fce2302c,Kieran Tierney,17,SCO,LB,26-089,68,0,0,0,0,0,0,0,0,49,1,0,0,0.0,0.0,0.0,0,0,36,46,78.3,2,33,4,0,0,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
228b0d9d,Aihen Muñoz,3,ESP,LB,26-017,22,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.3,1,0,10,11,90.9,0,7,0,0,0,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
9a64e67e,Robin Le Normand,24,ESP,CB,26-295,90,0,0,0,0,0,0,0,0,74,2,1,1,0.0,0.0,0.0,0,0,54,63,85.7,2,52,0,0,0,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
5c7845f6,Igor Zubeldia,5,ESP,CB,26-156,90,0,0,0,0,0,0,0,0,79,0,0,3,0.0,0.0,0.0,0,0,61,72,84.7,6,53,0,0,0,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
a4b1028a,Hamari Traoré,18,MLI,RB,31-218,90,0,1,0,0,2,0,0,0,83,4,2,0,0.0,0.0,0.1,2,1,61,70,87.1,7,46,2,1,1,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
374ee424,Álex Remiro,1,ESP,GK,28-162,90,0,0,0,0,0,0,0,0,54,0,0,0,0.0,0.0,0.0,0,0,40,51,78.4,0,35,0,0,0,Real Sociedad,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
d49f3e6b,Lucas Boyé,7,ARG,FW,27-186,90,1,0,0,0,3,2,1,0,40,0,0,1,0.1,0.1,0.0,5,2,17,22,77.3,3,16,0,7,4,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
a96103b2,Bryan Zaragoza,26,ESP,"LW,LM",22-130,90,1,0,0,0,3,3,1,0,29,0,0,0,0.6,0.6,0.1,5,0,8,18,44.4,0,22,6,10,5,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
01da7812,Myrto Uzuni,11,ALB,"RW,FW",28-094,90,0,0,0,0,1,0,0,0,19,2,0,0,0.0,0.0,0.1,2,0,9,15,60.0,1,9,0,0,0,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
8d47bb39,Carlos Neva,15,ESP,"LM,LB",27-082,90,0,0,0,0,0,0,0,0,44,0,1,0,0.0,0.0,0.0,0,0,25,40,62.5,2,21,2,0,0,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
ac454a4f,Gerard Gumbau,23,ESP,CM,28-258,78,0,0,0,0,1,0,0,0,34,1,0,1,0.0,0.0,0.0,0,0,17,29,58.6,2,15,0,1,1,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
bdc74a8f,Gonzalo Villar,24,ESP,CM,25-163,12,0,1,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.4,1,1,14,14,100.0,4,11,0,1,0,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
1f423a54,Sergio Ruiz,20,ESP,CM,28-260,65,0,0,0,0,0,0,1,0,18,0,0,0,0.0,0.0,0.0,0,0,9,13,69.2,0,7,0,0,0,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
379652be,Óscar Melendo,21,ESP,CM,26-010,25,0,0,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.0,0,0,19,20,95.0,0,13,0,0,0,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
78841da9,José Callejón,9,ESP,RM,36-203,65,0,0,0,0,0,0,0,0,31,1,0,0,0.0,0.0,0.0,0,0,19,27,70.4,2,13,0,0,0,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
c77a8043,Antonio Puertas,10,ESP,RM,31-193,25,0,1,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,0,0,7,9,77.8,1,10,1,2,1,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
174f09a6,Ignasi Miquel,14,ESP,CB,30-339,90,0,0,0,0,0,0,1,0,44,2,1,1,0.0,0.0,0.0,1,0,27,37,73.0,1,15,0,0,0,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
56cafd0a,Miguel Ángel Rubio,4,ESP,CB,25-175,64,0,0,0,0,0,0,0,0,35,0,0,1,0.0,0.0,0.0,0,0,26,33,78.8,0,14,0,0,0,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
cb1e5807,Adri Bosch,32,ESP,CB,22-085,26,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,0,0,11,14,78.6,1,8,1,0,0,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
3624ce4c,Víctor Díaz,16,ESP,CB,35-082,65,0,0,0,0,0,0,1,0,36,2,1,1,0.0,0.0,0.0,0,0,15,26,57.7,1,12,0,0,0,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
fce521d7,Ricard Sánchez,12,ESP,RB,23-192,25,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,0,0,10,15,66.7,1,6,0,0,0,Granada,2023-09-02 Real Sociedad-Granada,ESP-LALIGA,23-24,e1fd4178
