id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
a96103b2,Bryan Zaragoza,26,ESP,FW,22-123,71,1,0,0,0,1,1,0,0,17,0,0,0,0.1,0.1,0.0,0,0,4,12,33.3,1,15,4,2,1,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
0cb29e91,Njegoš Petrović,18,SRB,FW,24-039,19,0,0,0,0,0,0,0,0,5,1,0,1,0.0,0.0,0.0,0,0,2,2,100.0,1,2,0,0,0,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
01da7812,Myrto Uzuni,11,ALB,FW,28-087,89,1,0,1,1,1,0,0,0,18,0,0,0,0.8,0.0,0.0,2,0,9,10,90.0,2,7,0,3,2,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
5496cc91,Alberto Perea,22,ESP,FW,32-250,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,1,0,1,2,50.0,0,2,0,1,0,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
78841da9,José Callejón,9,ESP,LM,36-196,82,0,1,0,0,1,1,0,0,32,0,0,0,0.2,0.2,0.3,2,1,18,23,78.3,2,18,1,3,1,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
452c3055,Alberto Soro,7,ESP,LM,24-170,8,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
1f423a54,Sergio Ruiz,20,ESP,CM,28-253,71,0,0,0,0,0,0,1,0,35,1,0,0,0.0,0.0,0.0,1,0,23,30,76.7,2,23,1,3,1,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
3624ce4c,Víctor Díaz,16,ESP,CM,35-075,19,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
ac454a4f,Gerard Gumbau,23,ESP,CM,28-251,90,0,1,0,0,3,0,0,0,56,1,0,1,0.1,0.1,0.2,5,2,33,47,70.2,6,29,0,3,1,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
379652be,Óscar Melendo,21,ESP,RM,26-003,82,0,0,0,0,0,0,1,0,33,0,0,0,0.0,0.0,0.0,1,0,25,30,83.3,3,30,2,3,1,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
e447352c,Famara Diedhiou,19,SEN,RM,30-254,8,0,0,0,0,1,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,1,3,33.3,0,4,0,0,0,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
8d47bb39,Carlos Neva,15,ESP,LB,27-075,90,0,0,0,0,0,0,0,0,49,2,0,0,0.0,0.0,0.0,3,1,37,46,80.4,1,25,1,0,0,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
174f09a6,Ignasi Miquel,14,ESP,CB,30-332,90,0,0,0,0,1,0,0,0,65,1,2,0,0.0,0.0,0.0,0,0,46,52,88.5,2,40,0,0,0,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
56cafd0a,Miguel Ángel Rubio,4,ESP,CB,25-168,90,1,0,0,0,1,1,0,0,63,1,3,0,0.2,0.2,0.0,0,0,43,53,81.1,1,30,1,0,0,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
fce521d7,Ricard Sánchez,12,ESP,RB,23-185,90,0,0,0,0,0,0,0,0,49,0,1,0,0.0,0.0,0.0,0,0,37,45,82.2,4,22,2,1,0,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
6fb59070,Raúl Fernández,1,ESP,GK,35-166,90,0,0,0,0,0,0,0,0,42,0,0,0,0.0,0.0,0.0,0,0,23,39,59.0,0,18,0,0,0,Granada,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
d1b060e2,Abdón Prats,9,ESP,FW,30-262,56,1,0,0,0,1,1,0,0,17,0,1,0,0.6,0.6,0.0,0,0,5,13,38.5,2,7,1,0,0,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
e7af9060,Cyle Larin,17,CAN,FW,28-131,34,0,0,0,0,4,2,1,0,13,0,0,1,0.4,0.4,0.0,1,0,5,6,83.3,0,7,1,0,0,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
0cadc46d,Vedat Muriqi,7,KVX,FW,29-124,90,0,0,0,1,1,1,0,0,29,0,0,0,0.9,0.1,0.1,2,1,15,21,71.4,2,13,1,0,0,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
070a3904,Sergi Darder,10,ESP,CM,29-247,90,0,0,0,0,0,0,0,0,41,2,0,0,0.0,0.0,0.4,3,1,22,34,64.7,5,30,3,4,2,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
11fd2b75,Omar Mascarell,5,EQG,CM,30-205,71,0,0,0,0,0,0,0,0,43,0,0,1,0.0,0.0,0.0,0,0,32,40,80.0,4,16,2,1,1,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
38b0cf42,Javier Llabrés,34,ESP,CM,20-349,19,0,0,0,0,0,0,1,0,5,0,0,0,0.0,0.0,0.0,1,0,4,4,100.0,1,2,0,0,0,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
70f8e0bd,Dani Rodríguez,14,ESP,CM,35-081,71,0,0,0,0,0,0,1,0,31,0,0,1,0.0,0.0,0.0,2,0,24,27,88.9,4,14,2,0,0,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
f3b1d9a2,Amath,23,SEN,CM,27-041,19,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,3,3,100.0,1,3,0,3,0,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
8e088e04,Toni Lato,3,ESP,LB,25-278,76,0,1,0,0,0,0,0,0,39,2,0,2,0.0,0.0,0.6,2,1,24,30,80.0,0,16,0,0,0,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
808d48f3,Jaume Costa,11,ESP,LB,35-161,14,0,0,0,0,0,0,0,0,14,0,1,0,0.0,0.0,0.0,1,0,7,13,53.8,1,4,0,0,0,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
0f26ffd7,Copete,6,ESP,CB,23-320,90,0,0,0,0,0,0,1,0,46,2,1,1,0.0,0.0,0.0,0,0,29,38,76.3,6,20,1,0,0,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
f2c6ac01,Martin Valjent,24,SVK,CB,27-258,90,0,0,0,0,0,0,0,0,34,1,1,1,0.0,0.0,0.0,0,0,22,26,84.6,2,17,1,0,0,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
1fc474ae,Giovanni González,20,URU,CB,28-340,56,0,0,0,0,0,0,1,0,24,0,0,0,0.0,0.0,0.0,0,0,18,23,78.3,2,9,0,0,0,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
76c2a023,Samu Costa,12,POR,CB,22-272,34,1,0,0,0,2,1,0,0,32,1,0,1,0.3,0.3,0.1,2,0,20,25,80.0,3,10,1,0,0,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
5db04597,Pablo Maffeo,15,ESP,RB,26-045,90,0,0,0,0,1,0,1,0,39,1,0,1,0.4,0.4,0.1,0,0,21,33,63.6,1,23,5,0,0,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
58ad9383,Predrag Rajković,1,SRB,GK,27-299,90,0,0,0,0,0,0,1,0,25,0,0,0,0.0,0.0,0.0,0,0,14,22,63.6,0,11,0,0,0,Mallorca,2023-08-26 Granada-Mallorca,ESP-LALIGA,23-24,e249c708
