id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
ae86d473,Marcos André,16,BRA,FW,23-349,90,0,0,0,0,1,0,0,0,28,1,0,1,0.0,0.0,0.0,2,0,9,15,60.0,2,13,1,3,2,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
32974271,Sergi Guardiola,7,ESP,FW,29-127,64,0,0,0,1,1,0,0,0,22,0,0,1,0.8,0.0,0.1,1,0,10,15,66.7,1,12,3,1,1,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
379dc075,Shon Weissman,9,ISR,FW,24-232,26,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
636eae97,Toni Villa,19,ESP,LM,25-270,77,1,0,0,0,1,1,0,0,28,2,0,0,0.1,0.1,0.0,3,0,12,19,63.2,3,17,0,1,0,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
ba5a9545,Pablo Hervías,11,ESP,"RM,LM",27-209,13,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,1,0,5,5,100.0,1,5,1,0,0,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
efecd633,Fede San Emeterio,20,ESP,CM,23-201,89,0,0,0,0,1,0,1,0,39,0,0,0,0.0,0.0,0.0,1,0,26,35,74.3,1,10,0,0,0,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
ccaa5728,Waldo Rubio,23,ESP,CM,25-047,1,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,1,0,4,6,66.7,1,2,0,1,0,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
237a3851,Kike Pérez,8,ESP,CM,23-232,90,0,0,0,0,0,0,0,0,58,1,2,3,0.0,0.0,0.0,2,1,35,45,77.8,7,21,1,1,1,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
c90977db,Fabián Orellana,12,CHI,RM,34-250,64,0,0,0,0,2,1,0,0,35,1,0,1,0.1,0.1,0.1,3,0,18,28,64.3,0,21,1,2,2,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
7c388b20,Óscar Plano,10,ESP,"RM,LM",29-235,26,0,0,0,0,0,0,0,0,6,1,0,0,0.0,0.0,0.0,0,0,2,3,66.7,1,3,0,0,0,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
e29d1111,Nacho,22,ESP,LB,31-210,90,0,1,0,0,1,0,0,0,61,3,0,0,0.0,0.0,0.1,1,1,36,54,66.7,2,23,3,1,0,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
60359288,Javi Sánchez,5,ESP,CB,23-203,90,0,0,0,0,0,0,0,0,54,3,1,0,0.0,0.0,0.0,1,0,30,46,65.2,1,31,1,0,0,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
f6f6b6e8,Jawad El Yamiq,15,MAR,CB,28-217,90,0,0,0,0,1,0,1,0,59,0,5,1,0.0,0.0,0.0,0,0,34,51,66.7,1,19,0,0,0,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
b7c04927,Luis Pérez,2,ESP,RB,25-242,90,0,0,0,0,0,0,0,0,46,3,0,2,0.0,0.0,0.0,0,0,29,38,76.3,3,9,0,0,0,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
ba3ca78f,Roberto,13,ESP,GK,34-236,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,13,30,43.3,0,14,0,0,0,Valladolid,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
5343eb4e,Yoshinori Mutō,12,JPN,"FW,AM",28-080,75,0,0,0,0,2,1,0,0,27,0,0,0,0.2,0.2,0.0,3,1,9,16,56.3,2,11,2,2,1,Eibar,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
283c7121,Edu Expósito,10,ESP,AM,24-063,15,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,3,1,1,0,Eibar,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
f1bed920,Kévin Rodrigues,24,POR,"LW,RW",26-212,90,1,0,0,0,1,1,0,0,33,0,0,3,0.4,0.4,0.1,2,0,14,27,51.9,2,15,0,3,3,Eibar,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
aa7da569,Eñaut Mendía,28,ESP,RW,21-100,61,0,0,0,0,1,0,1,0,17,2,0,1,0.0,0.0,0.0,0,0,4,11,36.4,1,8,0,0,0,Eibar,2020-10-03 Valladolid-Eibar,ESP-LALIGA,20-21,e50b93e5
