id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
215f3907,Mikkel Damsgaard,38,DEN,FW,20-187,90,0,1,0,0,0,0,0,0,34,0,0,2,0.0,0.0,0.1,3,2,17,26,65.4,4,15,2,5,3,Sampdoria,2021-01-06 Sampdoria-Inter,ITA-SERIA_A,20-21,e5caed3a
509a4ccb,Keita Baldé,10,SEN,FW,25-304,89,1,0,0,0,2,1,1,0,16,0,0,0,0.1,0.1,0.0,0,0,10,11,90.9,2,14,4,2,1,Sampdoria,2021-01-06 Sampdoria-Inter,ITA-SERIA_A,20-21,e5caed3a
822a7761,Antonino La Gumina,20,ITA,FW,24-306,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Sampdoria,2021-01-06 Sampdoria-Inter,ITA-SERIA_A,20-21,e5caed3a
1ea5f91c,Jakub Jankto,14,CZE,LM,24-353,74,0,0,0,0,2,1,0,0,37,0,2,0,0.1,0.1,0.1,3,0,20,29,69.0,2,20,2,0,0,Sampdoria,2021-01-06 Sampdoria-Inter,ITA-SERIA_A,20-21,e5caed3a
7d3cbc67,Mehdi Léris,26,ALG,LM,22-228,16,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,0,2,0.0,0,1,0,0,0,Sampdoria,2021-01-06 Sampdoria-Inter,ITA-SERIA_A,20-21,e5caed3a
d6f88a1d,Adrien Silva,5,POR,CM,31-297,74,0,0,0,0,1,0,0,0,40,2,1,3,0.0,0.0,0.0,0,0,28,30,93.3,0,21,0,1,0,Sampdoria,2021-01-06 Sampdoria-Inter,ITA-SERIA_A,20-21,e5caed3a
a69cc629,Kristoffer Askildsen,16,NOR,CM,19-363,16,0,0,0,0,0,0,1,0,5,0,1,1,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Sampdoria,2021-01-06 Sampdoria-Inter,ITA-SERIA_A,20-21,e5caed3a
d1b49282,Morten Thorsby,18,NOR,CM,24-246,90,0,0,0,0,0,0,1,0,38,2,0,6,0.0,0.0,0.0,1,0,21,28,75.0,0,13,0,0,0,Sampdoria,2021-01-06 Sampdoria-Inter,ITA-SERIA_A,20-21,e5caed3a
356c9002,Antonio Candreva,87,ITA,RM,33-313,90,1,0,1,1,2,0,0,0,45,3,0,2,1.0,0.2,0.2,5,0,23,32,71.9,1,14,2,1,0,Sampdoria,2021-01-06 Sampdoria-Inter,ITA-SERIA_A,20-21,e5caed3a
3cd3b384,Tommaso Augello,3,ITA,LB,26-129,90,0,0,0,0,0,0,0,0,52,1,3,1,0.0,0.0,0.0,2,0,35,46,76.1,2,24,2,1,0,Sampdoria,2021-01-06 Sampdoria-Inter,ITA-SERIA_A,20-21,e5caed3a
8b95acda,Omar Colley,15,GAM,CB,28-074,90,0,0,0,0,0,0,0,0,42,0,1,1,0.0,0.0,0.0,0,0,24,31,77.4,0,21,0,0,0,Sampdoria,2021-01-06 Sampdoria-Inter,ITA-SERIA_A,20-21,e5caed3a
8cc29864,Lorenzo Tonelli,21,ITA,CB,30-355,67,0,0,0,0,2,0,0,0,30,1,3,0,0.1,0.1,0.0,1,1,15,21,71.4,1,10,0,0,0,Sampdoria,2021-01-06 Sampdoria-Inter,ITA-SERIA_A,20-21,e5caed3a
61b3978f,Bartosz Bereszyński,24,POL,RB,28-178,23,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,4,7,57.1,0,1,0,0,0,Sampdoria,2021-01-06 Sampdoria-Inter,ITA-SERIA_A,20-21,e5caed3a
