id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
0375723e,Simone Verdi,9,ITA,FW,25-242,90,0,0,0,0,4,0,0,0,60,0,2,1,0.3,0.3,0.3,4,0,32,50,64.0,2,38,6,3,3,Bologna,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
23f9e9d3,Felipe Avenatti,19,URU,FW,24-319,73,0,0,0,0,1,1,1,0,34,2,0,1,0.2,0.2,0.0,1,0,14,24,58.3,0,22,0,1,0,Bologna,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
d7d32194,Mattia Destro,10,ITA,FW,26-356,17,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,5,7,71.4,0,5,0,0,0,Bologna,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
de0f152c,Adam Masina,25,MAR,"WB,LW",24-068,90,0,0,0,0,0,0,0,0,47,2,1,0,0.0,0.0,0.0,3,0,30,39,76.9,2,19,0,1,1,Bologna,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
1fca9171,Federico Di Francesco,14,ITA,"WB,RW",23-270,59,0,0,0,0,2,0,0,0,20,4,2,0,0.1,0.1,0.0,0,0,6,10,60.0,1,11,3,2,0,Bologna,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
77cf6852,Emil Krafth,4,SWE,WB,23-221,31,0,0,0,0,0,0,0,0,20,1,3,0,0.0,0.0,0.0,1,0,8,14,57.1,0,12,0,0,0,Bologna,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
384dd218,Godfred Donsah,77,GHA,CM,21-277,90,0,0,0,0,2,0,0,0,41,0,2,2,0.0,0.0,0.0,1,0,19,29,65.5,3,26,3,2,2,Bologna,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
756959aa,Blerim Džemaili,31,SUI,"AM,CM",31-333,27,0,0,0,0,0,0,0,0,6,0,1,0,0.0,0.0,0.0,0,0,1,3,33.3,0,5,0,1,0,Bologna,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
788b31e2,Ádám Nagy,8,HUN,AM,22-267,63,0,0,0,0,0,0,0,0,30,5,0,1,0.0,0.0,0.0,2,0,18,20,90.0,1,21,0,1,0,Bologna,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
4611e028,Erick Pulgar,5,CHI,"CM,DM",24-055,90,0,0,0,0,0,0,1,0,52,5,1,2,0.0,0.0,0.1,2,0,33,41,80.5,2,29,0,0,0,Bologna,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
27f0ddef,Filip Helander,18,SWE,CB,24-323,90,0,0,0,0,1,0,0,0,66,2,3,4,0.1,0.1,0.0,0,0,31,47,66.0,5,33,2,1,1,Bologna,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
09899de8,Simone Romagnoli,26,ITA,CB,28-030,90,0,0,0,0,0,0,1,0,50,1,5,1,0.0,0.0,0.0,2,0,24,37,64.9,2,30,2,0,0,Bologna,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
952a03fe,Sebastien De Maio,6,FRA,CB,31-006,90,0,0,0,0,0,0,0,0,42,2,1,1,0.0,0.0,0.0,2,0,18,29,62.1,3,19,1,0,0,Bologna,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
30223b33,Antonio Mirante,83,ITA,GK,34-246,90,0,0,0,0,0,0,0,0,46,0,0,0,0.0,0.0,0.0,0,0,27,40,67.5,0,17,0,0,0,Bologna,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
03f946ed,Andrea Petagna,29,ITA,FW,22-254,58,0,0,0,0,0,0,0,0,36,0,1,1,0.0,0.0,0.2,4,0,20,28,71.4,2,27,5,0,0,Atalanta,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
c693347d,Andreas Cornelius,9,DEN,"FW,AM",24-360,32,0,0,0,0,2,1,0,0,10,1,0,0,0.1,0.1,0.0,1,0,3,6,50.0,1,4,0,0,0,Atalanta,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
6e4df551,Papu Gómez,10,ARG,AM,30-024,61,0,0,0,0,2,0,0,0,34,1,1,0,0.1,0.1,0.0,3,0,15,26,57.7,3,27,6,2,1,Atalanta,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
68252d6d,Josip Iličić,72,SVN,FW,30-041,29,0,1,0,0,4,2,0,0,36,0,0,2,0.2,0.2,0.2,7,1,22,29,75.9,9,25,4,2,1,Atalanta,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
16657b95,Bryan Cristante,4,ITA,AM,23-008,79,0,0,0,0,4,0,0,0,57,3,1,3,0.2,0.2,0.1,4,0,31,44,70.5,7,33,1,2,2,Atalanta,2018-03-11 Bologna-Atalanta,ITA-SERIA_A,17-18,e6113701
