id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
45963054,Jamie Vardy,9,ENG,FW,31-023,90,1,0,0,0,2,1,0,0,26,1,0,1,0.5,0.5,0.1,2,0,8,11,72.7,0,12,2,1,0,Leicester City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
c92e1a31,Kelechi Iheanacho,8,NGA,FW,21-123,67,0,1,0,0,2,1,0,0,35,0,1,0,0.5,0.5,0.5,2,1,26,29,89.7,2,18,1,0,0,Leicester City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
4468ec10,Demarai Gray,7,JAM,"LM,FW",21-220,23,0,0,0,0,2,0,0,0,16,0,0,0,0.2,0.2,0.0,1,0,7,11,63.6,0,10,0,2,1,Leicester City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
b827d5b3,Marc Albrighton,11,ENG,"LM,RB,RM",28-077,90,0,0,0,0,2,1,0,0,64,1,1,2,0.1,0.1,0.1,4,0,32,55,58.2,6,37,2,2,2,Leicester City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
d6f88a1d,Adrien Silva,14,POR,CM,28-325,67,0,0,0,0,0,0,0,0,48,2,1,1,0.0,0.0,0.0,0,0,38,44,86.4,5,21,2,1,1,Leicester City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
ebd0a048,Matty James,22,ENG,CM,26-196,23,0,0,0,0,0,0,0,0,27,1,0,2,0.0,0.0,0.0,1,0,18,24,75.0,1,9,1,0,0,Leicester City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
6b47c5db,Wilfred Ndidi,25,NGA,CM,21-049,90,0,0,0,0,1,0,0,0,89,4,2,1,0.0,0.0,0.0,2,0,58,77,75.3,7,47,1,0,0,Leicester City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
d07e3b41,Fousseni Diabaté,33,MLI,"RM,FW",22-108,90,0,0,0,0,2,1,1,0,49,0,1,1,0.2,0.2,0.0,4,0,24,34,70.6,1,29,1,5,2,Leicester City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
a67a09fb,Christian Fuchs,28,AUT,LB,31-302,90,0,0,0,0,0,0,0,0,98,2,2,0,0.0,0.0,0.1,4,0,66,87,75.9,7,41,1,0,0,Leicester City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
d8931174,Harry Maguire,15,ENG,CB,24-335,90,0,0,0,0,2,0,0,0,80,2,2,1,0.2,0.2,0.1,3,1,59,71,83.1,15,41,2,2,1,Leicester City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
6fd8a334,Aleksandar Dragović,16,AUT,CB,26-334,90,0,0,0,0,0,0,0,0,64,3,0,1,0.0,0.0,0.0,0,0,51,55,92.7,4,35,1,0,0,Leicester City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
3201b03d,Danny Simpson,2,ENG,RB,31-030,79,0,0,0,0,0,0,0,0,62,0,1,2,0.0,0.0,0.0,0,0,49,57,86.0,6,29,0,0,0,Leicester City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
68796d61,Shinji Okazaki,20,JPN,FW,31-293,11,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,0,0,Leicester City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
53af52f3,Kasper Schmeichel,1,DEN,GK,31-090,90,0,0,0,0,0,0,0,0,26,0,0,0,0.0,0.0,0.0,0,0,20,26,76.9,1,14,0,0,0,Leicester City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
da052c14,Jordan Ayew,18,GHA,FW,26-145,89,0,0,0,0,0,0,0,0,43,4,1,5,0.0,0.0,0.0,0,0,21,24,87.5,2,22,1,4,2,Swansea City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
1d387eee,Wayne Routledge,15,ENG,FW,33-027,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0.0,0,2,0,0,0,Swansea City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
987718f5,Sam Clucas,17,ENG,LM,27-131,90,0,0,0,0,2,0,0,0,23,0,0,2,0.1,0.1,0.0,0,0,6,13,46.2,0,9,1,0,0,Swansea City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
1d8c99b0,Ki Sung-yueng,4,KOR,CM,29-010,90,0,1,0,0,0,0,0,0,44,0,2,0,0.0,0.0,0.2,3,2,31,37,83.8,2,19,2,0,0,Swansea City,2018-02-03 Leicester City-Swansea City,ENG-EPL,17-18,e85b8a76
