id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d512db65,Mickaël Le Bihan,10,FRA,FW,29-008,85,1,0,1,1,3,1,0,0,25,0,0,0,1.2,0.4,0.0,1,0,16,18,88.9,0,10,0,2,1,Nice,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
46d50339,Christophe Jallet,24,FRA,RB,35-205,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,5,5,100.0,0,3,0,0,0,Nice,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
23c63b7f,Ignatius Ganago,14,CMR,LW,20-097,90,0,0,0,0,0,0,0,0,38,0,0,1,0.0,0.0,0.0,1,0,24,32,75.0,1,27,2,2,0,Nice,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
2b16cb1a,Allan Saint-Maximin,7,FRA,"RW,FW",22-073,90,0,0,0,0,1,0,0,0,48,0,0,0,0.0,0.0,0.3,2,1,33,39,84.6,7,34,6,8,5,Nice,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
0557ff4f,Danilo Barbosa,21,BRA,LM,23-085,69,0,0,0,0,1,0,0,0,22,0,1,0,0.0,0.0,0.0,3,0,14,17,82.4,3,16,0,3,1,Nice,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
22bfb57e,Jean-Victor Makengo,27,FRA,LM,20-346,21,0,0,0,0,0,0,1,0,14,0,0,0,0.0,0.0,0.0,0,0,10,14,71.4,0,8,1,0,0,Nice,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
8da74c05,Adrien Tameze,5,CMR,CM,25-109,81,0,0,0,0,0,0,1,0,61,3,1,2,0.0,0.0,0.0,2,0,46,48,95.8,5,29,0,1,0,Nice,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
0984c5d5,Rémi Walter,6,FRA,CM,24-028,9,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,1,0,0,0,Nice,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
f5044e54,Pierre Lees-Melou,8,FRA,RM,25-364,90,0,0,0,0,1,0,0,0,78,2,3,0,0.1,0.1,0.0,1,0,59,70,84.3,5,38,2,1,1,Nice,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
4315f30d,Malang Sarr,23,FRA,LB,20-121,90,0,0,0,0,1,0,0,0,75,0,1,1,0.0,0.0,0.0,0,0,64,71,90.1,2,41,0,0,0,Nice,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
fd2bc67d,Dante,31,BRA,CB,35-218,90,0,0,0,0,0,0,0,0,114,2,1,1,0.0,0.0,0.0,0,0,96,106,90.6,0,78,0,0,0,Nice,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
3681cfff,Christophe Hérelle,29,MTQ,CB,26-275,90,0,0,0,0,0,0,0,0,118,1,4,1,0.0,0.0,0.0,1,0,105,107,98.1,2,68,0,0,0,Nice,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
6a827d8e,Youcef Atal,20,ALG,"RB,RW",23-007,90,0,0,0,0,0,0,0,0,106,3,4,3,0.0,0.0,0.1,1,0,73,79,92.4,4,63,3,12,5,Nice,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
8a2248b4,Walter Benítez,40,ARG,GK,26-125,90,0,0,0,0,0,0,0,0,27,0,0,0,0.0,0.0,0.0,0,0,21,24,87.5,0,6,0,0,0,Nice,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
66116290,Radamel Falcao,9,COL,FW,33-103,86,0,0,0,0,2,0,0,0,30,1,0,0,0.3,0.3,0.1,2,0,18,24,75.0,2,18,0,1,1,Monaco,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
8b529245,Carlos Vinícius,11,BRA,FW,24-060,4,0,0,0,0,0,0,0,0,6,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,0,3,0,2,0,Monaco,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
3ef0fa48,Gelson Martins,29,POR,LW,24-013,71,0,0,0,0,1,1,0,0,30,1,0,1,0.4,0.4,0.1,1,0,13,20,65.0,2,22,4,4,2,Monaco,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
7c2965bb,Rony Lopes,7,POR,LW,23-147,19,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,2,3,1,0,0,Monaco,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
4c5b714f,Djibril Sidibé,19,FRA,RW,26-299,90,0,0,0,0,2,0,0,0,58,0,1,1,0.1,0.1,0.2,4,0,43,51,84.3,5,24,2,1,1,Monaco,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
33508c78,Cesc Fàbregas,44,ESP,AM,32-020,72,0,0,0,0,5,3,0,0,47,1,1,1,0.8,0.8,0.0,2,0,31,37,83.8,3,13,0,0,0,Monaco,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
48b28bfd,Jean-Eudes Aholou,4,CIV,AM,25-065,18,0,0,0,0,0,0,0,0,26,1,0,0,0.0,0.0,0.0,0,0,22,23,95.7,1,12,0,0,0,Monaco,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
d6f88a1d,Adrien Silva,15,POR,DM,30-070,90,0,0,0,0,0,0,0,0,66,4,0,1,0.0,0.0,0.0,2,0,55,59,93.2,7,36,0,4,3,Monaco,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
3708e9fa,Aleksandr Golovin,17,RUS,DM,22-359,90,0,0,0,0,0,0,1,0,55,3,2,2,0.0,0.0,0.1,5,0,35,44,79.5,7,26,0,2,1,Monaco,2019-05-24 Nice-Monaco,FRA-L1,18-19,e8793a81
