id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
fa031b34,Richarlison,7,BRA,"FW,LM",22-296,90,0,0,0,0,4,0,0,0,43,2,1,2,0.6,0.6,0.4,2,0,15,26,57.7,1,17,3,4,4,Everton,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
59e6e5bf,Dominic Calvert-Lewin,9,ENG,FW,22-351,90,1,0,0,0,4,3,1,0,42,1,0,0,0.7,0.7,0.1,3,0,17,23,73.9,0,24,4,1,1,Everton,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
76dd1480,Gylfi Sigurðsson,10,ISL,"LM,CM",30-175,90,0,0,0,0,4,1,0,0,45,1,2,2,0.6,0.6,0.0,4,0,20,37,54.1,4,13,1,0,0,Everton,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
1961b2aa,André Gomes,21,POR,CM,26-215,81,0,0,0,0,1,0,0,0,50,1,1,2,0.1,0.1,0.0,2,0,32,41,78.0,6,24,0,3,3,Everton,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
3d50bcdb,Moise Kean,27,ITA,FW,20-002,9,0,0,0,0,1,1,0,0,3,0,1,0,0.0,0.0,0.0,0,0,2,2,100.0,0,1,0,0,0,Everton,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
9228b07c,Tom Davies,26,ENG,CM,21-245,90,0,0,0,0,1,0,1,0,47,1,2,2,0.0,0.0,0.1,5,0,29,36,80.6,9,19,1,1,1,Everton,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
1ecb65be,Theo Walcott,11,ENG,RM,30-351,62,0,0,0,0,0,0,0,0,24,0,1,0,0.0,0.0,0.0,0,0,9,15,60.0,1,15,0,2,1,Everton,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
ab4b3e35,Bernard,20,BRA,RM,27-175,28,0,0,0,0,0,0,0,0,15,0,0,1,0.0,0.0,0.0,1,0,9,12,75.0,1,9,0,1,0,Everton,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
b18095b6,Leighton Baines,3,ENG,LB,35-081,90,0,0,0,0,0,0,0,0,63,2,2,1,0.0,0.0,0.6,3,0,36,50,72.0,2,21,3,2,1,Everton,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
d0042ab9,Mason Holgate,2,ENG,CB,23-131,90,0,0,0,0,0,0,0,0,35,2,0,0,0.0,0.0,0.0,0,0,24,28,85.7,1,15,0,1,1,Everton,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
c5b7c315,Michael Keane,5,ENG,CB,27-050,90,0,0,0,0,0,0,0,0,44,0,1,1,0.0,0.0,0.4,2,0,25,35,71.4,3,18,0,0,0,Everton,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
0420d84f,Séamus Coleman,23,IRL,RB,31-142,27,0,0,0,0,0,0,0,0,19,0,0,1,0.0,0.0,0.0,0,0,7,14,50.0,1,6,0,0,0,Everton,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
4c5b714f,Djibril Sidibé,19,FRA,RB,27-216,63,0,0,0,0,1,0,1,0,47,4,0,2,0.0,0.0,0.0,0,0,23,35,65.7,1,17,4,0,0,Everton,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
4806ec67,Jordan Pickford,1,ENG,GK,25-360,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,21,30,70.0,0,15,0,0,0,Everton,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
8b788c01,Anthony Martial,9,FRA,"FW,LW",24-087,88,0,0,0,0,2,0,0,0,28,0,0,0,0.1,0.1,0.0,1,0,14,21,66.7,2,16,3,4,3,Manchester United,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
5e74d6c8,Brandon Williams,53,ENG,LW,19-180,2,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,1,1,0,0,0,Manchester United,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
58eee997,Mason Greenwood,26,ENG,FW,18-152,71,0,0,0,0,1,0,0,0,25,1,0,0,0.1,0.1,0.0,2,0,19,21,90.5,5,17,1,2,1,Manchester United,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
03622183,Odion Ighalo,25,NGA,FW,30-259,19,0,0,0,0,1,1,0,0,4,0,0,1,0.7,0.7,0.0,1,0,1,1,100.0,0,1,0,0,0,Manchester United,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
507c7bdf,Bruno Fernandes,18,POR,AM,25-175,90,1,0,0,0,6,3,0,0,87,4,0,1,0.2,0.2,0.0,6,0,44,70,62.9,5,43,5,2,2,Manchester United,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
b853e0ad,Fred,17,BRA,"LM,DM",26-362,90,0,0,0,0,1,0,1,0,61,1,0,2,0.0,0.0,0.1,2,0,38,51,74.5,6,38,1,3,3,Manchester United,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
d93c2511,Scott McTominay,39,SCO,RM,23-084,71,0,0,0,0,0,0,0,0,35,0,0,1,0.0,0.0,0.0,2,0,22,25,88.0,1,18,1,5,4,Manchester United,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
29733c72,Juan Mata,8,ESP,RW,31-308,19,0,0,0,0,0,0,0,0,13,0,0,0,0.0,0.0,0.1,1,0,6,12,50.0,3,4,0,0,0,Manchester United,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
eb7822d7,Nemanja Matić,31,SRB,DM,31-213,90,0,1,0,0,2,1,0,0,69,4,4,2,0.1,0.1,0.1,2,1,43,52,82.7,8,29,1,0,0,Manchester United,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
9c94165b,Luke Shaw,23,ENG,LB,24-233,90,0,0,0,0,1,0,1,0,72,3,0,1,0.0,0.0,0.1,3,0,53,66,80.3,9,35,2,1,0,Manchester United,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
d8931174,Harry Maguire,5,ENG,CB,26-362,90,0,0,0,0,0,0,1,0,67,0,2,3,0.0,0.0,0.0,2,0,35,45,77.8,3,29,2,0,0,Manchester United,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
f5deef4c,Victor Lindelöf,2,SWE,CB,25-228,90,0,0,0,0,0,0,1,0,54,2,1,1,0.0,0.0,0.0,0,0,35,44,79.5,3,32,0,0,0,Manchester United,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
9e525177,Aaron Wan-Bissaka,29,ENG,RB,22-096,90,0,0,0,0,0,0,0,0,59,1,0,0,0.0,0.0,0.0,2,0,39,52,75.0,4,29,1,0,0,Manchester United,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
7ba6d84e,David de Gea,1,ESP,GK,29-115,90,0,0,0,0,0,0,0,0,23,0,0,0,0.0,0.0,0.0,0,0,9,20,45.0,0,7,0,0,0,Manchester United,2020-03-01 Everton-Manchester Utd,ENG-EPL,19-20,ea2c2272
