id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
d3de9af0,Duván Zapata,91,COL,FW,26-232,90,1,0,0,0,2,2,0,0,38,1,0,0,0.6,0.6,0.0,0,0,21,29,72.4,2,19,2,2,2,Sampdoria,2017-11-19 Sampdoria-Juventus,ITA-SERIA_A,17-18,eacd3899
ee4f2f3b,Fabio Quagliarella,27,ITA,FW,34-292,83,0,1,0,0,2,0,1,0,22,0,0,0,0.1,0.1,1.2,3,2,11,16,68.8,1,12,1,0,0,Sampdoria,2017-11-19 Sampdoria-Juventus,ITA-SERIA_A,17-18,eacd3899
54e53b7e,Gianluca Caprari,17,ITA,FW,24-112,7,0,0,0,0,1,1,0,0,18,0,0,0,0.1,0.1,0.1,2,0,10,13,76.9,0,12,4,1,1,Sampdoria,2017-11-19 Sampdoria-Juventus,ITA-SERIA_A,17-18,eacd3899
2c851997,Gastón Ramírez,11,URU,AM,26-352,90,0,1,0,0,0,0,1,0,56,2,0,0,0.0,0.0,0.0,4,2,36,49,73.5,2,29,0,1,1,Sampdoria,2017-11-19 Sampdoria-Juventus,ITA-SERIA_A,17-18,eacd3899
86695068,Dennis Praet,10,BEL,LM,23-189,27,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,11,16,68.8,0,6,0,0,0,Sampdoria,2017-11-19 Sampdoria-Juventus,ITA-SERIA_A,17-18,eacd3899
d023d70f,Karol Linetty,16,POL,LM,22-290,63,0,0,0,0,1,0,1,0,48,4,1,0,0.1,0.1,0.1,2,0,35,42,83.3,2,19,2,1,1,Sampdoria,2017-11-19 Sampdoria-Juventus,ITA-SERIA_A,17-18,eacd3899
52611641,Lucas Torreira,34,URU,CM,21-281,90,1,0,0,0,1,1,0,0,94,5,1,0,0.0,0.0,0.0,1,1,69,81,85.2,4,31,3,1,1,Sampdoria,2017-11-19 Sampdoria-Juventus,ITA-SERIA_A,17-18,eacd3899
43a1bea5,Édgar Barreto,8,PAR,RM,33-127,73,0,0,0,0,0,0,0,0,59,0,0,1,0.0,0.0,0.1,2,0,46,55,83.6,3,14,0,0,0,Sampdoria,2017-11-19 Sampdoria-Juventus,ITA-SERIA_A,17-18,eacd3899
33ecf462,Valerio Verre,21,ITA,RM,23-312,17,0,0,0,0,1,0,0,0,27,0,2,1,0.0,0.0,0.0,0,0,20,23,87.0,2,10,0,1,1,Sampdoria,2017-11-19 Sampdoria-Juventus,ITA-SERIA_A,17-18,eacd3899
