id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
16ceb862,Olivier Giroud,18,FRA,FW,33-278,75,1,0,0,0,6,3,0,0,22,0,0,1,0.7,0.7,0.0,4,0,6,12,50.0,0,11,0,1,0,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
f586779e,Tammy Abraham,9,ENG,FW,22-276,15,0,0,0,0,0,0,0,0,4,0,0,1,0.0,0.0,0.0,0,0,2,2,100.0,1,3,0,0,0,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
1bf33a9a,Christian Pulisic,22,USA,LW,21-290,90,0,0,0,0,3,1,0,0,51,3,0,1,0.1,0.1,0.1,7,2,34,37,91.9,5,44,4,3,1,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
8b9ebd03,Willian,10,BRA,RW,31-330,75,1,0,1,1,4,2,0,0,71,2,0,1,1.0,0.2,0.1,7,1,49,61,80.3,5,41,6,3,2,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
e97fd090,Ruben Loftus-Cheek,12,ENG,LM,24-163,15,0,0,0,0,1,0,0,0,13,0,1,0,0.3,0.3,0.0,0,0,9,9,100.0,2,6,0,0,0,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
9674002f,Mason Mount,19,ENG,LM,21-176,75,0,0,0,0,2,0,0,0,66,0,0,0,0.1,0.1,0.0,3,1,48,57,84.2,12,46,4,2,1,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
15f3ec41,Callum Hudson-Odoi,20,ENG,RW,19-240,15,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,1,0,4,4,100.0,0,8,0,0,0,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
b9fbae28,N'Golo Kanté,7,FRA,CM,29-097,77,0,0,0,0,1,0,0,0,83,1,2,2,0.0,0.0,0.0,2,0,68,72,94.4,4,49,2,1,1,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
df10e27c,Billy Gilmour,47,SCO,CM,19-023,13,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,9,10,90.0,0,7,0,0,0,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
3a24769f,Ross Barkley,8,ENG,RM,26-212,90,1,1,0,0,2,1,0,0,79,1,1,1,0.1,0.1,0.1,4,1,62,71,87.3,5,49,2,1,1,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
53cad200,César Azpilicueta,28,ESP,LB,30-311,90,0,1,0,0,0,0,0,0,107,2,2,0,0.0,0.0,0.3,7,1,85,98,86.7,7,66,2,1,1,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
ce4246f5,Kurt Zouma,15,FRA,CB,25-251,90,0,0,0,0,1,1,0,0,118,0,2,0,0.1,0.1,0.0,0,0,102,110,92.7,4,84,0,0,0,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
1cb49278,Andreas Christensen,4,DEN,CB,24-085,90,0,0,0,0,0,0,0,0,114,1,2,0,0.0,0.0,0.0,0,0,103,107,96.3,11,82,4,0,0,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
1265a93a,Reece James,24,ENG,RB,20-209,90,0,0,0,0,0,0,0,0,107,1,1,2,0.0,0.0,0.3,1,0,80,95,84.2,6,67,3,1,0,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
28d596a0,Kepa Arrizabalaga,1,ESP,GK,25-275,90,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.0,0,0,25,27,92.6,0,12,0,0,0,Chelsea,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
82e34b69,Troy Deeney,9,ENG,FW,32-005,63,0,0,0,0,0,0,0,0,23,0,0,1,0.0,0.0,0.0,2,0,12,19,63.2,2,12,0,1,1,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
6cdd8245,Tom Cleverley,8,ENG,AM,30-327,27,0,0,0,0,0,0,0,0,15,2,0,0,0.0,0.0,0.0,2,0,11,13,84.6,1,5,0,0,0,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
a0666d3e,Will Hughes,19,ENG,"LW,DM",25-078,90,0,0,0,0,0,0,0,0,49,7,4,1,0.0,0.0,0.1,2,0,21,30,70.0,1,15,1,1,1,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
bfdb33aa,Ismaila Sarr,23,SEN,RW,22-130,82,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,4,9,44.4,0,10,1,2,2,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
75f2c59f,Roberto Pereyra,37,ARG,RW,29-179,8,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,8,10,80.0,1,6,0,0,0,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
02b29014,Abdoulaye Doucouré,16,MLI,"CM,DM,AM",27-185,90,0,0,0,0,0,0,0,0,49,3,1,2,0.0,0.0,0.0,0,0,29,36,80.6,4,22,0,1,0,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
5acc4a10,Étienne Capoue,29,FRA,CM,31-359,57,0,0,0,0,0,0,1,0,24,1,1,2,0.0,0.0,0.0,1,0,17,20,85.0,1,12,0,0,0,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
ce5143da,Danny Welbeck,10,ENG,"FW,LW",29-221,33,0,0,0,0,1,1,0,0,10,0,0,0,0.3,0.3,0.0,0,0,6,8,75.0,0,7,1,1,1,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
422862ea,Nathaniel Chalobah,14,ENG,"CM,DM",25-205,90,0,0,0,0,1,0,0,0,36,4,3,0,0.1,0.1,0.3,4,0,17,23,73.9,4,14,0,1,0,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
e5d01ecf,Kiko Femenía,21,ESP,"LB,RB",29-153,63,0,0,0,0,0,0,0,0,35,2,1,0,0.0,0.0,0.0,0,0,19,28,67.9,0,15,1,2,1,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
de0f152c,Adam Masina,11,MAR,LB,26-184,27,0,0,0,0,2,2,0,0,15,0,0,0,0.1,0.1,0.0,0,0,7,12,58.3,1,7,1,0,0,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
3e9e06cb,Craig Dawson,4,ENG,CB,30-059,90,0,0,0,0,3,0,0,0,43,2,1,1,0.2,0.2,0.0,0,0,26,33,78.8,6,21,0,0,0,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
914ab9a1,Christian Kabasele,27,BEL,CB,29-131,90,0,0,0,0,0,0,0,0,34,0,0,3,0.0,0.0,0.0,0,0,17,24,70.8,0,16,0,0,0,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
8aa5f52c,Adrian Mariappa,6,JAM,"RB,LB",33-275,90,0,0,0,0,0,0,1,0,45,2,0,1,0.0,0.0,0.0,0,0,26,39,66.7,5,12,0,0,0,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
d0b3ceb9,Ben Foster,26,ENG,GK,37-092,90,0,0,0,0,0,0,0,0,34,0,0,0,0.0,0.0,0.0,0,0,24,30,80.0,0,16,0,0,0,Watford,2020-07-04 Chelsea-Watford,ENG-EPL,19-20,ee7944f1
