id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
5c4dc0ff,Mariano,9,DOM,FW,24-198,90,0,2,0,0,6,4,0,0,24,0,0,1,0.4,0.4,0.5,6,2,9,12,75.0,2,20,4,6,5,Lyon,2018-02-15 Lyon-Villarreal,UEL,17-18,ef8a2de7
a5db0bec,Houssem Aouar,8,ALG,LW,19-230,72,0,0,0,0,0,0,0,0,55,2,1,1,0.0,0.0,0.0,3,0,38,40,95.0,1,40,1,6,0,Lyon,2018-02-15 Lyon-Villarreal,UEL,17-18,ef8a2de7
8f696594,Memphis,11,NED,LW,24-002,18,1,0,0,0,1,1,0,0,17,1,0,0,0.0,0.0,0.0,1,0,9,14,64.3,1,14,3,0,0,Lyon,2018-02-15 Lyon-Villarreal,UEL,17-18,ef8a2de7
c47541e0,Bertrand Traoré,10,BFA,RW,22-162,76,0,0,0,0,1,0,0,0,32,2,1,0,0.0,0.0,0.1,3,0,16,23,69.6,5,25,6,1,0,Lyon,2018-02-15 Lyon-Villarreal,UEL,17-18,ef8a2de7
beb391dd,Maxwel Cornet,27,CIV,RW,21-141,14,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,4,4,100.0,0,3,0,0,0,Lyon,2018-02-15 Lyon-Villarreal,UEL,17-18,ef8a2de7
bece776f,Nabil Fekir,18,FRA,AM,24-212,90,1,0,0,0,4,2,0,0,52,1,0,2,0.5,0.5,0.1,4,0,34,40,85.0,1,40,3,3,2,Lyon,2018-02-15 Lyon-Villarreal,UEL,17-18,ef8a2de7
71ec39ef,Lucas Tousart,29,FRA,DM,20-292,90,0,0,0,0,0,0,0,0,42,2,3,3,0.0,0.0,0.0,2,0,25,27,92.6,2,22,0,1,1,Lyon,2018-02-15 Lyon-Villarreal,UEL,17-18,ef8a2de7
5cdddffa,Tanguy Ndombele,28,FRA,DM,21-049,90,1,0,0,0,2,1,0,0,68,1,0,4,0.5,0.5,0.0,2,0,50,57,87.7,0,59,1,1,1,Lyon,2018-02-15 Lyon-Villarreal,UEL,17-18,ef8a2de7
9ae9eaea,Fernando Marçal,20,BRA,LB,28-361,90,0,0,0,0,1,0,1,0,85,2,1,1,0.0,0.0,0.0,0,0,61,72,84.7,4,58,1,0,0,Lyon,2018-02-15 Lyon-Villarreal,UEL,17-18,ef8a2de7
e97150c0,Jérémy Morel,15,MAD,CB,33-319,90,0,0,0,0,0,0,0,0,64,2,5,1,0.0,0.0,0.2,3,0,43,51,84.3,3,43,0,0,0,Lyon,2018-02-15 Lyon-Villarreal,UEL,17-18,ef8a2de7
e3d0b0c4,Marcelo,6,BRA,CB,30-271,90,0,0,0,0,0,0,0,0,49,0,3,0,0.0,0.0,0.0,0,0,37,43,86.0,3,31,0,0,0,Lyon,2018-02-15 Lyon-Villarreal,UEL,17-18,ef8a2de7
9a1f2e1c,Rafael,4,BRA,RB,27-221,84,0,0,0,0,0,0,0,0,55,1,1,0,0.0,0.0,0.0,1,0,34,47,72.3,2,36,3,0,0,Lyon,2018-02-15 Lyon-Villarreal,UEL,17-18,ef8a2de7
3cefcaef,Ferland Mendy,22,FRA,RB,22-252,6,0,0,0,0,1,0,0,0,12,1,0,0,0.1,0.1,0.0,2,0,10,10,100.0,0,10,1,4,3,Lyon,2018-02-15 Lyon-Villarreal,UEL,17-18,ef8a2de7
