id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
1238a3f9,Davie Selke,9,GER,FW,25-119,70,0,0,0,0,1,0,0,0,28,0,0,0,0.0,0.0,0.1,2,0,15,22,68.2,1,14,0,0,0,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
7ca196eb,Nick Woltemade,41,GER,FW,18-094,20,0,0,0,0,0,0,0,0,14,1,0,1,0.0,0.0,0.1,1,0,5,6,83.3,1,12,0,1,1,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
6c6a3300,Milot Rashica,7,KVX,LW,23-325,84,0,0,0,0,1,0,0,0,37,1,2,2,0.0,0.0,0.0,1,0,19,24,79.2,1,31,1,2,0,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
acc7b7ec,Fin Bartels,22,GER,LW,33-101,6,0,0,0,0,0,0,0,0,5,1,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
dc62fbee,Leonardo Bittencourt,10,GER,RW,26-151,70,0,1,0,0,2,0,0,0,45,3,1,1,0.4,0.4,0.4,3,1,26,32,81.3,1,31,4,0,0,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
a8d4428b,Josh Sargent,19,USA,RW,20-088,20,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,5,6,83.3,0,4,0,1,1,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
beb882a8,Maximilian Eggestein,35,GER,LM,23-162,90,0,0,0,0,2,0,0,0,48,2,2,1,0.1,0.1,0.0,5,0,28,37,75.7,7,35,2,5,3,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
1d8e9add,Kevin Vogt,3,GER,CM,28-238,84,0,0,0,0,0,0,0,0,75,1,2,1,0.0,0.0,0.0,0,0,55,63,87.3,2,58,0,1,1,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
f69fba57,Yuya Osako,8,JPN,CM,30-000,6,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
3f7cd8f1,Philipp Bargfrede,44,GER,RM,31-076,53,0,0,0,0,1,0,0,0,19,2,1,0,0.1,0.1,0.0,0,0,11,12,91.7,3,15,0,1,1,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
d571df78,Johannes Eggestein,24,GER,LM,22-010,37,0,0,0,0,1,0,0,0,26,1,0,0,0.1,0.1,0.0,2,0,13,19,68.4,0,16,1,1,1,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
f86ad3f5,Marco Friedl,32,AUT,LB,22-063,90,0,0,0,0,0,0,1,0,64,1,4,0,0.0,0.0,0.0,1,0,43,56,76.8,2,35,1,1,0,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
00844823,Niklas Moisander,18,FIN,CB,34-232,90,0,0,0,0,1,0,1,0,55,1,3,4,0.1,0.1,0.0,0,0,33,40,82.5,3,34,0,0,0,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
a5ae8f8e,Miloš Veljković,13,SRB,CB,24-235,90,0,0,0,0,0,0,0,0,67,7,2,0,0.0,0.0,0.4,1,0,42,54,77.8,1,44,1,0,0,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
3f65898c,Theodor Gebre Selassie,23,CZE,RB,33-146,90,1,0,0,0,1,1,0,0,46,0,5,1,0.4,0.4,0.1,1,0,30,35,85.7,1,26,1,1,1,Werder Bremen,2020-05-18 Werder Bremen-Leverkusen,GER-BL1,19-20,ef8ae024
