id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
ed5c0319,Beto,9,GNB,FW,23-280,87,1,0,0,0,3,1,0,0,29,0,0,0,1.0,1.0,0.0,3,0,10,15,66.7,1,13,2,3,1,Udinese,2021-11-07 Udinese-Sassuolo,ITA-SERIA_A,21-22,f30249c5
f573a8bf,Isaac Success,7,NGA,FW,25-304,3,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,3,0,0,0,Udinese,2021-11-07 Udinese-Sassuolo,ITA-SERIA_A,21-22,f30249c5
75f2c59f,Roberto Pereyra,37,ARG,FW,30-304,90,0,1,0,0,1,0,0,0,48,1,3,1,0.0,0.0,0.9,4,1,28,35,80.0,5,30,5,2,0,Udinese,2021-11-07 Udinese-Sassuolo,ITA-SERIA_A,21-22,f30249c5
39583cfd,Gerard Deulofeu,10,ESP,LM,27-239,90,1,0,0,0,5,1,0,0,51,1,2,2,0.4,0.4,0.0,0,0,20,34,58.8,4,31,4,3,1,Udinese,2021-11-07 Udinese-Sassuolo,ITA-SERIA_A,21-22,f30249c5
963a328b,Tolgay Arslan,5,GER,CM,31-083,15,0,0,0,0,0,0,1,0,12,0,0,0,0.0,0.0,0.0,0,0,12,12,100.0,0,7,0,0,0,Udinese,2021-11-07 Udinese-Sassuolo,ITA-SERIA_A,21-22,f30249c5
22bfb57e,Jean-Victor Makengo,6,FRA,CM,23-148,73,0,0,0,0,0,0,2,1,22,0,3,1,0.0,0.0,0.2,3,0,14,17,82.4,1,11,1,1,1,Udinese,2021-11-07 Udinese-Sassuolo,ITA-SERIA_A,21-22,f30249c5
26db8853,Walace,11,BRA,CM,26-217,90,0,0,0,0,3,0,0,0,52,2,4,1,0.1,0.1,0.1,5,2,30,35,85.7,4,25,1,1,0,Udinese,2021-11-07 Udinese-Sassuolo,ITA-SERIA_A,21-22,f30249c5
23610943,Nahuel Molina,16,ARG,RM,23-215,90,0,0,0,0,1,0,0,0,42,5,2,0,0.0,0.0,0.0,0,0,15,28,53.6,1,19,2,2,0,Udinese,2021-11-07 Udinese-Sassuolo,ITA-SERIA_A,21-22,f30249c5
92b4758e,Samir Santos,3,BRA,LB,26-337,35,0,0,0,0,0,0,0,0,22,2,1,1,0.0,0.0,0.0,0,0,14,18,77.8,2,8,1,0,0,Udinese,2021-11-07 Udinese-Sassuolo,ITA-SERIA_A,21-22,f30249c5
