id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
1971591f,Cody Gakpo,18,NED,"FW,LW,LM",23-337,90,0,0,0,0,1,0,0,0,44,2,0,1,0.0,0.0,0.1,4,0,27,36,75.0,3,21,4,1,0,Liverpool,2023-04-09 Liverpool-Arsenal,ENG-EPL,22-23,f3774baa
178ae8f8,Diogo Jota,20,POR,LW,26-126,59,0,0,0,0,1,0,0,0,27,0,0,1,0.1,0.1,0.2,2,0,12,17,70.6,2,10,0,0,0,Liverpool,2023-04-09 Liverpool-Arsenal,ENG-EPL,22-23,f3774baa
4d77b365,Darwin Núñez,27,URU,"FW,LW",23-289,31,0,0,0,0,1,1,0,0,12,0,0,0,0.4,0.4,0.6,1,0,6,9,66.7,1,9,2,2,1,Liverpool,2023-04-09 Liverpool-Arsenal,ENG-EPL,22-23,f3774baa
e342ad68,Mohamed Salah,11,EGY,RW,30-298,90,1,0,0,1,9,3,0,0,67,1,0,1,2.1,1.4,0.4,3,0,30,39,76.9,7,34,4,7,0,Liverpool,2023-04-09 Liverpool-Arsenal,ENG-EPL,22-23,f3774baa
4fb9c88f,Curtis Jones,17,ENG,LM,22-069,59,0,0,0,0,0,0,0,0,40,1,0,0,0.0,0.0,0.0,5,0,26,31,83.9,3,24,2,2,1,Liverpool,2023-04-09 Liverpool-Arsenal,ENG-EPL,22-23,f3774baa
77e84962,Thiago Alcántara,6,ESP,"LM,RM",31-363,31,0,0,0,0,0,0,0,0,32,2,1,0,0.0,0.0,0.0,1,0,25,29,86.2,5,15,0,0,0,Liverpool,2023-04-09 Liverpool-Arsenal,ENG-EPL,22-23,f3774baa
7f3b388c,Fabinho,3,BRA,CM,29-168,77,0,0,0,0,1,0,1,0,44,1,1,2,0.0,0.0,0.1,1,0,31,38,81.6,1,19,1,1,1,Liverpool,2023-04-09 Liverpool-Arsenal,ENG-EPL,22-23,f3774baa
4c370d81,Roberto Firmino,9,BRA,"FW,CM",31-189,13,1,0,0,0,1,1,0,0,14,1,0,0,0.2,0.2,0.0,1,0,7,10,70.0,1,10,1,0,0,Liverpool,2023-04-09 Liverpool-Arsenal,ENG-EPL,22-23,f3774baa
935e6b8f,Jordan Henderson,14,ENG,"RM,CM",32-296,90,0,0,0,0,2,0,0,0,64,2,2,2,0.3,0.3,0.3,6,1,47,56,83.9,11,28,1,0,0,Liverpool,2023-04-09 Liverpool-Arsenal,ENG-EPL,22-23,f3774baa
