id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
45963054,Jamie Vardy,9,ENG,FW,34-045,90,0,0,0,0,2,0,0,0,24,0,0,0,0.1,0.1,0.0,1,0,11,15,73.3,3,12,3,4,1,Leicester City,2021-02-25 Leicester City-Slavia Prague,UEL,20-21,f3abffcd
b827d5b3,Marc Albrighton,11,ENG,LM,31-099,60,0,0,0,0,2,1,0,0,32,0,0,3,0.1,0.1,0.0,1,0,17,26,65.4,3,12,0,0,0,Leicester City,2021-02-25 Leicester City-Slavia Prague,UEL,20-21,f3abffcd
197640fd,Timothy Castagne,27,BEL,RB,25-082,30,0,0,0,0,0,0,0,0,19,4,0,0,0.0,0.0,0.0,0,0,10,14,71.4,0,7,0,0,0,Leicester City,2021-02-25 Leicester City-Slavia Prague,UEL,20-21,f3abffcd
7d2d3329,Hamza Choudhury,20,ENG,CM,23-147,60,0,0,0,0,0,0,0,0,29,2,3,0,0.0,0.0,0.0,0,0,16,22,72.7,1,13,1,0,0,Leicester City,2021-02-25 Leicester City-Slavia Prague,UEL,20-21,f3abffcd
3ea50f67,Harvey Barnes,15,ENG,LW,23-078,30,0,0,0,0,1,0,1,0,17,0,0,0,0.0,0.0,0.0,1,0,8,12,66.7,0,16,0,2,0,Leicester City,2021-02-25 Leicester City-Slavia Prague,UEL,20-21,f3abffcd
56f7a928,Youri Tielemans,8,BEL,"CM,DM",23-294,90,0,0,0,0,1,0,0,0,52,2,1,0,0.0,0.0,0.0,2,0,31,42,73.8,2,18,0,2,0,Leicester City,2021-02-25 Leicester City-Slavia Prague,UEL,20-21,f3abffcd
1880614f,Cengiz Ünder,19,TUR,"RM,AM",23-226,79,0,0,0,0,3,1,0,0,35,1,2,0,0.2,0.2,0.0,2,0,18,29,62.1,2,22,3,2,2,Leicester City,2021-02-25 Leicester City-Slavia Prague,UEL,20-21,f3abffcd
3add8ed8,Sidnei Tavares,50,POR,AM,19-149,11,0,0,0,0,0,0,0,0,11,0,0,1,0.0,0.0,0.0,1,0,7,7,100.0,0,8,0,0,0,Leicester City,2021-02-25 Leicester City-Slavia Prague,UEL,20-21,f3abffcd
6b47c5db,Wilfred Ndidi,25,NGA,DM,24-071,90,0,0,0,0,1,1,0,0,65,1,2,1,0.0,0.0,0.0,2,0,40,53,75.5,0,35,0,1,1,Leicester City,2021-02-25 Leicester City-Slavia Prague,UEL,20-21,f3abffcd
fc027d02,Luke Thomas,33,ENG,LB,19-260,90,0,0,0,0,0,0,0,0,69,1,0,1,0.0,0.0,0.0,1,0,47,57,82.5,5,31,2,3,0,Leicester City,2021-02-25 Leicester City-Slavia Prague,UEL,20-21,f3abffcd
21166ff4,Çağlar Söyüncü,4,TUR,CB,24-278,90,0,0,0,0,1,0,1,0,112,2,4,2,0.1,0.1,0.0,0,0,85,101,84.2,8,83,4,1,0,Leicester City,2021-02-25 Leicester City-Slavia Prague,UEL,20-21,f3abffcd
