id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
5148dcc5,Martin Terrier,7,FRA,FW,26-336,71,1,0,0,0,3,2,0,0,26,1,0,0,0.6,0.6,0.0,1,0,14,19,73.7,1,23,1,1,1,Rennes,2024-02-03 Rennes-Montpellier,FRA-L1,23-24,f3ce3488
6191093d,Ludovic Blas,11,FRA,FW,26-034,19,0,0,0,0,1,0,0,0,7,0,0,0,0.0,0.0,0.0,1,0,1,3,33.3,0,7,0,3,1,Rennes,2024-02-03 Rennes-Montpellier,FRA-L1,23-24,f3ce3488
bf4c41f9,Arnaud Kalimuendo,9,FRA,FW,22-014,70,1,0,1,1,0,0,1,0,36,0,0,1,0.8,0.0,0.4,3,0,22,24,91.7,3,30,1,2,1,Rennes,2024-02-03 Rennes-Montpellier,FRA-L1,23-24,f3ce3488
7410d325,Bertuğ Yıldırım,99,TUR,FW,21-206,20,0,0,0,0,0,0,1,0,11,0,0,1,0.0,0.0,0.0,0,0,6,7,85.7,2,6,0,1,1,Rennes,2024-02-03 Rennes-Montpellier,FRA-L1,23-24,f3ce3488
9e7483ff,Désiré Doué,33,FRA,LM,18-245,45,0,0,0,0,0,0,0,0,31,0,2,2,0.0,0.0,0.0,5,2,20,21,95.2,6,21,1,3,2,Rennes,2024-02-03 Rennes-Montpellier,FRA-L1,23-24,f3ce3488
aad56ca3,Amine Gouiri,10,ALG,LM,23-352,45,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,10,16,62.5,1,14,1,1,1,Rennes,2024-02-03 Rennes-Montpellier,FRA-L1,23-24,f3ce3488
5e22e2a4,Baptiste Santamaria,8,FRA,CM,28-331,90,0,0,0,0,0,0,0,0,56,2,2,0,0.0,0.0,0.0,1,0,38,44,86.4,6,35,1,1,0,Rennes,2024-02-03 Rennes-Montpellier,FRA-L1,23-24,f3ce3488
6f806d99,Enzo Le Fée,28,FRA,CM,24-000,89,0,0,0,0,0,0,1,0,69,5,0,3,0.0,0.0,0.0,0,0,40,50,80.0,5,41,2,1,0,Rennes,2024-02-03 Rennes-Montpellier,FRA-L1,23-24,f3ce3488
cea59f02,Alidu Seidu,36,GHA,CM,23-244,1,0,0,0,0,0,0,0,0,1,0,1,0,0.0,0.0,0.0,0,0,0,0,,0,0,0,0,0,Rennes,2024-02-03 Rennes-Montpellier,FRA-L1,23-24,f3ce3488
20e73fac,Benjamin Bourigeaud,14,FRA,RM,30-020,81,0,0,0,0,1,0,0,0,43,0,1,1,0.2,0.2,0.2,2,1,28,38,73.7,6,31,0,0,0,Rennes,2024-02-03 Rennes-Montpellier,FRA-L1,23-24,f3ce3488
a17a94d6,Azor Matusiwa,6,NED,RM,25-281,9,0,0,0,0,0,0,0,0,4,1,1,0,0.0,0.0,0.0,0,0,1,1,100.0,0,1,0,0,0,Rennes,2024-02-03 Rennes-Montpellier,FRA-L1,23-24,f3ce3488
5d0e0a1f,Adrien Truffert,3,FRA,LB,22-075,90,0,0,0,0,0,0,1,0,54,1,0,1,0.0,0.0,0.0,0,0,34,45,75.6,5,33,3,1,0,Rennes,2024-02-03 Rennes-Montpellier,FRA-L1,23-24,f3ce3488
df8d6029,Arthur Theate,5,BEL,CB,23-254,90,0,0,0,0,2,0,0,0,63,1,0,3,0.3,0.3,0.0,1,0,39,51,76.5,7,42,1,1,0,Rennes,2024-02-03 Rennes-Montpellier,FRA-L1,23-24,f3ce3488
4534a352,Warmed Omari,23,FRA,CB,23-286,90,0,0,0,0,0,0,0,0,42,1,1,1,0.0,0.0,0.0,0,0,29,34,85.3,2,30,1,0,0,Rennes,2024-02-03 Rennes-Montpellier,FRA-L1,23-24,f3ce3488
