id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
5d4f7d61,Patrik Schick,14,CZE,FW,26-019,90,1,0,0,0,4,1,0,0,28,0,0,0,0.6,0.6,0.0,1,0,16,20,80.0,0,17,0,1,1,Bayer Leverkusen,2022-02-12 Leverkusen-Stuttgart,GER-BL1,21-22,f40d4733
aeed5c06,Moussa Diaby,19,FRA,LW,22-220,89,1,0,0,0,4,2,0,0,70,0,0,1,0.6,0.6,0.3,10,1,44,56,78.6,5,51,4,9,6,Bayer Leverkusen,2022-02-12 Leverkusen-Stuttgart,GER-BL1,21-22,f40d4733
834d0be5,Lucas Alario,13,ARG,LW,29-127,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,3,3,100.0,0,2,0,0,0,Bayer Leverkusen,2022-02-12 Leverkusen-Stuttgart,GER-BL1,21-22,f40d4733
dcfb17f4,Amine Adli,31,MAR,RW,21-278,73,1,0,0,0,2,2,0,0,50,1,1,1,0.1,0.1,0.1,4,0,27,40,67.5,5,36,4,2,1,Bayer Leverkusen,2022-02-12 Leverkusen-Stuttgart,GER-BL1,21-22,f40d4733
53070b63,Paulinho,7,BRA,RW,21-212,17,0,0,0,0,0,0,0,0,14,1,0,0,0.0,0.0,0.1,3,1,9,11,81.8,3,9,1,1,0,Bayer Leverkusen,2022-02-12 Leverkusen-Stuttgart,GER-BL1,21-22,f40d4733
e7fcf289,Florian Wirtz,27,GER,AM,18-285,90,1,1,0,0,3,1,0,0,75,1,1,1,0.2,0.2,0.5,6,1,47,60,78.3,10,48,5,1,1,Bayer Leverkusen,2022-02-12 Leverkusen-Stuttgart,GER-BL1,21-22,f40d4733
54b4dc4e,Kerem Demirbay,10,GER,DM,28-224,69,0,1,0,0,2,0,1,0,92,3,0,0,0.0,0.0,0.2,4,2,71,84,84.5,6,63,1,2,1,Bayer Leverkusen,2022-02-12 Leverkusen-Stuttgart,GER-BL1,21-22,f40d4733
56413b1f,Charles Aránguiz,20,CHI,DM,32-301,21,0,1,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.1,1,1,14,16,87.5,1,10,0,0,0,Bayer Leverkusen,2022-02-12 Leverkusen-Stuttgart,GER-BL1,21-22,f40d4733
e0b113a7,Robert Andrich,8,GER,DM,27-143,69,0,0,0,0,1,0,1,0,89,0,0,0,0.0,0.0,0.1,3,0,75,86,87.2,16,60,2,0,0,Bayer Leverkusen,2022-02-12 Leverkusen-Stuttgart,GER-BL1,21-22,f40d4733
e82adcab,Exequiel Palacios,25,ARG,DM,23-130,21,0,0,0,0,1,0,0,0,17,0,1,0,0.1,0.1,0.0,0,0,14,14,100.0,3,9,0,0,0,Bayer Leverkusen,2022-02-12 Leverkusen-Stuttgart,GER-BL1,21-22,f40d4733
a8567629,Mitchel Bakker,5,NED,LB,21-237,90,0,0,0,0,0,0,1,0,76,3,1,0,0.0,0.0,0.1,3,0,63,70,90.0,4,45,2,4,3,Bayer Leverkusen,2022-02-12 Leverkusen-Stuttgart,GER-BL1,21-22,f40d4733
