id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
f8eca1b6,Enes Ünal,10,TUR,FW,25-351,90,0,0,0,0,6,4,0,0,39,1,0,0,0.4,0.4,0.0,4,1,13,24,54.2,3,17,0,4,1,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
8696bc90,Munir El Haddadi,17,MAR,"LW,WB",27-237,64,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.2,3,0,9,23,39.1,1,15,0,0,0,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
6c811eb7,Carles Aleñá,11,ESP,CM,25-111,26,0,0,0,0,1,0,0,0,23,0,0,0,0.1,0.1,0.0,1,0,15,20,75.0,2,14,1,1,1,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
64e8ed6d,Borja Mayoral,19,ESP,"FW,RW",26-021,90,1,0,0,0,2,2,0,0,35,0,1,0,0.4,0.4,0.2,5,0,23,29,79.3,6,20,1,2,1,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
1bda5842,Portu,9,ESP,"WB,LM",30-340,89,0,1,0,0,1,1,0,0,65,2,0,0,0.0,0.0,0.4,6,1,36,59,61.0,2,33,2,2,1,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
02319ad7,Jaime Mata,7,ESP,WB,34-184,1,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,1,0,2,2,100.0,1,3,0,0,0,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
19c36442,Luis Milla,5,ESP,CM,28-201,41,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.1,3,0,19,22,86.4,6,14,1,1,1,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
bdc74a8f,Gonzalo Villar,24,ESP,CM,25-034,49,0,0,0,0,1,1,0,0,38,2,2,2,0.0,0.0,0.0,0,0,24,29,82.8,7,18,1,3,3,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
00b28772,Nemanja Maksimović,20,SRB,CM,28-090,64,0,0,0,0,1,0,0,0,28,0,1,0,0.2,0.2,0.0,2,0,19,24,79.2,3,10,1,1,1,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
2bea832e,Juanmi Latasa,14,ESP,CM,22-034,26,0,0,0,0,1,0,0,0,15,0,0,0,0.0,0.0,0.1,2,0,7,13,53.8,4,5,0,0,0,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
ba5004e1,Damián Suárez,22,URU,RM,34-364,45,0,0,0,0,0,0,0,0,28,2,0,1,0.0,0.0,0.1,3,0,16,23,69.6,1,14,0,3,2,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
974322dc,Iglesias,21,ESP,CB,24-297,45,0,0,0,0,2,0,1,0,28,0,0,2,0.1,0.1,0.0,0,0,11,19,57.9,1,12,2,0,0,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
bb08bce9,Omar Alderete,15,PAR,CB,26-121,90,0,0,0,0,4,1,1,0,57,3,0,3,0.2,0.2,0.0,3,0,28,44,63.6,7,23,3,2,2,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
93090f69,Domingos Duarte,6,POR,CB,28-047,90,0,0,0,0,0,0,0,0,43,0,3,2,0.0,0.0,0.0,3,0,27,37,73.0,7,14,0,0,0,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
a4971d84,Djené,2,TOG,CB,31-116,44,0,0,0,0,1,0,0,1,29,2,1,0,0.1,0.1,0.1,2,0,15,27,55.6,3,15,1,4,4,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
8f8c6934,David Soria,13,ESP,GK,30-022,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.1,1,0,20,36,55.6,0,17,0,0,0,Getafe,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
eeba07f8,Luis Javier Suárez,16,COL,FW,25-145,90,2,0,0,0,5,2,0,0,39,1,0,0,0.7,0.7,0.4,6,1,19,26,73.1,2,26,1,3,2,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
db8f0eba,Adri Embarba,10,ESP,LW,30-354,72,0,0,0,0,6,3,0,0,49,3,0,3,0.4,0.4,0.1,3,1,23,28,82.1,4,35,3,6,2,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
8e010ff4,Francisco Portillo,8,ESP,"LW,CM",32-317,18,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.3,5,0,19,23,82.6,3,16,1,0,0,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
35f6db55,Léo Baptistão,12,BRA,RW,30-243,80,0,0,0,0,4,2,0,0,51,1,1,0,0.2,0.2,0.1,6,0,26,40,65.0,6,35,3,3,1,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
55634fb8,Kaiky,2,BRA,"CB,RW",19-104,10,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,2,50.0,0,1,0,0,0,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
a8981944,Lucas Robertone,5,ARG,"LM,RM",26-039,86,0,0,0,0,2,0,0,0,60,0,3,0,0.1,0.1,0.0,4,0,38,48,79.2,5,45,3,4,2,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
76c2a023,Samu Costa,23,POR,CM,22-150,4,0,0,0,0,1,0,0,0,10,0,0,0,0.1,0.1,0.0,1,0,2,5,40.0,0,5,0,0,0,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
60abea75,César de la Hoz,6,ESP,"CM,CB",31-027,90,0,0,0,0,0,0,0,0,38,0,0,1,0.0,0.0,0.0,0,0,22,30,73.3,1,22,0,0,0,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
3902e91b,Gonzalo Melero,3,ESP,RM,29-114,72,0,0,0,0,2,2,1,0,47,1,1,1,0.2,0.2,0.0,4,0,34,41,82.9,4,33,4,3,2,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
3e93f8cf,Íñigo Eguaras,4,ESP,"LM,CM",31-050,18,0,0,0,0,1,0,0,0,18,0,0,0,0.1,0.1,0.0,1,0,14,16,87.5,3,13,0,0,0,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
ae852b7d,Álex Centelles,20,ESP,LB,25-169,90,0,1,0,0,0,0,0,0,54,0,0,1,0.0,0.0,0.7,5,1,37,51,72.5,4,36,2,4,3,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
075fe5a3,Srđan Babić,22,SRB,CB,27-004,90,0,0,0,0,0,0,1,0,49,1,0,1,0.0,0.0,0.0,0,0,32,36,88.9,1,24,1,0,0,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
2475cf9b,Chumi,21,ESP,"CB,RB",24-055,90,0,0,0,0,0,0,0,0,60,1,0,2,0.0,0.0,0.0,1,0,41,48,85.4,0,35,0,0,0,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
3c16d927,Alejandro Pozo Pozo,17,ESP,RB,24-063,80,0,1,0,0,0,0,0,0,66,2,1,6,0.0,0.0,0.1,3,1,42,55,76.4,3,33,1,1,0,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
cc9256ef,Largie Ramazani,7,BEL,"FW,RB",22-058,10,0,0,0,0,2,2,0,0,7,2,1,0,0.2,0.2,0.0,1,0,0,0,,0,5,2,1,0,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
dabb2827,Fernando,13,ESP,GK,32-320,90,0,0,0,0,0,0,0,0,56,0,0,0,0.0,0.0,0.0,0,0,32,54,59.3,0,38,0,0,0,Almería,2023-04-26 Getafe-Almería,ESP-LALIGA,22-23,f5d9346d
