id,Player,#,Nation,Pos,Age,Min,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons,team,game,league,season,game_id
,,,,,,,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ,,,,,
1238a3f9,Davie Selke,9,GER,FW,26-108,90,0,0,0,0,1,1,0,0,29,0,0,0,0.1,0.1,0.1,2,0,14,24,58.3,3,19,1,0,0,Werder Bremen,2021-05-08 Werder Bremen-Leverkusen,GER-BL1,20-21,f6e0203f
4f16405e,Niclas Füllkrug,11,GER,AM,28-088,56,0,0,0,0,4,0,0,0,26,0,0,0,0.3,0.3,0.1,3,0,13,19,68.4,5,13,3,4,4,Werder Bremen,2021-05-08 Werder Bremen-Leverkusen,GER-BL1,20-21,f6e0203f
6c6a3300,Milot Rashica,7,KVX,RW,24-314,34,0,0,0,0,1,0,0,0,23,2,1,0,0.0,0.0,0.0,1,0,11,15,73.3,2,13,4,2,1,Werder Bremen,2021-05-08 Werder Bremen-Leverkusen,GER-BL1,20-21,f6e0203f
a8d4428b,Josh Sargent,19,USA,"AM,LW,RW",21-077,83,0,0,0,0,1,0,1,0,31,3,0,0,0.1,0.1,0.1,1,0,15,18,83.3,1,12,0,1,0,Werder Bremen,2021-05-08 Werder Bremen-Leverkusen,GER-BL1,20-21,f6e0203f
4ccd8957,Eren Dinkçi,43,GER,LW,19-146,6,0,0,0,0,0,0,0,1,4,0,0,0,0.0,0.0,0.0,0,0,0,0,,0,1,0,0,0,Werder Bremen,2021-05-08 Werder Bremen-Leverkusen,GER-BL1,20-21,f6e0203f
dc62fbee,Leonardo Bittencourt,10,GER,"LM,LW",27-140,56,0,0,0,0,2,0,0,0,30,3,1,0,0.1,0.1,0.2,3,0,15,22,68.2,2,18,2,0,0,Werder Bremen,2021-05-08 Werder Bremen-Leverkusen,GER-BL1,20-21,f6e0203f
f69fba57,Yuya Osako,8,JPN,AM,30-355,34,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,1,0,6,10,60.0,2,11,2,2,1,Werder Bremen,2021-05-08 Werder Bremen-Leverkusen,GER-BL1,20-21,f6e0203f
14a7af33,Christian Groß,36,GER,"CM,DM",32-089,82,0,0,0,0,2,0,1,0,51,2,1,0,0.1,0.1,0.0,1,0,38,42,90.5,5,25,2,2,1,Werder Bremen,2021-05-08 Werder Bremen-Leverkusen,GER-BL1,20-21,f6e0203f
a5ce09f2,Kevin Möhwald,6,GER,DM,27-309,8,0,0,0,0,1,0,0,0,6,0,0,0,0.0,0.0,0.0,2,0,5,5,100.0,1,2,0,0,0,Werder Bremen,2021-05-08 Werder Bremen-Leverkusen,GER-BL1,20-21,f6e0203f
beb882a8,Maximilian Eggestein,35,GER,"DM,RM",24-151,90,0,0,0,0,0,0,0,0,49,3,1,1,0.0,0.0,0.0,2,0,37,43,86.0,4,28,3,0,0,Werder Bremen,2021-05-08 Werder Bremen-Leverkusen,GER-BL1,20-21,f6e0203f
9fec8860,Ludwig Augustinsson,5,SWE,LB,27-017,90,0,0,0,0,0,0,0,0,51,3,1,0,0.0,0.0,0.2,4,0,22,44,50.0,3,13,2,0,0,Werder Bremen,2021-05-08 Werder Bremen-Leverkusen,GER-BL1,20-21,f6e0203f
